page 2	肅清東江移師比伐之我觀
page 3	財長王克敏　就職
page 3	吳佩孚請任陸榮廷督辦廣西善後閣議交陸軍部核辦
page 3	京政府對撥關餘疏濬粵省河道表示贊成但此款交與何人接收及時期數目須再老慮
page 3	曹錕令財陸兩部設法阻止粵省以造幣廠向美商借款
page 3	航空署預定明春實行京津滬航空
page 3	王克敏在宅招公債庫○兩司長會商過售歷年關辦法並緩和彈劾案
page 3	王克敏兼鹽署督辦
page 3	吳佩孚主速選副總統惟另據別訊則謂此係吳景濂派對曹錕不滿之對抗計劃
page 3	印度華僑電京外部稱印政府增加華貨入口稅每噸四磅華商業大受影響請交涉
page 3	兩院臨時會將滿期議員紛赴寧洛請維持
page 3	吳毓麟託西阪疏通芳澤購路警局械
page 3	傳張作霖拒黎元洪到奉
page 3	商埠及濟南附近地發現撕票及劫案
page 3	皖屬烏衣鎮路警暴動擄人毀屋全鎮罷市
page 3	熊克武發起之南津驛會議意在平和備戰惟賴心輝不願戰劉成勳石青陽無表示熊乃允取消討賊軍名義兵工廠交劉成勳接管滇軍退至敘永熊但集中自流井截斷成都重慶大道中交通
page 3	趙恒惕定湘西軍事告竣即開軍事會議解決軍政財政及善後各問題
page 3	閩南安北鄉因抗捐被王永泉部殺斃鄉民數千學校鹽場被砲擊事尚未了院電孫傳芳查辦
page 3	臧致平王獻臣在嵩嶼開戰陳國輝楊學良集中山頭城分三路取仙游王永泉部崔團有全軍覆沒訊陳楊乘勝迫仙城
page 3	日人在廈測量港岸臧致平向日領交涉阻止
page 3	廿三日廈門開市民會議對於減除雜捐問題仍無辦法
page 3	東北兩江大戰醞釀中之形勢
page 3	石龍聯軍與土匪通氣破　忠猛極
page 3	警察推銷免伕券之踴躍
page 3	各軍官聯赴東江又一說
page 3	不欲報紙宣布軍事消息
page 3	香山近訊李仙根形同木偶
page 3	拿獲串劫大利輪船嫌疑水手續聞
page 3	船員懷械被拘之西訊
page 3	劫匪解往省地之西訊
