page 2	勗廣州市商團軍
page 3	吳佩孚請任劉湘長川楊森為重慶護軍使
page 3	僑民向國會請願裁撤僑務局
page 3	吳佩孚將自請入覲
page 3	蕭耀南請發表粵人沈子良為江漢關監督兼交涉使員
page 3	葡使向其政府建議由葡出面調停金佛郎案
page 3	曹錕接見張福來勸勿辭職並令張鳳台遷署回汴 為調解
page 3	吳佩孚電府院稱滇軍北歸粵中發生內訌請速撥濟鉅款以資進行遲恐失機
page 3	吳毓麟南下調解杜錫珪與溫樹德爭執及洛寧感情吳擬十八夕啟程
page 3	外內財農及稅務處會議粵關餘撥充濬河費問題僉以前年淩江費一百六十萬非出自海關且現下關稅無餘可撥已由外部覆美使婉卻
page 3	戴陳霖電稱第八次萬國郵務會議改七月四日開會
page 3	十六日曲同豐返津報告段祺瑞南下狀況段抱悲觀
page 3	溫樹德部陸戰隊在煙台將杜錫珪部謝營繳械爭潮甚烈
page 3	農部電粵商會查日人強佔西沙島詳情
page 3	齊燮元對副座問題謂盧永祥如棄浙彼不反對舉盧若舉吳佩孚則有包辦嫌疑
page 3	趙恒惕電請借運蘆鹽二百萬石援淮鹽前例每石征四元
page 3	川訊資中內江一帶現仍激戰　州神泉驛援川軍亦向北進
page 3	駐閩粵軍張毅率部開赴鼓浪嶼宣告與黃大偉脫離關係
page 3	閩省順昌匪收編未成又大肆劫殺
page 3	王永泉有陞閩督訊
page 3	廈門台匪受王獻臣指使與臧致平軍戰
page 3	日領前赴漳州係與王獻臣密商驅臧現美領事願作調人
page 3	聯粵兩軍內部之形勢
page 3	北江軍事之吃緊消息贛蔡已增兵援粵樂昌沈軍進逼韶關
page 3	各軍抵制統一財政近聞范石生拒絕出席會議
page 3	民黨分裂之醞釀孫文無人不罵
page 6	瓊人抗爭日佔西沙島
page 6	德發債票之質問案
page 6	援川軍佔領潼川
page 6	國際聯盟會之國際保險計劃
page 6	甘肅發現殷商時古物陶器石器骨器皆有
page 6	副選案已提出眾院
page 6	八國駁覆金佛郎案原文
page 6	陳炯明代表赴甯
page 8	廣西大河嚴搜船隻
page 8	新會械鬥鄉漸趨和緩
page 8	最近粵漢行車狀況
page 8	柴行同福堂之呼籲
page 8	軍人強奪商團手槍
page 8	總商會勸銷手票之通告
page 8	滇軍兵站部電陳困難
page 8	楊庶堪就職前之設置
page 8	軍人又鬧公司
page 8	佛山人壽會風潮日劇
page 8	軍隊祇能欺詐商人
