page 2	中俄會議的我見二
page 3	吳佩孚將發四次通電主簽俄約並擬派　堅武來京敦促辦理
page 3	蕭耀南祝壽晚忽患咯血
page 3	吳佩孚催發表川省各官職令
page 3	法使照會外部稱法飛行家定四月初來華經粵滬京等處下站請照准
page 3	使團對孫文抗議義械售直之快郵除送交義使外不再討論
page 3	張作霖以洛吳力主速簽俄約係欲拉攏蘇俄相牽掣故對俄態度驟變
page 3	馮玉祥對俄事取冷靜態度他省疆吏亦無表示
page 3	孫寶琦語人擬照王正廷與加拉罕所定之草約簽字另立換文將所爭二點保留外部將本此與加氏續議
page 3	盛傳洛派將入閣於財政交通中佔一席但府方未同意
page 3	齊燮元王承斌馮玉祥各派使聯絡
page 3	陳遐齡反攻第三軍已佔雅州第三軍巳退新津邛蒲
page 3	傳唐繼虞已率部援川
page 3	傳湘軍官擬乘長沙會議破裂請北軍出境有否則以武力從事意常德岳州間北軍已暗自警備
page 3	高義在泉州自稱保安司令實附孫傳芳周蔭人軍在福清迭接張毅王獻臣告急電已派兵四千南援確過莆田省軍前鋒抵楓亭集中惠安即進攻泉州
page 3	高義將由泉州出兵與張毅夾攻安海楊化昭部
page 3	王獻臣賴世璜部退守龍巖永定楊漢烈現駐浮橋廿三日向臧致平請彈臧以楊與高義有聯絡故未允
page 3	伍朝樞使奉失敗續訊擬取道哈爾濱返粵
page 3	民黨赤化及其分裂之徵象
page 3	滇軍投北之傳說
page 3	食飯主義之廣州政府近勢建國政府又舊事重提二
page 6	西洋大畫家林風眼君在歐之活動
page 6	日人所傳蘇俄調軍東下說
page 6	王正廷之中俄交涉談話草案雖議定並未簽字
page 6	俄人方面發表之中俄交涉
page 6	中俄交涉已達最後五分鐘王正廷再訪加拉罕一次
page 6	王永泉致曹琨電
page 6	章太炎勸湘省堅持省憲
page 6	中厄訂約通商
page 6	北京發表之命令
page 6	蘇洛暗鬥中之閩事問題
page 8	密如鱗櫛之勒收護費機關甚於強盜收行稅續
page 8	銀業商人　議對待買賣捐
page 8	總商會不參預募伕
page 8	肇省輪拖定期開行
page 8	茶室行請願取銷抽捐
page 8	劉國勳部隊赴高鶴接防
page 8	滇軍兵站暫停供給軍米
page 8	香港市橋貨船被劫
page 8	籌辦航業商團之進行
page 8	公安局再撤銷船舶檢查所
page 8	請取銷變賣鎮口稅關
page 8	小北江商民請撤銷出入口貨捐
page 8	火酒取締費停止抽收
page 8	財廳第四科長黃元彬啟事
page 8	新會城內拉夫紀聞
