page 1	中日關係與華北
page 2	偽蒙軍進攻綏東陶林勢甚危急傅作義聲言力任守土之責閻錫山謂匪來必予以痛擊我軍沿平綏線駐高射砲隊以防敵機
page 2	日人圖擾汕市海盜六百餘人被誘收入九九社
page 2	黃麟書仍在京
page 2	海長陳紹寬著手整頓廈門海防出發巡視要港砲台從新配砲
page 2	日駐綏特務機關長羽山賂傳作義要求四事迫我撤退綏東駐軍並取銷武裝緝私隊
page 2	蔣令傅劉守土
page 2	日機偵察我軍
page 2	日軍五百到寶
page 2	張發奎談蔣對桂無意用兵希望李白入京或在廣州晤會
page 2	李白所提條件與中央原意不符蔣認為難於接受望李白來粵面商
page 2	佛教會員受訓常州分會六百餘人均已實行參加受訓
page 2	朱紹陽夫人被綁案主犯即將槍決參與架綁之某國人某方表示依法懲辦
page 2	徐堪赴滬謁財孔商討金融問題吳啟飛陳行等同行
page 2	滬外商銀公司當局調查取締
page 2	冀察綏署軍法處焚燬積存毒品毒犯二名當場槍決
page 2	粵財廳長宋子良飛廬謁孔請示
page 2	徐青甫談黃紹雄不赴桂亦不來杭
page 2	韓宋又將會晤協商冀魯聯防問題張群到青商魯省國防馬超俊今日亦到參加
page 3	旅滬川同鄉反對日設駐蓉領事
page 3	鄧家彥演講統一救國
page 3	張承樵奉派赴粵籌組粵審計處
page 3	好商改變走私辦法津關籌商　付
page 3	何成濬昨日飛抵重慶為徐海泉部授旗
page 3	四　種選舉事務所現已成立三處軍隊代表選舉事務所亦於本月初組織成立
page 3	日攷察團抵滬
page 3	運河水勢趨穩
page 3	黃河險工目前尚屬平穩財部撥款二十萬元大汛將屆妥為籌防
page 3	南昌風災後成立善後委會蔣院長熊主席在廬聞報風災極為憫惻
page 3	西國南北路叛軍向首都開始主力攻已逼近首都三址餘里政府軍全數出動應戰
page 3	白里奧謂叛軍勢將敗潰
page 3	北面官軍正取猛烈攻勢
page 3	法國提案已得列強贊成
page 3	京市氣候轉熱
page 3	警拘獲謀殺疑兇目的在行刺當局要人
page 3	我國籃球隊二週賽又被淘汰
page 3	中國女郎巧騙美警察潛逃後無法弋獲
page 3	有田擬召集英日經濟會議希圖解決英日懸案
page 3	日漁船越界捕魚被俄當局扣留日代辦提出交涉
page 3	世運美國選手創十二種新紀錄四百馬女子接力德敗於美希特勒離會場　竟至泣下
page 3	球類比賽成績
page 3	各項比賽成績
page 3	游艇繼續比賽
page 3	角力決賽結果
page 3	法國和平主義運動者在聖魯格城大集會到會者數十萬人
page 3	漁船驗證財部免予施行
page 3	駐瑞挪公使王景岐定期啟程赴任
page 3	英皇行抵南國
page 3	統一甲種債票二次還本抽籤
page 3	粵漢隴海兩路局長昨同抵徐家棚兩路通車典禮雙十節可舉行
page 3	培爾提埃彗星距離地球 日遠
page 3	津市日人秘密組便衣隊警察捕獲五漢奸
page 3	蔣委長親吊吳醒亞安慰吳氏家屬吳柩定今日　移下山
page 3	陳立夫明日乘機飛粵
page 3	松室擬赴長春報告華北一般情勢
page 4	最可惜之一腳
page 4	馮有真君批評
page 4	不幸遂吃鴨蛋
page 4	華人公開水球今晚舉行開幕比賽兩場華人甲對中華華人乙對華員
page 4	公　籃球賽華僑乙克華大紅精武輕取陽光乙
page 4	華人游泳會五次水藝會有期十五晚舉行十四日止截報名
page 4	今日華雄對淩晨作籃球友誼比賽
page 4	兒童小球賽秩序
page 4	港市外匯仍穩靜
page 4	鏡湖杯籃球補賽華雄會對華僑隊
page 4	世運會中英足球賽最後廿五分鍾兩隊攻守速記馮景祥近門勁射被接失去可勝機會馮有真批評我隊守勝於攻缺點在慢李惠堂常被敵隊員監視無活動餘地
page 5	海關扣留米船案可先收按稅放行
page 5	桂軍在梧佈防似取久守勢但窺其動作亦似無東下意中央軍繼續西上佈防各處陳師鄧志材旅到容桂駐防
page 5	財廳整理全省營業稅計劃由每年百餘萬增加至四百萬增加方法不加重稅率在於抽查商人之資額剔除瞞報之弊
page 5	粵省黨務採用特派制內容省市黨部各部長亦須由中央指定將來每縣市亦派特派員一人就職日期須候陳立夫抵粵決定羅偉疆對記者談
page 5	四路軍旅團番號已奉中央電改編
page 5	蔣委員長今日來粵訊桂擬派李品仙謁蔣桂事有迅即解決之勢中央再調十八軍來粵第十一師今日可到省傳陳漢光師一部份異動不確
page 6	省主席與市長昨日接命視事誌詳
page 6	省主席就任
page 6	市長接任
page 6	貨幣政策
page 6	注意下列
page 6	海周等五艦撥江防司令部統轄說海周四艦擬改作運艦海維則改為內河巡艦
page 6	乞巧簡中之河南白鶴洲等處蛋歌比賽天上雙星之會人間行樂之時姑妹情哥調情嘲弄別饒風味抑亦點綴昇平
page 6	整飭市容之佈告
page 6	湖廣熟天下足改進湘米產銷方案三對於國計民生意義甚大積極推進湘米銷粵政策
page 6	省行行長沈載和
page 6	中央資源委員會
page 6	前第一集團軍總司令部
page 6	粵空軍將領于前月十八日全體北飛
page 6	粵海關監督周寶衡辭職
page 6	新任粵高法院首席檢察官謝英伯
page 6	據軍息
page 6	旅滬粵人請廢娼
page 6	劉維熾接任建廳長劉氏之談話
page 6	法幣專門會對改革幣制之意見請轉呈政府採納施行改制前須先妥置白銀堅民信仰次站國民經濟立場定大洋比價
page 7	程氏任務
page 7	許氏譚話
page 7	書面譚話
page 7	蔣決南來
page 7	林主席復尢列電
page 7	逸仙永健兩艦昨日又來港陳紹寬將乘艦赴東沙島視察
page 7	另一清涼世界
page 7	奉命重來
page 7	發展東沙
page 7	陳氏南下
page 7	桂民救省會昨日招待新聞界
page 7	佐佐木案兩疑犯遣送回英
