page 1	粵省推行新運當先除障礙
page 2	瀨戶田中二人詳述當時情形
page 2	駐華日大使館仍取緘默態度
page 2	外部派員調查俾定應付方針
page 2	日員五人赴川調查此案真相
page 2	冀察將有人事變更日方又有四項要求石友三謀任津市長
page 2	全國七月份對外貿易統計入超一千四百餘萬元
page 2	韓義士許亮義在津日界被捕
page 2	中央造幣廠鼓鑄新幣統計
page 2	華北日武官在津舉行會議對華北一般問題均有詳細之討論
page 2	駐俄大使蔣廷黻積極籌備出國據談此次奉派出使當不至感任何困難
page 2	日三相會議討論蓉案認有採取基本步驟必要有田表示意見謂成都事件不應視為地方問題當由中日雙方政府調查其起因予以根本解決駐華日大使館曾一度召開緊急會議出席各員對此案均主張取強硬手段蓉案發生前某國人確作對我不利活動
page 3	津市法租界查獲共黨份子
page 3	法商公司利河輪船被劫
page 3	王用賓談大赦政犯手續
page 3	南滿沿線義軍紛起抗日反滿
page 3	防毒影片寄粵
page 3	南昌中正醫學院籌設三點意義王教長對記者之談話
page 3	直接稅籌備處攷試稅務人員
page 3	尤烈在滬休養
page 3	鄂省土地統計
page 3	株州機廠籌備處將成立
page 3	陳紹賢奉派粵市黨委已辭交部職務
page 3	中懲會發表三懲戒案
page 3	儲蓄銀行繳存儲款擔保財部通飭各行照辦
page 3	英國終止對埃及軍事佔領英埃聯盟新約昨已正式公佈
page 3	聯盟之範圍
page 3	軍事之訂定
page 3	英法兩國努力運動對西中立勸各國加入中立協定
page 3	國交討論會舉行圓桌會議九國約提出仲裁日代表極力反對
page 3	倫敦各報評論
page 3	意政府發行庫券投資開發亞國
page 3	亞軍突攻亞京
page 3	中國足球隊將在倫敦賽球
page 3	美陸長鄧恩患心臟病逝世
page 3	立院六九次會通過川省建設公債條例案債條例案債額四千五百萬元中央准先發三千萬元該款用途除辦理建設外並須換償奮公債
page 4	廣州水體會舉辦三千公尺長途賽冠軍獎品由錢大鈞捐贈
page 4	精武會將遷新址
page 4	郭振恒今晨赴滬代表滬方出席埠際游泳比賽
page 4	南華會友籃球賽九月一日開始報名約期九月下旬開賽
page 4	英銀價遠期略漲
page 4	廈門精武會女子籃球隊昨抵港本港　武會昨晚即開會歡迎卅一日晚交戰賽前表演國術對抗對象屬飛燕西南養中精武群星等隊
page 5	余總司令二次慰留張之英蔣委長面囑勿令引退江防部擴編第四艦隊部說
page 5	桂軍佔廉江後之南路情形桂分四路作戰之編配桂軍分路進圖欽廉由翁照垣區壽年擔任
page 5	何熊未定期離粵
page 5	每師組設軍醫院制度為流動式
page 5	財廳定期撤銷維持紙幣專稅廢銀用紙後毋須專款維持減輕商人負擔定九一撤銷
page 5	中央軍撤退時桂軍入南路粵漢廣三兩路之軍運忙翁照垣部入廉江北海亦告急中央軍增調西南兩路四路軍限即遵照戰時組織五寵惠俟鄧世增由桂返粵再定赴桂行程西路中央軍撤退後之西江交通中央軍艦續開南路
page 6	嚴查市面散兵
page 6	建廳之廳務進行
page 6	廣州執行夜禁後
page 6	征稅之變更與取銷
page 6	煤油
page 6	煤炭
page 6	鎢礦
page 6	定期九月一日開始實行禁煙推定黃慕松等禁煙會委員辦理吸戶登記及檢舉公務員
page 6	推定禁煙委員
page 6	切實施禁步驟
page 6	廣州小販團請商會主持公道
page 6	史趙兩院長今日宣誓就職居正監誓
page 6	商會之力爭大洋比率再電財部解釋
page 6	徵求各公會意見
page 6	行商討論之情形
page 6	軍事要訊另錄佛山軍隊之來去
page 6	財部規定進口存貨運銷法
page 6	整飭南效警政伍祖蔭之計劃
page 6	僱軍官團九一成立
page 6	僱大幫輪渡運輸
page 6	南雄商會之條陳
page 6	談話
page 6	王寵惠昨午抵省赴桂日期尚未定
page 7	粵省財政
page 7	就國稅言
page 7	免除十種
page 7	會計制度
page 7	王寵惠昨晨已乘車晉省赴桂與否晤蔣後始能決定黃紹雄仍留港擬今日返省
page 7	經亨利已有起色
page 7	廣九車擬增夜班利航輪下月起亦改班期
page 7	紐思倫兩飛行家昨早由港飛西貢
page 7	外籍義軍紛退伍不願向別國君主宣誓
page 7	尖沙嘴將增一大建築物
page 7	印警鎗殺同侶案押候下星期一再審
page 7	海面撈獲兩浮屍
page 7	陳濟棠擬明日乘輪放洋先至瑞士休養再轉英法等國林翼中現留法候與陳氏會晤
page 7	紅磡行兇案詳臬
page 7	市虎又噬傷兩人
page 7	華人會泳場修復
page 7	財次鄒琳過港北返向孔部長報告粵財政狀況孔氏有南下意但行期未定
page 8	煙
page 8	電油
page 8	鴉片
page 8	中國生坭
page 8	波斯生坭
page 8	熟膏
page 8	紅丸窟
page 8	其他毒品
page 8	粉嶺稅關
page 8	新例
page 8	商業統計
page 8	煙舖
page 8	公煙專賣所
page 8	紅丸
page 8	虛報劫案一犯被罰
page 8	捐助救傷隊者題名
page 8	石鼓洲三海賊騎劫貨艇掠貨物現金約值肆百元
page 8	本港出入口統計署之年報煙酒銷量激增但稅收反略減紅丸盛行公煙收入減少一半
page 10	醉老婦失足殞命
page 10	強將人女配已子老婦處徒刑六月
page 10	手車伕竟作淫媒
page 10	大木壓傷苦力已死
page 10	竊金飾兩男女被控
page 10	福特車銷售遍世界
page 10	繁榮會委員大會定本月卅一日下午舉行
page 11	南海縣政府請裁九江市政局
page 11	海豐速記
page 11	一緒言
page 11	二文化機關
page 11	三風景
page 11	四政治地理
page 11	新會剿匪煤費仍減一月
page 11	土紙跌價營業困難
page 11	平洲分局長被押留
page 11	裁九江煤油檢查所
page 11	台山奉令九一裁減警隊
page 11	區長省請願兩事
page 11	惠州電油爆炸焚船死人
page 11	整理荒田恢復晒鹽
page 11	南海九江匪徒械劫住宅
page 11	新會小艇被聯益渡撞沉
page 11	順德蔗農受天災摧折之損失
page 14	各國備戰之狂熱
page 14	一軍費開支
page 14	二陸軍軍備
page 14	三飛機建築
page 14	四日本歷年軍費之增加
page 14	綁朱紹陽夫人三匪犯槍決逸犯白純照郭廷芳綏靖署令平當局上緊查緝歸案
page 14	三犯槍決時均大呼痛快
page 14	公布各罪狀于振雲釋放
page 14	被災人民
page 14	名勝之地
page 14	昆明名勝小島山突崩塌山崩百餘丈填入海中約近一里傷斃人民六十餘毀房卅四間
page 14	上緊緝逃犯獎出力人員
page 14	蒙偽匪軍準備大舉侵綏晉綏軍已在陶林等處增防
page 14	華北日領會議閉幕各項議案與陸軍呼應海軍武官亦舉行會議
page 15	劃區育苗
page 15	移苗植樹
page 15	栽植風景
page 15	造保安林
page 15	栽行道樹
page 15	造經濟林
page 15	東南　暑勝地莫干山訪問記一柏油馬路出汗之日正是山上黃金時期
page 15	干將鑄劍莫邪殉身
page 15	秦檜花園猶存遣址
page 15	高出海面二千餘尺
page 15	一棧轎子一兩樣錢
page 15	舊道風景勝於新道
page 15	滿眼石級無路可走
page 15	山中別墅各有風緻
page 15	察省念五年度造林計劃暫由萬全等十縣開始施行每年至少需移植苗十萬株
