page 1	匯業銀行規復與西原借款
page 2	蔣委員長壽辰各方賀電紛紛舉國作華封之祝中央廣播台公佈慶祝節目贛蘇壽機昨日舉行命名禮
page 2	平市各工會
page 2	工人福利會
page 2	滇主席龍雲
page 2	南京扶輪社
page 2	駐怡朗分部
page 2	廣州特黨部
page 2	稅警團黃杰
page 2	蒙會德王電
page 2	令人驚異中日談判緊張中日對華出口貿易大見增加日本實業界現因此而大見活躍日當局計劃增進對華經濟政策
page 2	器識宏遠志慮忠純　府昨明令優卹楊永泰並給治喪費一萬元生平事蹟存備史館
page 2	魯省白銀秘密運京日方對此批現銀南運極為關注
page 2	行政院已決定撥十萬元賑濟桂災派李榮凱曹仲桂赴桂散放
page 2	遊覽華山後蔣委員長昨抵洛陽下車後即赴軍校休息
page 2	偽帝無後欲再立妾已派人赴平挑選
page 2	某方盡量收買各種雜糧
page 2	決不承認日要求京中多數文武大吏咸主張取堅決態度對日中　政府若接受川樾最近之要求其致害于中　尤甚於戰敗于日本平教育界發表宣言促中央對日談判取強硬態度川　將要求與蔣作第二次之會晤
page 3	阿王由平晉京代表綏蒙各委祝壽並擬報告蒙政情況
page 3	滬市府請江浙撤銷糧食出口禁令以顧全滬市民食
page 3	德國尚未有承認偽國表示
page 3	孔祥熙日內返京處理中樞財政
page 3	楊綿仲出發各縣視察農村經濟
page 3	晉省光復紀念參加者萬餘人
page 3	中央昨開常會
page 3	海萊博士調查滬市魚業
page 3	日紗業在華北甚活躍
page 3	蔣廷黻出國赴任昨已抵海參崴
page 3	冀建廳提倡合作事業
page 3	首屆國民運動會昨日在京舉行
page 3	侵略國軍隊不許通過比國領土比外長在眾院解釋比外交政策今後比國仍願參加國聯會集團
page 3	攻馬德勒叛軍續有進展通牒政府軍招降限四十八小時內投降否則將受慘烈之懲治
page 3	西內亂不干涉委會開會各國互相指摘聚訟會議結果依然未得要領蘇聯否認退出調委會說
page 3	意法西斯黨進軍羅馬紀念全國各地烈慶祝
page 3	國社黨成立十週年紀念戈林發表演說解釋四年計劃勸告國人使用肥料以增加農田收穫並戒除浪費德人應以購用國貨自負
page 3	俄政府重新規定盧布對外匯率
page 3	羅捷等小協約國宣稱與德合作
page 3	日外交當局放棄與英合作概念
page 3	財部商討統制糧食辦法
page 4	高級學界籃球重要之戰攻守聯絡動作敏捷港大壓倒華仁接觸後蔡景愈抽筋港大後方空虛資本雄厚上半場完二十對十領前下場華仁全隊合力反攻情形良好港大　靜應付以卅五對廿九勝利
page 5	各縣會計獨立之先聲財廳審查地方財政各縣設立縣金庫及縣稅捐局定期年一月一日施行
page 5	孫哲生昨尚留省與黃主席商粵政各大員行蹤續訊
page 5	黃埔闢埠工程分兩方進行商埠開闢計劃首重測量溝通黃埔附近交通路線
page 5	節育問題廣州女同胞格外看重了青年會一夕聽講記
page 5	建廳將施行新制各科長已委定
page 5	市府擬定合署辦公暫行大綱通飭所屬機關實行
page 5	商店報效一日營業購機店員亦捐薪一月
page 5	四路總部有撤銷軍官團說軍官改學員大隊購中央分校訓練
page 5	中央軍清剿西北共匪南來各軍之調遣近訊湘何電粵路南段局徵調空車赴衡候用
page 6	進口貨物加蓋嘜頭號數辦法不准緩期施行
page 6	粵路籌防範撞車在武昌召集會議
page 6	省府解釋禁賭例第六條文
page 6	中大畢業同學組織母校歸寧團十二週紀念日回校舉行球賽
page 6	江防部全體軍官對於張司令之英之去思全體軍官之送張公去任序
page 6	電影業之檢查訊
page 6	又一日文新校
page 6	第四集團軍總司令部以前梧州區民團指揮部管轄之範圍過大
page 6	國府文官處印鑄局長周仲良
page 6	市黨部特派員兼救濟院長羅素約
page 6	據桂省某要員消息四集團總部
page 6	財部總視察曾仰豐
page 6	新任江防司令馮焯勳定十一月二日到部接事
page 6	廣九路局收買白雲路被焚之木屋地址
page 6	廣州安華公司車廠昨發生火警
page 6	省府主席黃慕松決定完成本省地政工作
page 6	發展本省蠶絲業建廳擬定六項要策
page 7	港貨禁標中國製造字樣出入口昨已正式通告
page 7	車輛失事之統計
page 7	參加團體
page 7	議決事項
page 7	請恢復國大選權電燈公司華游樂會之呼籲
page 7	歡迎黃曾籌備會昨如開首次會議各團體代表出席者數十人
page 7	戴恩基昨乘中航機抵港汎美公司總理基列伯等同行
page 7	島上特品得人好評
page 7	廣東銀行復業期已定下月十七日
page 7	獻機會賀電
page 7	機器會賀電
page 8	中日問題
page 8	土地公有
page 8	兩路一通
page 8	東華三　院萬善緣法會開幕華民政務司　場主禮
page 8	開幕情形
page 8	主席致詞
page 8	大批美艦將到港
page 8	僧尼誦經
page 8	籌建公園之進行
page 8	陳宗賢過港北返
page 8	聖雲仙會賣物會下月一日在　減運
page 8	旅店中少年服毒
page 8	彌敦道劫案押候
page 8	民輪搭客投海
page 8	淺水灣女屍身世
page 8	廠聯會理事會議
page 8	新紙幣過港運滬
page 8	四人意外受重傷
page 8	猜麻雀惹出打架
page 8	製造紅丸案詳臬
page 8	鏹水淋夫案初審
page 8	陳福善畫展會尾聲
page 8	港大學生會會議期
page 8	啟明影業公司成立
page 8	崇正歡迎黃之籌備
page 8	祭胡代表林雲陔等今日乘輪北返孫科定下月一日來港轉返中山閻錫山代表李鴻文談匯北近狀
page 10	初級法庭案彙誌
page 10	半島小學演說賽
page 10	警探捕獲行竊疑犯
page 10	大腸熱症之可怖一週內死七人
page 11	普寧白沙等鄉派代表來省請願因與鄰鄉爭水陂事
page 11	古兜山匪死灰復燃警隊之進剿近訊
page 11	石岐取締逾時營業
page 11	海豐警衛隊裁去一中隊
page 11	收容煙民戒毒墾荒
page 11	竊匪被事主轟斃案
page 11	各界捐機一架祝壽
page 11	清遠布告開辦煙民登記
page 11	司法行政部長王用賓對法院全體職員訓詞一痛陳本省過去司法不良提出今後改善方針九點
page 11	莊步匪劫杉排激戰
page 11	陳村商會被竊獲匪
page 11	廓清佛山警察積弊
page 11	槍殺警長匪已就擒
page 11	西江電船被匪黨截擊
page 14	鄂主席楊永泰遇刺逝世詳情身中兩槍移至醫院殞命兇犯當堂捕獲正嚴訊中各界組治喪處辦理善後秘書盧鑄代行副主席職務
page 14	江干遇刺情形
page 14	兇手當場就逮
page 14	敦槃影語中日外交之側面談
page 14	省委緊急會議
page 14	各界組治喪處
page 14	華北日軍大演習假想佔領北平預先號佔民房數千幢備用演習時以北平為爭奪目標演畢假想戰勝舉行慶祝
