page 1	粵省水利之沿　與今後進展
page 2	全會宣言內容不放棄中日國交調整之努力對內方針仍本和平統一原則
page 2	全會主席團提出絕根赤禍一案原文澈抵取消紅軍與蘇維埃組織並停止赤化宣傳與階級鬥爭
page 2	本黨對內絕無畛域之見
page 2	共黨食言陰謀顛覆本黨
page 2	四出騷擾蹂躪粵閩等省
page 2	窮蹙邊隅倡言輸誠受命
page 2	不顧國難兩次牽制抗敵
page 2	本黨爰定四項根本辦法
page 2	根絕赤禍維護國家民族
page 2	交部輔助職工女子教育設置貧寒職工子女獎學金第一年先設初中學額六十名每名每年給與獎學金四十元
page 2	津浪人侵入法租界企圖劫回被扣私貨為法捕所阻未償所願拘獲六韓人解日領署
page 2	某國嗾使蒙民移往新疆遊牧
page 2	王以哲等靈櫬由專車運抵平
page 2	朱培德靈柩昨移厝毘盧寺移靈行列綿亙里許名方要員均到執紼
page 2	三中全會六次大會通過根絕赤匪決議案中常會取消主制恢復常委制大會今日閉幕宣讀全會宣言邵力子任中央宣傳部長陳公博任民眾訓練部長
page 3	東北軍暫駐俠北待命
page 3	長谷川昨抵平
page 3	津浦路全路貨運恢復
page 3	國軍進剿米家營擊斃赤匪千餘
page 3	粵桂閩贛湘五省長途電話聯絡三個月後一律通話
page 3	日對外兩通信機關決定進行合併將與國外各電信社聯絡無線電信電話
page 3	蔣輯西安半月記將正式發表在中央未正式發表前各報紙刊物不得刊載
page 3	六期受訓專員縣長昨行開學典禮
page 3	廣九路借款基金保委會
page 3	鄭看守所押犯三百餘人
page 3	全國美術展覽粵預展會
page 3	此間製造偽鈔機關因當局查緝嚴密已將總機關移滬
page 3	三批蕪米五四五二九石今運抵省
page 3	豐田紗廠廿一日晝間循例休假
page 3	宋子文偕劉瑞恒宋子安杭市長周象賢暨隨員等十餘人
page 3	宋哲元定廿二日六時在英租界私邸歡宴駐津各國司令官聯歡
page 3	洛市廿日廿一日雨雲甚 大
page 3	洛龍門香山寺
page 3	張聯陞廿一晨謁宋
page 3	遼寧特務機關長三浦
page 3	關東軍昨開幕僚會議以綏及華北事件為主要議題
page 3	田尻廿一晨啣命返國
page 3	傳偽組織參加世教會議此事如果屬實我國決不參加
