page 1	汪精衛重視全會提案
page 2	出使經年許世英昨返國抵滬許在輪次發表書面談話明日入京謁王外長述職
page 2	行政院議決任命鄒敏初為粵省府委員粵省委羅翼群另有任用應免本職閻傅趙守土有功均頒給寶鼎勳章
page 2	利之所在原料分配委會首次會議英日爭持分配世界原料英代表李滋羅力闢門戶開放政策日代表須籐攻擊各國獨佔原料制度
page 2	蔣昨離滬飛贛赴廬休養蔣夫人同行
page 2	西亂不干涉委會全體會議通過西海陸邊境監察計劃該項計劃準十三日起實施實施程序將分作三步執行
page 2	經濟提攜來結使者兒玉等行程已定蘆鹽輸日合同明日簽訂
page 2	任免事項
page 2	艾登演說大戰可望倖免人皆覺悟戰爭浩劫使野心者有所顧忌
page 2	三中全會決議案撤廢領事裁判權交主管機關切實辦理王外長定今日接見各國駐華大使王俞定十五日舉行宣誓就職典禮
page 3	佐藤宣言要點滬各界甚重視
page 3	時事新報
page 3	朝日等三大報評論佐藤演說
page 3	朝日新聞
page 3	讀賣新聞
page 3	都新聞載
page 3	中日具體問題解決仍多困難
page 3	日議員提荒謬質問曷承認中華民國名稱竟謂日不能與我平等
page 3	王外長之談話含有重要意義
page 3	楊虎城發表談話謁誠擁護中央決策三十八軍業經遵命編為兩師西安綏署按照編制加以整飭
page 3	日謀消除作戰危險美政界之意見
page 3	希望佐籐能言能行英政界之意見
page 3	日駐華海陸高級武官在滬舉行重要會議津青濟漢各方均有提案
page 3	私人家宅集人賭博無罪
page 3	川黔鐵路公司理事人選已定曾養甫為理事長
page 3	白俄人在福州製造偽金行騙以土加藥製成金屬
page 3	西大戰爆發馬德勒守軍被迫退守二道防線政府軍國防委會公報稱叛軍方面曾有意軍助戰
page 3	何部長關懷傷廢官兵撥款為傷兵鑲腿
page 3	交通銀行續辦二期粵省蠶絲貸款連前共計一百萬元
page 3	滬中外體育界籌建亞令匹克運動場投資總額為國幣二百萬元地址在白克路建三層大廈
page 3	宋哲元昨返平赴魯會韓不確
page 3	義軍夏雲階部圍攻通北日軍日軍死傷十一名
page 3	比國中立問題英比進行談判比王將微服赴倫敦與英當局討論此事
page 3	京南開校友分十九隊募捐
page 3	佐藤演詞祇在顯示對華外交姿態日有誠意始能打開僵局滬輿論界希望佐藤能實踐其言日人對冀東偽組織仍強欲保留
page 4	今日尋常杯南華華出戰海軍此外另有甲乙丙組五場舉行
page 4	第二屆公開長途跑今日發給號碼報　獎品者仍紛至　來
page 4	普通界籃球賽南華華對港大今晚有劇戰乙組兩場亦有可觀
page 4	南華會徵求延期至下月結束商務等加入為團體會員
page 4	徐惠培代表我國出席台維斯杯賽昨已函覆全國體協會能赴歐出席
page 4	李惠堂明晚講球經
page 4	網球賽又因雨改期
page 4	群聲籃球隊克微光成績廿七比廿二
page 4	英美匯兌昨報升
page 4	本港外匯市平穩法貢匯掛牌略縮
page 4	劉德修缺場陳汝正抱恙華僑甲敗於美艦成績差一分三十五對三十六美艦加入新將表演較前聯絡
page 5	余漢謀抵省誌
page 5	黃旭初在省酬酢聞昨晚乘車返桂
page 5	追悼尢烈之決定
page 5	粵路增開廣武特別快車廣滬掛車將實現
page 5	粵鹽銷湘日絀鹽商急謀救濟之進行鹽稅加征後省河鹽價突漲程船行積極請撤銷停　法
page 5	烽毀甘竹灘石順德人士極力反對續詳前日開會議決定治標治本兩辦法昨日聯赴省府總部請願
page 5	請願情形
page 5	實行武裝緝私後海關稅收之增加
page 5	廣州戰劇院勞資糾紛解決
page 5	黃埔闢埠最近工程詳誌
page 5	桂省再禁米出口
page 5	派員測量
page 5	粵海關征收浚河費案之經過中政會議通過事在必行商人反對無效督辦署某要員談話
page 6	國貨委員會收用民地之糾紛
page 6	追悼陳欣庸陳樹人輓言哀痛
page 6	河南鄉人之護墳重將帥批勒碑
page 6	丁紀徐致蔣堅忍書
page 6	行政院六日電省府云
page 6	廣東憲兵教導隊
page 6	粵各界援綏會
page 6	全國稻麥改進所稻作主任趙連芳抵粵
page 6	四省特產展覽會仍繼續徵求出品
page 6	桂省府派員孔繁琨
page 6	市衛生局長歐陽慧聰
page 6	華僑中學
page 6	中央空軍第一集團總指
page 6	廣州市商會
page 6	廣九路焚車案之死難家屬
page 6	營業稅風潮將解決營稅局準備加開夜工屆時申報商店擠擁征收處將添僱人員潮汕方面之解決訊
page 7	華僑團體歡迎會
page 7	大會職員
page 7	到會人物
page 7	開會情形
page 7	開會理由
page 7	致歡迎詞
page 7	余氏訓詞
page 7	開發瓊崖
page 7	劉氏訓詞
page 7	港奧關係
page 7	投資保障
page 7	華商總會歡迎宴
page 7	歡宴情形
page 7	主席致詞
page 7	讀歡迎詞
page 7	余氏演詞
page 7	強弱標準
page 7	粵省經濟
