page 1	孫中山逝世十二週紀念感言
page 2	中日經濟提攜呼聲中兒玉等今日啟程來華日商工會議所舉行聯席會議王外長昨延見駐京各國代辦
page 2	蘇大使鮑格莫洛夫將返任即將進行改善中蘇國交關係
page 2	滬租界當局越界強迫華人納稅華人據理力爭不允繳納租界當局封鎖各路交通
page 2	立法院例會決議強迫勞動公約暫緩批准因該公約內容與我國情多不相合
page 2	京市空前大火被焚房屋計數十家損失在百萬元以上
page 2	四政府徵集精兵十萬堅守馬德勒城叛軍方面有意兵兩師參加作戰預料此次戰爭必為空前之劇烈
page 2	西政府向德意提出嚴重抗議
page 2	津滬埠際足球賽津隊定期南下
page 2	閩鹽務漸呈蓬勃去年稅收增加
page 2	皖贛紅茶貸款在滬簽訂合同
page 2	日外省實施舉國一致外交陸相杉山表示軍部並不反對
page 3	蔣對張楊訓詞採作教材藉養社會氣節向重國家紀綱
page 3	隴同兩路貨物保險辦法
page 3	渝行營撥款救濟災民
page 3	總理逝世十二週年各地舉行紀念
page 3	渝
page 3	漢
page 3	京
page 3	桂
page 3	劉峙離贛北近
page 3	孫蔚如發表縣長六人
page 3	日暹電話昨日開始營業
page 3	政院規定省府合署辦公細則要點
page 3	冀省府接管海河放淤工程
page 3	中常會決議要案五月十二為胡展堂逝世紀念任用安懷音為黨史編纂會事務科長
page 3	唐才常等公墓全部工程已竣定今日舉行落成禮
page 3	京婦女新運會舉行週會紀念
page 3	杭玉段決定改換重軌
page 3	于學忠部已由甘陝出動繆徵流過鄭赴郾宋希濂晉京謁何
page 3	許世英昨夜晉京述職
page 3	閻日內赴綏
page 3	致祭陣亡軍民政院參次熊斌代蔣前往致祭
page 3	法律家談劉案似非嚴重
page 3	滬著名女運動員失戀服毒自殺
page 3	原料會議結束
page 3	奎松主張美菲訂新條約俾菲得早完全獨立
page 3	德國贈我影片片為體育與軍人
page 3	墨索里尼赴北非里比亞
page 3	法國防公債將於今日發行
page 3	美司法改革案參院開始審查
page 3	愛爾蘭新憲法草案提交國會討論
page 3	蘇聯反教運動有將終止之勢
page 3	保證比利時中立計劃英政府預備接受此項計劃不啻將英法比防禦同盟改為英法德三國聯合保證比獨立
page 4	蘭芳杯乒乓賽陶聲幸勝淩風四比一白虹再敗今晚中央對雪峰
page 4	昨日網球賽又改期
page 4	傑志會覓定會址莊士敦導百三十二號
page 4	英京銀價無變動
page 4	公開長　跑賽會聘定全體職員鐵定十四日上午舉行
page 5	開闢七滘工程鉅大
page 5	其為害也甚于炸灘
page 5	各銀行貸款近訊
page 5	絲業放款
page 5	工商業放款
page 5	建築放款
page 5	粵鹽商反對增稅擬罷業一月待解決鹽價仍續高漲
page 5	接待外人之規定
page 5	黃旭初昨乘機返桂回桂先到邕寧晤白行前與羅卓英會談
page 5	行前晤羅
page 5	啟行情形
page 5	闞宗驊談
page 5	開發瓊崖具體化已決定經費及計劃
page 5	余漢謀定明日出席部務會議
page 5	粵辦理禁煙困難蔣總監之電示
page 5	開浚七滘河道黃謙益謂其害甚於炸灘昨對本報記者談話現已派員前往測勘測勘完竣權衝利害呈請省府核奪　行
page 6	起因甚微乃為獅被
page 6	水中混戰煞是好看
page 6	別館拳師出而調解
page 6	民族渡善後辦法航局王科長之談話此案未解決前輪渡停航船員資格撤銷並負責賠償此案券宗已磅法院炸灘事之商會擬辦船員訓練班
page 6	張仲新力辭省營產物經理委葉偉卿接充
page 6	糖業檢私會負責人對反對抽費意見
page 6	解而難決之勻攤營稅潮提出反響者四十餘行稅研會限期填報函
page 6	外人尊重我禁賭沙面獲賭徒送警局究辦
page 6	為手車伕謀福利市府擬定各項辦法
page 6	入舖緝私之反響被捕洋服店伴昨日已准保釋
page 6	製皮工人組會之糾紛一部份工人反對呈市黨部之原文
page 6	懷集縣亦鬧米荒
page 6	女理髮師制服亦須劃一
