page 1	川局安謐中之一般謠傳
page 2	喜多謁蔣後過鄭飛津參加華北日武官會議
page 2	檢閱抗戰力量汪閻在綏舉行閱兵汪閻定今日乘機飛太原
page 2	許　將慰留後現已打銷辭意日間赴黃由休養
page 2	愚谷村房捐糾紛事市府出任調解與工部局商解決辦法
page 2	日貴族院因綏遠事件發生激烈辦論日外省與軍部雙方宣言互相衝突陸相謂華北日軍部實應發表聲明
page 2	劉蘆隱獄中生活七時起床飯後讀書有時朗誦聲達戶外
page 2	英議員注意中日問題對日人在華販毒走私提質問外次答稱英政府對此全部問題時加考慮
page 2	漢粵無線電話定期正式開放並可接通香港
page 2	川省災情奇重
page 2	岷尼拉爆竹廠發生爆炸慘劇炸死者二十五人受重傷者三十人
page 2	如此親善藉口鮮人走私斃命事件日向宗提無理要求禁華警攜軍械對付浪人走私懲辦負責人並向日當局道歉
page 3	王外長歡宴兒玉等
page 3	外長致辭中日同種同文兩國間應有密切關係
page 3	川樾答詞親善種子尚在今後之發展希望無窮
page 3	兒玉答詞不談邦交大勢惟盡力中日經濟改善
page 3	德美筆墨官司將可告一結束
page 3	未來西歐公約談判將以比國中立地位為問題焦點英法德應迅即成立妥協共保比國安全否則比德單獨訂立協定英法勢必被削
page 3	英眾議院通過空軍預算案總額達八千二百五十萬鎊本國境內空軍將增至一百二十四隊
page 3	滬絲廠工人要求加薪罷工
page 3	德空軍部舉行恢復徵兵紀念
page 3	馬德勒前線雙方掘壕備戰叛軍發炮轟城居民傷亡頗多
page 3	英機土星號遇險墜下被燬英航空公司歐洲經理胡里多氏因此斃命
page 3	蔣院長招待日經濟攷察團闡述中日兩國文化經濟關係特別提出已　不欲勿施於人請日人加以注意希望中日兩國經濟實業界共同努力於親仁善鄰
page 4	敗得可惜
page 4	一路佔先
page 4	陣線動搖
page 4	再度中興
page 4	卒歸失敗
page 4	苦戰之下雙打大告山奴隊勝郭慶深單打夏利臣倖勝馬乃光今日繼有單打三場舉行
page 4	普通界籃球賽青年會戰華南華南即敗亦有劇戰
page 4	黃伯長抵津首戰旗開得勝一土耳其一大力士以二比一敗蒙面客戰印度冠軍各和二局
page 4	倫敦銀價昨報升
