page 1	中日外交之前途
page 2	日人走私手段層出不窮津滬分設走私機關津市實行武裝送貨滬市收買流氓拒緝
page 2	魏道明談洋米免稅係短期性質不致影響國米運銷政府雖以運銷國米為原則但供求發生恐慌須要救濟
page 2	本年度大治鐵礦限制對日輸出額日方要求輸出數量已嚴峻拒絕
page 2	陳介辭外次職
page 2	林主席抵桂林後召見桂黨政軍領袖
page 2	致影響國米運銷
page 2	傅作義拒絕某方邀宴愧領盛賜猶恐失儀
page 2	韓復　尚在青
page 2	粵港滬空線試航新巨型機
page 2	輸日蘆鹽首批即將啟運
page 2	德贈軍何勛章
page 2	國貨聯營公司在京開創立會
page 2	潮屬庵埠發生第二角田案台籍醫生病死日領要求剖驗
page 2	司法院解釋民法疑義
page 2	外籍教授應繳納所得稅
page 2	教育部改進中等教育
page 2	醫學教委會召開全體會議
page 2	各地紗業要求暫緩加稅
page 2	日藏相結城在大阪經濟協會演說主張改變對華情感日大使昨訪外長王寵惠商議恢復中日談判問題
page 3	協助外人走私處死刑
page 3	豫省剿匪捷報
page 3	日海軍檢閱使大角離青駛滬日內轉艦南行
page 3	第二渭惠渠測量後即興工
page 3	邵力子廣播演講原詞題為非常與平凡
page 3	神風號機已飛過八達城
page 3	世界糖業會議決定建議減低產量
page 3	英對國際政治暫取觀望態度
page 3	蘇俄人民委會取消公眾飯堂
page 3	日林首相訪近衛交換組織新黨意見
page 3	美當局否認改變貨幣政策
page 3	英中國協會昨開常年會議主席演講中日問題
page 3	西國內戰相持不下歐洲時局益趨危險發生種種嚴重事態均足威脅歐洲和平
page 4	滬東亞女籃排球隊昨南下征廣州出發前迭在京滬奏凱歸途經港時或作比賽
page 4	單打網球賽李惠堂被淘汰二對零葉炳超得勝郭慶深勝小萬蕭脫
page 4	紹漢頂出
page 4	易地再戰
page 4	利用兩翼
page 4	越門而過
page 4	公開小型足球明天開始比賽昨召開委員會及代表大會商議及宣佈關於比賽事宜
page 4	保羅球隊征省第一戰敗於興華第二戰勝記者隊
page 4	英美銀價昨報跌
page 4	英美匯兌仍趨縮
page 4	滬外匯市情穩定
page 4	中紙桂幣價略跌
page 4	省法幣價昨微降
page 4	八九金市價略升
page 4	港外匯市情呆滯
page 4	省西紙漲後略縮
page 4	各行股票之市情
