page 1	勗華北危機中之廿九軍
page 2	植田乘機飛承德策劃日匪偽犯綏日機械化部隊限下月初集中張北匪偽近忽徵伕役修理商都飛機場
page 2	楊虎城辭職蔣委長覆電照准蔣委長並派楊出洋攷察軍事　正籌備一切最近即可　行
page 2	何應欽電朱慶瀾黔災孔亟速籌急賑黔籍旅京人士聯合電呈蔣委長請批發賑款一百萬元辦理急賑
page 2	企圖增進外交效率擬強化使節機能增設駐外使館增加使館經費已由國府訓令政院飭屬辦理
page 2	軍政部常次陳誠昨正式就職由何部長領導行　致訓詞
page 2	五一勞動節各方舉行熱烈慶祝各地工廠均一律休假一天平津兩地警憲均嚴為戒備
page 2	王正廷明日啟程赴美
page 2	川樾返抵東京過神戶時發表重要談話中日關係未可　觀改善中日關係應解散冀東組織抗日精神乃為中國統一之發動力日現仍不能視中國為敵入日不擬地中國宣戰用樾是否辭職俟與外相佐藤會商後始能決定
page 3	褚電蔣汪報告週覽團抵滇擬在滇勾留八日仍分兩路取道桂川回京滇綏署省府昨歡宴各團　龍雲　均陪座
page 3	便利散賑廿劃分五災區甘省省政尚未恢　賑務進行不免困難
page 3	日總選揭曉民政兩黨大獲勝利民政黨佔一百三十二席政友會佔一百二十一席
page 3	彭學沛等提議促進鄉村建設政立考三院核議結果均認為目前切實之務
page 3	芬使昨覲見林主席呈遞國書
page 3	芬使頌詞
page 3	主席答詞
page 3	外長歡宴
page 3	宋哲元昨赴南苑閱軍
page 3	甘省府仍將局部改組賀耀組赴任期當在十日前後
page 3	程潛陳誠昨聯宴徐景唐
page 3	冀察改進棉產
page 3	程天固等抵瓊
page 3	台杯美洲帶初賽美勝日
page 3	陳繼昨到軍校接事全校員生開會歡迎
page 3	我國青年飛行家許陳長途飛行回國遊覽各地
page 3	陝回歡迎馬麟
page 3	氣象委會舉行首次會議決籌組中央氣象會統轄全國氣　事
page 3	中國茶葉公司昨舉行創立會推周詒春任董事長劉貽燕任副董事長
page 3	革命政　紀念日舉行紀念儀式
page 3	旅美華僑踴躍捐款購機
page 3	史丹法尼遊歷我國內地
page 3	經建會調查粵麻織業
page 3	國產影片　即將開始工作
page 3	晉謁捷克總統今日離捷轉往倫敦
page 3	比爾波居民撤退英艦予以保護
page 3	蘇聯伏爾加運河經已正式通航全長一二八公里
page 3	愛爾蘭自由邦發表新憲法草案下屆總選特提出由公民投票取決總督職位　被裁撤而以一統代之
page 4	本屆壘球今日開賽日僑對香港壘球會坎拿大商務專員行擲球禮
page 4	公開籃球賽青年會得冠軍四十比三四擊敗南華
page 4	聊勝於無三比一擊敗施福南華南獲尋杯亞軍球怪不出騎士不來華隊奮勇苦戰家強一隻兆榮一雙卒獲高歌奏凱
page 4	健　　場
page 4	良機
page 4	紀錄先開
page 4	撲救　從
page 4	尋常杯足球奧斯德勝南華華　成績四對二十
page 4	大戰之前
page 4	再接再厲
page 4	梅開二度
page 4	邊關進兵
page 4	公開排球頒獎期本月廿三日
page 4	西南排球勝仿林隊
page 4	英美銀價續報跌
page 4	港外匯市情穩靜
page 4	督審杯今日決賽華聯奪標希望甚微李惠堂足傷　李馮麥參加省運少壯派補充出陣勝利惟靠努力四時一刻　九龍球場
page 5	由汕赴暹輪船又有屆蛇案發生汕各界請市府查辦
page 5	社會局計劃改建市校四十間
page 5	孫科尚未暇南來
page 5	吳鐵城六日宣誓
page 5	洋米入汕之昨訊擬定取締操縱辦法
page 5	曾養甫晉京瓩整理粵省金融
page 5	新任各副旅長調京入陸大受訓訊本月中旬集中北上
