page 1	蘇俄將何如
page 2	龐部智敗三官廟之敵臨沂形勢轉危為安張部在艾山與敵激戰極佔優勢在三官廟挫敵獲槍枝彈藥無算
page 2	津浦北段我依然勝利日內將有驚人發展滕縣間鐵路被我軍切成十數節兗州及鄒縣附近已見我軍蹤跡
page 2	津浦南段我軍積小勝成大勝敵兵力單薄閉關苦守不難消滅上窯之敵數百一度來犯被痛剿
page 2	敵機一架昨犯蘭谿
page 2	浙北我游擊隊一度克復海鹽海寧敵大舉增援現在城郊與我激戰中孝豐吉安附近我將敵軍悉數肅清
page 2	我克廣德敵退泗安
page 2	浙北之敵焚燒海寧
page 2	豫北道清路我伏兵收夾擊奇功斃敵數百名毀敵裝甲車廿二輛我豫北民軍與正規軍密切聯絡
page 2	晉西我軍克復吉縣
page 2	敵機七十餘架在舉猛犯武漢武昌南湖徐家柵余家頭一帶平民被炸死百餘名情形頗慘
page 2	津浦我軍總反攻進展克復棗莊猛攻嶧縣左翼我軍克平頭店進迫濟寧嘉祥韓莊附近敵軍連夜被襲大起恐怖
page 3	日大藏省宣佈買賣外匯條例定四月五日發生效力
page 3	法國政府決定增強巴黎防空力量並支撥巨款以完成此項計劃
page 3	西政府軍全線崩潰國民軍繼續猛進
page 3	墨國沒收外油後各國油商轉向南美發展委內瑞拉油產之富馳名于世
page 3	日政界元老西園寺公患恙
page 3	奧發表新令鼓勵人口增加將施行新婚借款
page 3	戈林抵維也納
page 3	法政潮復趨嚴重勃魯姆內閣有傾覆可能全國工人數萬以罷工威脅內閣此種罷工將影響擴充軍備計劃
page 3	日駐奧使館決改為領事館
page 3	英意談判繼續舉行
page 3	多瑙河間德將增造運河
page 3	英通知德捷兩國擬出任調解兩國爭端但希特勒曾聲明不願別國干涉捷日耳曼人誅求無厭困難正多
page 3	日反戰作家鹿亙抵漢談最後勝利必屬中國謂我國抗戰係為世界和平奮鬥
page 3	對張伯倫演說蘇輿論界不滿謂拒絕蘇聯提案乃為侵略者所屈
page 3	英飛行員創英澳飛行紀錄
page 3	意國空軍成立週年紀念意政府正式宣佈增飛行場廿九處
page 3	居心莫測德將派艦隊停泊多瑙河羅馬尼亞各報以海盜行為視之
page 3	波立協商恢復兩國交通
page 3	對收買中東路偽滿不付期款日政府意亦圖避應負監償義務蘇聯政府已分向日偽強硬抗議
page 3	蘇聯向美國購新式機兩架準備用為模型以便大批製造
page 3	五月起閩省男子限令穿短衣衣料純用國貨
page 3	旅美羅省僑胞大批　品寄粵
page 3	抗戰新片完成將在各地放映
page 3	中蘇文化協會川分會昨成立
page 3	某參謀長談我敵迂迴戰略照戰略上言敵至少須用五十師團今敵兵力僅十六師團實不敷調度
page 3	南京各傀儡今日粉墨登場發表荒謬宣言不識人間羞恥
page 3	敵利用奸徒縱火圖焚大美晚報
page 3	孫科在英京發表談話我抗戰力量日見增加望西方各國能以物質扶助我軍蘇聯已允在大可能圍範內助我
page 4	今日鋼球賽徐家軍戰葡人想定　精彩演出
page 4	傑志會昨舉行復興紀念慶祝
page 4	友誼籃球賽記者勝成城團
page 4	昨日特別銀牌準決賽海軍慘被南華華淘汰乙組光華勝葡體會獲得決賽權
page 5	敵機昨又來犯曾衝進東山梅花村圖轟炸水塔不逞
page 5	市商會澈查米商請販洋米實情潮安縣民請免稅米省府批所請毋庸議
page 5	港匯價格徘徊升漲中財當局之調協辦法
page 5	汕各界商定平抑星檳客票辦法安暹客票亦規定價格
page 5	東戰場淹斃敵兵千餘薛岳之告捷電
page 5	市商會調查各行現狀今日提出討論為分配國債標準蔡昌提議將舊債從新複議
page 5	捕大王窖匪艇匪徒鳧水遁去
page 5	中國銀行梧州分行成立積極辦理農村放款
page 5	張炎今日抵省赴陸大肆業外傳敵職不確
page 5	官商積極發展粵絲外貿
page 5	中央資源會開發桂省各地礦藏集合法幣五百萬元與桂府合組礦公司
page 5	昨晨馬鬃港外發現冒懸我國旗之敵艦當局除飭各防軍注意外並通知外領轉告各洋輪萬山附近黃瑚海面新到敵航空艦
page 6	沿海各縣市設非常時期服務員
page 6	南澳漁民失業縣長舉辦急賑
page 6	新會募銷國防公債辦法
page 6	軍事戰與經濟戰
page 6	戰時之經濟國防與廣東之糧食問題一
page 6	台山積極整理地稅
page 6	江門中華劇場水兵打守閘人
page 6	舉行節食救國
page 6	捕獲嫌疑劫匪
page 6	頭溪圍已修復
page 6	南海草洲歹徒縱火
page 6	覆車沉船慘劇
page 6	沉船溺斃兩命
page 6	廣西省府決定全省儲鹽總額共廿五萬擔分由梧賀兩方購儲開始配運規定存倉管理各辦法
page 7	流行原因
page 7	危險情形
page 7	上海僧侶救護隊發表首期工作報告書救護受傷官兵難民十萬餘人二期工作開始希望僑胞協助
page 7	歐亞航空公司籌辦港滇航線下月初旬即可開航暫不飛經法屬河內
page 7	錢新之昨抵港
page 7	礦類出口統計
page 7	衛生局再勸居民與政府合作撲滅痘症患痘症者宜速入院留醫以免傳染西報主張外來新客均須著令種痘
page 8	愛國義士
page 8	離暹返國
page 8	女救傷班畢業
page 8	暹羅空軍
page 8	我前線將士一幕偉大戰蹟
page 8	調查所知
page 8	鋼鐵價飛漲本港建築業大受打擊建造工程幾完全停頓
page 8	粵當局擬在港設義校收容難民子弟東西中三區及九龍共四所
page 8	換物籌款
page 8	購得地段
page 8	辛亥救護醫院書畫展覽會今日開幕羅旭和氏主持開幕典禮換物會昨日籌得千餘元
page 8	新建築物
page 8	中華書局工潮尚未解決
page 8	楊壽彭遺灰月底運港
page 8	音樂大會
page 8	五志聖昨由滬抵港日間將轉漢謁當局
page 8	教育界籌祝兒童節參加章程已擬定公佈
page 8	旅暹愛國義士廿二人已獲釋離暹返國送者萬餘人暹當局積極擴充空軍
page 10	射擊會發起人史蒂菲斯返英
page 10	葡籍義勇軍週年聚餐會紀
page 10	洋務工會成立昨舉行開幕禮
page 10	少年服毒求死
page 10	鄧萃功昨過港
page 10	本港救傷隊今日大操港督將蒞場檢閱及頒獎
page 11	德國的真相謝詒徵自柏林寄
