page 1	五中全會閉幕以後
page 2	Ｘ預算總會有田聲明仍採近衛對華政策小山提議召開國際會議有田不加贊同北聆吉氏質問外交困難有田窮於應付
page 2	Ｘ對英美不能強硬
page 2	不須賠款實乃假話
page 2	維持匯率大受損失
page 2	提議召開國際會議
page 2	外相有田不加贊同
page 2	Ｘ陸相板垣稱在華長期駐兵並謂駐兵地域甚廣
page 2	續持近衛對華政策
page 2	晉南我軍克馬家嶺等地陷和順之Ｘ分兩路南犯我反攻運城Ｘ受創甚重
page 2	陷和順Ｘ兩路南犯
page 2	運城　城Ｘ受重創
page 2	稷山Ｘ增猗氏收復
page 2	我在白鶴港擊Ｘ汽艇Ｘ軍死傷甚多
page 2	柯立芝輪在滬機件損壞
page 2	湘主席薛岳在長沙之行署
page 2	中航公司渝嘉線增班次
page 2	Ｘ在晉北徵抽壯丁
page 2	三晉之Ｘ睡不安枕
page 2	在青被扣之英輪昨已由英艦護送赴滬英海軍當局已向日方抗議
page 2	行政院會議通過嚴立三代鄂主席補助鄂聯合中立學經費案通過
page 2	吳佩孚尚未甘心附逆三十日吳接見中外記者時突發逸出Ｘ原稿範圍談話
page 2	謀應付德意法延長義務兵役期兩年兵役制一九四零年後仍適用現役軍員額要求增至五十萬員名
page 2	英大使卡爾乘艦抵津津人願彼長期勾留
page 2	豫東我某部襲擊永城偽軍生擒營連長各一
page 2	皖南我某支隊解決偽軍獲槍百五十枝
page 2	徐經濟繼任陝省保安處長
page 2	三水之Ｘ渡河西犯與我在舊三水附近展開血戰竄擾鄂中天門之Ｘ潰退皂市
page 3	希勒特之演說企圖分化英美
page 3	張伯倫在下院稱英德談判英尚未攷慮但希望能互相信任彼此合作
page 3	德國的國民性二
page 3	西國民軍因雨被阻加密第奧
page 3	努力救濟難民
page 3	體育委會二次全體會議昨在重慶川東師校舉行開幕式完畢舉行審查會
page 3	重申友好關係表示精誠團結
page 3	英國會已復會
page 3	巴力斯坦會議定期七日開幕
page 3	印事務大臣稱英決援助中國政府現在研究進行辦法但內容如何則未便洩露
page 3	連鐘山赴蘭報告額濟納旗擁護抗戰到底蒙民抗戰情緒極高現努力軍事教育
page 3	德又取締猶太人執牙科醫師業
page 3	渝婦女界要求參政省參政會須有婦女名額電全國女同胞一致爭取
page 3	張伯倫在眾院演說報告赴羅馬談判經過意願根據英意協定解決東非國界問題減軍問題墨氏主從質的限制著手談判
page 3	英工黨領袖批評政府對西之政策
page 3	志士賭窟鋤奸滬偽偵緝隊長被擊斃並在賭窟內散發抗日傳單
page 3	Ｘ機一架在嘉定被我游擊隊擊落滬Ｘ發言人承認有其事
page 3	Ｘ財政瀕絕境紙幣發行額增至二十萬萬日元新預算竟達一百萬萬日元之鉅
page 3	德意日簽訂遊覽合作議定
page 3	陝省府改組各委就職視事
page 3	同濟大學在滇正式開學
page 3	國防最高委令即將開始辦公
page 3	羅斯福已確定對歐洲之方針倘歐洲一旦發生戰事時美願盡力支撐民主陣線
page 4	牧恩波昨抵港
page 4	巴士輾斃女童
page 4	車輛失事週報死四人傷卅三人
page 4	諾貝爾今到港
page 4	深圳難民所邀請報界參觀
page 4	索償保險費案三審昌盛行司理供辦日貨經過全港辦日本海味者僅數家
page 5	Ｘ總司令召開會議
page 5	肇慶戒嚴人心安定
page 5	巡視公路破壞情形
page 5	汕傳Ｘ圖犯饒平謠傳未必果確但已加緊戒備
page 5	汕市人心安定
page 5	增編壯丁衛鄉
page 5	Ｘ艦又劫民船
page 5	河南白鶴洲昨發生炸彈案Ｘ軍偽警糊亂拘人
page 5	陳村劫後已成死市搶劫頻仍十室十空
page 5	教廳補助戰區學生膳費家庭有接濟時停發
page 5	粵省保安隊重新調整撤消原有旅制改以團為單位
page 5	新任各縣市長均定二一京職
page 5	桂省府再修正救濟難民辦法
page 5	西江軍訊另詳三水Ｘ軍圖犯蘆苞馬房肇慶市破獲奸徒機關高要縣民總動員殺Ｘ九江Ｘ兵來去無常
page 5	　三路Ｘ軍車絡繹
page 5	肇市破獲漢奸機關
page 5	肇慶市民眾總動員
page 5	九江Ｘ兵突然後撤
page 5	省府昨遷韶關
page 5	游擊團隊暫由縣長指揮
page 5	廣州海員工會主任委員易人
page 5	赤溪我漁船奮勇抗Ｘ詳誌以十鋼砲土槍擊沉Ｘ汽艇一艘
page 5	Ｘ增兵三水後之形勢兵力未足仍未敢即時西犯傅Ｘ酋松井到河口說不確
page 6	行走江門容奇之華興渡被匪截劫詳情匪黨搜劫凡六次失賊數萬元台山海盜猖獗三日三宗劫案
page 6	攔河截劫
page 6	兵匪激戰
page 6	洗劫一空
page 6	粵省府紀念週顧翊群報告財政計劃二
page 6	綏署肇行署結束徐景唐赴前線
page 6	江門妓女通電響應還債
page 6	蕉嶺縣府捕賭幾起誤會
page 6	恩平鶴山欽縣江門各地又遭Ｘ機狂炸恩城鶴城澤梧均有落彈燬屋甚多死傷平民無數
page 6	救濟潮汕米荒汕商在滬採辦
page 6	汕市　巫琦昨日接印視事
page 6	美國美爾頓大學中國分部
page 6	岐關公路恢復東西行車Ｘ機飛唐家灣肆虐
page 7	現據諜報
page 7	至于順民
page 7	華商籌賑會決推行新年節約運動由農曆本月二十日起節約所得作賑難之用
page 7	無準備金
page 7	挑撥離間
page 7	禁折山上花木園林官之佈告
page 7	財委會今日會議追加今明兩年政費增撥東華院津貼費案已獲英京殖民部批准
page 7	建設公債
page 7	不敷政費
page 7	中日戰事
page 7	僑務委員會揭發Ｘ人誘惑我僑胞陰謀Ｘ四出宣傳竟謂能保障我僑胞僑胞宜堅定信念勿為Ｘ人所愚
page 8	三八婦女節擴大紀念範圍
page 8	雜木及金山莊行購買大量救債
page 8	粵省府撥款賑濟難民五萬元匯交港婦慰會代辦
