page 1	英法亟宜覺醒
page 2	我僅傷亡百餘人
page 2	襄陵之Ｘ大部東竄
page 2	我生擒Ｘ機師一名
page 2	Ｘ機狂炸貴陽全城精華悉被炸燬死傷約五百人以上
page 2	津浦路被破壞數十處Ｘ兵車一列在溫縣南傾覆被我伏兵夾擊Ｘ死傷頗重
page 2	中國礦苗出口激增
page 2	偽軍反正改調蒙軍
page 2	Ｘ在京滬各地濫捕華人被捕百數十名
page 2	湘鄂贛我軍殲Ｘ近訊斃Ｘ官兵近兩千奪獲軍用品無算
page 2	中國駐蘇大使將有更調衛立煌繼楊杰
page 2	Ｘ議院對侵華策略又議決三原則一方面繼續在中國用兵同時謀組織新東亞政權
page 2	從化以南之Ｘ未敢出犯
page 2	日蘇磨擦日增漁權及其他問題不能解決時若干國會議員要求對蘇宣戰
page 2	Ｘ國會舉行國際會亟謀解除國際間誤會有田希望勿刺激美國輿論
page 2	冀南戰況日趨激烈鉅鹿Ｘ東犯被擊斃百餘
page 2	國際扶輪社選顏德慶任分區監督
page 2	綏遠固陽以北被我收復
page 2	皂市之Ｘ似將撤退
page 2	吳佩孚代表劉秉鈞因疾在渝逝世中央派員協助治喪備極哀榮
page 2	偽警懷械潛入滬法租界被發覺開槍拒捕一偽警中槍斃命
page 2	馬占山奉命重回東北率領　部抗Ｘ
page 2	Ｘ機進襲萬縣
page 2	教部體育委會六屆全會閉幕
page 2	蘇北我軍襲擊豐縣之Ｘ
page 2	晉我軍各路勝利芮城Ｘ完全肅清喬野村民配合駐軍殲Ｘ風陵渡Ｘ有犯永樂企圖
page 3	意報攻擊羅斯福美大使促意注意
page 3	英海軍當局批評德國建艦要求潛艇欲與英相埒需時四年增建巡艦必惹起造艦競爭
page 3	巴力斯坦會議正式開幕
page 3	英對華借款對貿易亦有利
page 3	法國鄭重聲明堅持領土主權未便移交或委任他國行使
page 3	英輪永貞號乘客談在青被日艦扣留情形先來Ｘ機轟炸但未命中後又登輪搜查銀鈔盡失
page 3	南斯拉夫政府經已辭職
page 3	德國空軍改組調換大批高級職員
page 3	詹森演說謂我抗戰決心極為堅強中國人民態度鎮靜士氣甚盛平民因空襲結果Ｘ愾更堅強
page 3	法駐華大使戈斯默來中國
page 3	意相演說將無驚人之談
page 3	荷僑胞舉行熱烈紀念
page 3	倫敦炸彈案發覺某項秘密案情極為重要有關政治運動
page 3	紐約婦女團體贈蔣夫人金牌許其救國精　偉大
page 3	台杯賽次序經已抽定我將于第一週中與法國際相週旋
page 3	Ｘ決開闢廈門為自由商港與香港爭利
page 3	寶山縣大部國土收復中央委出縣長
page 3	國府決定救濟從政人員
page 3	牯嶺美僑撤退聽候美京決定
page 3	外輪一艘在溫州又被Ｘ軍截留
page 3	駐漢各領事會議反對驗身份
page 3	羅斯福闢謠列舉外交政策反對與外國締結同盟以和平方法穩定時局
page 4	大軍源源開到
page 4	Ｘ機四架助戰
page 4	李漢魂之刷新省政配合抗戰措施更換文弱縣長何彤出巡東路
page 4	調整戰時稅收金融
page 4	獎勵人民開發實業
page 4	肅清漢奸防報私怨
page 4	集訓學生設所造就
page 4	潮汕沿海Ｘ艦潛蹤增西戰情
page 4	Ｘ艇未敢進迫
page 4	Ｘ亦　亡慘重
page 4	召開軍事會議
page 4	泊廣州內港Ｘ全部撤退船艇全部撤退出張所亦撤往九江
page 4	增加抗戰資源土貨出口分別免外匯購買外匯者免出口稅
page 4	順德桂洲之殺叔慘案刺死後並滅屍賭博害人至此
page 4	鄧彥華派員接收第五游擊區部
page 4	廣州紅十字會隊副將赴前線救護
page 4	Ｘ機昨日擾廣九路沿線
page 4	北路戰訊續誌梁世驥部分三路殲Ｘ記斃Ｘ百餘燬Ｘ戰車兩輛
page 4	炭步全墟被焚粉碎Ｘ軍戰策
page 4	西江我軍三路反攻之佈置Ｘ向青岐員水發砲亂轟我Ｘ現相持於竹洲望岡
page 5	再誌梁世驥部痛殲　軍劇戰竟夜Ｘ退神岡我飛機炸象山Ｘ
page 5	Ｘ機瘋狂各地肆虐
page 5	狂炸肇市及七星岩
page 5	西江我Ｘ仍在竹洲相持在佛山龍江之Ｘ又有移九江模樣
page 5	我飛機隊大炸象山
page 5	官山一帶混亂情況概誌Ｘ我均無駐兵土匪乘時活動　奸狐假虎威設卡勒收行水Ｘ偽誘迫航商復航均無結果著匪竹升炳向官山打單情形
page 5	砲轟金利企圖登陸
page 5	樂從水籐又罹浩劫　山匪患近誌
page 5	設置東江各縣錫礦專員
page 5	省行籌設澳門支行
page 5	北海形勢緊張中瓊海Ｘ艦悉調潿洲島瓊屬土匪蜂起搶掠時間
page 5	惠陽大白墟隊勇誤會衝突縣當局設法調處
page 5	我東路反攻軍積極推動增石之Ｘ有竄莞太模樣我軍刻開往寶屬西路準備堵截Ｘ艦多數連日經伶仃駛入珠江Ｘ機連日窺擾寶安深圳等詳情太平Ｘ十餘名又竄沙井鄉搶掠Ｘ強迫鄉民接濟鄉民紛紛逃避
page 5	Ｘ機連日窺炸寶安
page 5	Ｘ向沙井等鄉恐嚇
page 5	寶安三區黨部改組
page 5	我進行反攻中Ｘ狂炸西各地並擾橫石七星岩亦被Ｘ機輪迴投彈
page 6	九江鄉民亡鄉之痛被Ｘ軍漢奸逼供糧食鄉民不堪其苦逃出者甚眾
page 6	文昌匪風猖獗
page 6	瓊山雖在Ｘ肆擾中稅務收入更豐超出預算十三萬餘元
page 6	瓊山響應還債
page 6	瓊崖土糖滯銷穀米價漲
page 6	瓊海口市商會擬請印輔幣二百萬俾調劑瓊崖金融
page 6	淪隱區巡禮平洲疊滘的畸形發展煙賭之外裏贓物銷　的　　觀要生活祇有從不正當　徑討取
page 7	庇難機工準備回國服務
page 7	中華廠商聯合會嚴密審查南銷國貨若無流弊然後發給證書有證國貨南洋銷路特暢
page 7	出品銷路遍及全球
page 7	難童學校頒獎
page 7	採用親善國家原料
page 7	有證國貨特別暢銷
page 7	上海商品大量南運
page 7	美俄機師仗義來華助戰八十餘名取道本港轉赴滇桂一部份為教官一部為戰門員
page 7	捕獲圖劫疑犯
page 7	市虎噬傷女童
page 7	救濟智利災民中國紅十字會捐五千元
page 7	縝密審查展覽國貨
page 7	港政府禁拒用銀質及小型鎳質輔幣當局雖決將該兩項輔幣收回但未明令廢止前仍一律通用
page 8	物價奇昂生活窘苦
page 8	營業停頓市況蕭條
page 8	在日財產無法提動
page 8	歸僑痛述遭受慘苦
page 8	歸橋痛述旅日苦況產業　從脫售存款無法提支當地各大工廠亦已大部停業
page 8	兵源缺乏國民厭戰
page 8	銀行界聯誼會昨開常務
page 8	住客聯會理事首次會議
page 8	我統一公債依期派息本　方面分六期派清由中交兩行負責發給
page 8	修正博彩則例馬彩票不准公　兜售
page 8	許崇智昨日由滬抵港對記者發表　面談話
page 8	三八節徵文女中學生均可憲徵
page 8	漁船出海被焚Ｘ
page 8	聲明遺失附單
page 8	去年本港收費收支比對不敷四十萬收支兩項均破歷年紀錄庫存現今僅三百餘萬元
page 10	偃坐看報突來剌客
page 10	發槍一響中太陽穴
page 10	傷重身死屍候檢驗
page 10	死者略歷傳說一般
page 10	獲通行證得悉姓名
page 10	訪馮玉祥將軍
page 10	實行抗日
page 10	桂林途上
page 10	　開眼睛
page 10	平效發生兩驚人案游擊隊架去意籍郵務長正規華軍毀平津間火車
page 10	吳佩孚出任偽職消息純由日方製造援意某華人游說通訊社同盟社亦獨家散發消息
page 10	大事渲染
page 10	出資授意
page 10	留在後方
page 10	愛國熱情
page 10	　新　館鎗殺案　育航飲彈斃命死者身上檢出日軍所發通行證照片與死者相符來滬購買米糧
page 11	滬學生網球隊昨與港大友誼對抗共賽五場四勝一負今戰南華於皇囿場
page 11	賑難杯排賽期近南華約戰英漢
