page 1	新春戰局之展望
page 2	海南Ｘ犯福山我軍與Ｘ在相持中
page 2	Ｘ艦迭犯海門均告失敗進犯不逞向北駛去
page 2	廢曆年節中鄂東我游擊隊迭克沿江要地在武穴田家鎮殲Ｘ千餘羊樓洞我設伏大破Ｘ軍
page 2	津Ｘ又藉口抗日份子活動準備封鎖租界與滬ＸＸ欲廳取工部局行政權相呼應
page 2	台民請纓參加殺Ｘ祖國抗戰勝利之日即台民得解放之時
page 2	偽準備銀行吸收法幣平市民將法幣收藏
page 2	皖北Ｘ犯蕭縣我軍迎頭痛擊Ｘ炮火猛烈我略退守現配合民眾武力反攻
page 2	中英通航試飛結果圓滿已定本月廿八日正式通航
page 2	橫嶺關一帶Ｘ軍增加
page 2	滬郊我游擊隊極為活躍迭克重鎮
page 2	水冶民眾殺Ｘ
page 2	國民參會第三屆會議閉幕蔣議長休會詞全文三本屆會議精誠團結抗戰必勝信心增加抗戰二期開始成敗所關全國更應努力
page 2	三個時期
page 2	十九個月
page 2	轟炸新界事件日已致英復牒允賠償損失懲戒負責人員保證不再有同樣事件發生
page 2	連雲港Ｘ遭打擊Ｘ軍多厭戰自殺
page 2	德輪飛康號在吳淞口被日艦截搜擄去中國籍旅客四人姓名未詳
page 2	漢口法租界經與日方妥協
page 2	我軍夜襲德安
page 2	德政府決定搜刮猶人財寶
page 2	豫北我軍克復武陟我軍襲朱集鎮俘獲偽軍團長Ｘ犯柳林慘敗傷亡達二千餘人
page 3	盛傳英在設法調解法意爭端
page 3	日海軍省將提出新海軍建造案與列強作無限制之海軍擴充競爭但建造計劃內容如何則未有宣佈
page 3	改良司法各議案
page 3	參政會第三屆大會重要各案討論情形二
page 3	國民精神總動員
page 3	特種委員會報告
page 3	軍委會發言人談一週戰況較上週更活躍陸空方面予Ｘ重創
page 3	一廣東方面
page 3	蘇聯紅軍慶祝建軍紀念宣誓忠誠為國
page 3	美眾院通過增防法案全部經費四千八百萬美元關島設防一項則決議撤消
page 3	提案結果之統計
page 3	二山西方面
page 3	三湘鄂方面
page 3	日貴族院討論上海租界問題赤池不量力要求政府收回租界日竟向滬工部局提出四項要求
page 3	五其他方面
page 3	四河南方面
page 3	荷國承認西國民軍政府
page 3	英出口局擴大案正式成立
page 3	荷國定製新巡洋艦兩艘
page 3	英外相重要演說闡明英法關係意法爭議實與英國密切相關有威脅英法利益必武力抵抗
page 4	新年節約運動可望得一萬元
page 4	捐金購債彙誌
page 4	中華劇團舉辦巡迴義演
page 4	法界悼名律師
page 4	香港牛奶公司定期開股東會
page 4	民航機之來去
page 4	民範校成績展覽
page 4	救傷班考試揭曉
page 4	寶連寺續辦義學
page 4	聯　波音式巨機下月一日可望抵港即日招待各界人士參觀抵檀　山時情形極熱鬧
page 5	常平以下均無Ｘ蹤
page 5	梁寶仁昨犒賞部屬
page 5	省主席李漢魂禁止地方苛抽戰費後顯德新會已撤銷附加抗戰費各地商業已見活躍
page 5	縣府限日恢復交通
page 5	黃崗之Ｘ被我擊退
page 5	寶安平安南頭無Ｘ
page 5	薛岳將軍會見記覺悟社記者長沙快訊
page 5	Ｘ機又窺深圳南頭
page 5	江佛線Ｘ兵力薄弱我團隊廿二日在龍江殲ＸＸ仍不斷抽兵赴海高瀾島亦無Ｘ蹟
page 5	廣三線我游擊隊一度將佛山站克復沿線偽軍多反正並參 加我游擊隊
page 5	抑平國幣毫券比率
page 5	粵計劃調整戰時金融禁低折國幣定券幣比率溝通匯兌加緊收買白銀
page 5	溝通匯兌靈活金融
page 5	民間白銀加緊收買
page 5	Ｘ在廣州實施奴化教育設市南偽學委會民眾相戒不入學
page 5	省府已遷韶關
page 5	黃松崗之Ｘ被擊退外傳寶安南頭失陷不確寶安縣府限期恢復各地交通
page 6	肇慶在搏鬥中二
page 6	二狂炸以後
page 6	太平場神岡Ｘ無異動Ｘ增防石龍石灘
page 6	小學訓育不得體罰兒童教廳飭各校遵照
page 6	港九賑聯會北上服務團北上一週年的工作概況一
page 6	肇慶城迭次被Ｘ機慘炸之損失詳查
page 6	陳村米荒之緊急會議決定救濟辦法請求縣府救濟
page 6	一動盪時期
page 7	兩個實證
page 7	一句古詩
page 7	打　錦標
page 7	香港慈善會今日賣旗羅旭和為貧苦大眾呼籲
page 7	英設防艦到港
page 7	茶香室血案再押候一星期
page 7	淪陷後之海口Ｘ任意沒收商人財產公務員及學生多被殺
page 7	九龍農戶被劫
page 7	三賊夜劫客艇
page 7	快活谷大快活春季大賽馬今日開始今日賽十二場各界多重視新馬打比彩票暢銷可達到五十萬張
page 8	擅組海員工會案初審警探述拘捕三被告經過在夾萬內搜出大批文件
page 8	被控罪名
page 8	夾萬一個
page 8	警告日本健在譯自士蔑西報
page 8	海員工會
page 8	文件一束
page 8	宋慶齡等請賑桂省難民
page 8	鶴山邑僑歡迎新任縣長
page 8	八人美展開幕
page 8	下月防空展覽將設海灘之任人參觀
page 8	香港仔昨火警焚雜貨店一間
page 8	粵慰勞將士會在港設辦事處
page 8	天星小輪公司去年獲利甚厚每股派息六元二角五仙
page 8	　府頒佈本港海軍防務法令授權海軍部隨時調用義勇隊協助正規海軍鞏衛本港海防
page 10	日本影界拍西游記好萊塢奇特消息
page 10	舞台化的半面　施嗜影室主
page 10	南海風雲中之黎莉莉
page 11	菲足球征澳又告失利
page 11	兒童週年運動會昨在修頓場舉行由按察司夫人頒獎
page 11	賑難盃排球昨頒獎表演賽聯隊僅勝冠軍
page 11	五十里單車賽下月五日舉行
page 11	偉記單車店紅星征澳罷歸來
page 11	今日甲組足球聯賽四華隊齊出馬東方會與雛鳳同室操戈南南遇香港光華戰警察
