page 1	二期抗戰之開展
page 2	Ｘ機Ｘ艦進擾北海沿岸我軍還擊Ｘ機艦不逞
page 2	襄河沿岸Ｘ圖渡河失敗Ｘ橡皮船被我擊沉六艘
page 2	晉南汾城Ｘ出犯中伏激戰潰敗晉西我軍夜襲靜樂城靈邱漢奸數人被炸斃
page 2	蘇北大水Ｘ據點被淹沒Ｘ攻蘇北陰謀被粉碎
page 2	Ｘ偷渡錢塘江失敗浙東寧波安謐我河防炮兵發揮威力
page 2	日擬改變外交政策應付歐洲問題
page 2	蘇聯政府二次拍賣漁區漁業談判蘇日意見相距甚遠
page 2	某外人談大阪軍火廠爆炸情形全城震動死者不下二千人
page 2	英援華貨幣案國會三讀通過將交貴族院討論
page 2	築西下墜郵運機乘客料無倖免
page 2	蘇生殖率增加
page 2	去年對外貿易統計保守地方出超被Ｘ佔領各埠入超百餘萬鎊
page 2	華僑實業公司在內地設分公司四所地點在昆明重慶貴陽上海
page 2	由津飛大連客機中途失事全機墜於海中乘客料難倖免
page 2	川康視察團出發各地視察
page 2	龍門縣長湯燦華記大功親率團隊游擊予Ｘ重創余漢謀犒金六百五十元
page 2	進擾花園口Ｘ被擊三路潰竄
page 2	東京市郊大火燬屋百餘家
page 2	新僑工程隊抵昆明將轉重慶為政府服務
page 2	Ｘ偽企圖奪江浙蠶業成立所謂華中蠶絲公司我絲業界不肯與之合作
page 2	中蘇航線成立交部派機通航
page 2	包頭一帶偽軍反正極多
page 2	武寧情勢穩定Ｘ我在律口相持越灘溪南援之Ｘ被我擊潰九嶺我軍出擊正迫近通城
page 3	法西斯職團會議舉行開幕典禮意王親臨宣讀詔書歷言意國外交關係
page 3	日組航務協會統制中國航務
page 3	桂林軍事會議二遵照領袖訓示實行長岳議決白主任報告廿月來我Ｘ戰況
page 3	政治方面組織民眾
page 3	經濟上實行反封鎖
page 3	加緊擴大文化工作
page 3	比政府闢謠並未與德談判
page 3	德將米美爾區隸屬東普魯士立國終為德國勢力所支配希特勒已離米美爾返柏林
page 3	在希特勒鐵腕下德羅簽訂商約將羅國劃為三個自由區其中一區專為德輪所用
page 3	西國民軍將開入馬德里雙方代表談判和平
page 3	Ｘ運屍灰返國
page 3	日建造軍艦發行鉅額公債
page 3	倫敦失業工人舉行示威運動要求英政府驅逐德間諜
page 3	煙台Ｘ軍橫行拘捕天主教堂華職員並封鎖教堂須教士入市購物
page 3	日人肺癆病多人民營養不足去年一百萬宗
page 3	德國今後進取目標
page 3	匈牙利陸空軍侵入斯洛伐克德國又與斯洛伐克訂約規定斯洛伐克歸德保護
page 3	德斯協定內容
page 3	美捷商約暫止實施
page 3	法總統離英返國
page 3	英商務代表團抵莫斯科英蘇經濟談判具有政治意義
page 3	意大利政府秘密購糧
page 3	美國深信我國抗戰力量未損
page 3	法修改征兵法僑民亦可入伍
page 3	日本軍需工業工人工資統計
page 3	美向日抗議日機炸美產業
page 3	對希特勒作有力警告罩強宣言定昨昨晚發出傳該宣言祇有英法蘇列名因波蘭對德態度尚未確定
page 4	洋務工會二次焚債運動
page 4	九龍劫案過堂
page 4	學海書樓復講
