page 1	貢獻於中央生產會議國立中山大學教授兼農場主任張農
page 2	贛北戰況
page 2	鄂南戰況
page 2	兩淮被我包圍我邊抵阜寧城郊
page 2	豫東我軍告捷Ｘ總指揮官被擊斃八里廟Ｘ遭我側擊
page 2	南京Ｘ軍紛紛中毒軍馬亦中毒而死
page 2	Ｘ機慘炸衡陽平均十秒鐘投彈百枚平民死傷　達二千人
page 2	Ｘ艦五艘窺伺潮汕Ｘ機炸鳥橋　慘
page 2	我襲嘉興奪獲大批軍器新大鎮經我克復
page 2	華北偽幣昨無開盤交易因市價狂跌
page 2	偽營長許秉英攜械反正
page 2	鄂中我軍進展迅速潛江東崖Ｘ被擊潰
page 2	西安上空我空軍擊落Ｘ機兩架Ｘ國結束華北掃蕩戰三分路猛犯晉省東南
page 2	Ｘ極昨炸浙沿海重鎮臨海Ｘ民房六十餘間海門溫州黃嚴均被虐
page 2	我軍突襲彰德機場焚燬Ｘ機八架俘虜Ｘ兵二十餘名
page 2	湘商人李向榮熱心捐輸救國省府給予褒獎
page 2	中農銀行補助雲大從事調查農村經濟
page 2	楊樹浦日商紗廠被焚
page 2	滬西Ｘ軍拘捕英人
page 2	晉Ｘ糧食困難強劫民糧　食
page 2	神岡之Ｘ潰退獅嶺我軍加緊圍攻南昌鄂南我軍克復咸寧汀泗橋
page 3	德波懸案當以正途解決波蘭官方之正式公佈
page 3	對希特勒演說各國所生影響
page 3	軍委會編發戰地宣傳綱要三揭破Ｘ以政治掩飾武力侵略陰謀鞏固各地政權使Ｘ被包圍而崩潰
page 3	比上皖通過援特權與內閣俾應付現局
page 3	英國常規軍增加鐵甲車隊
page 3	對德意日軍事同盟日朝野領袖俱不贊成日不願參加歐戰日英情勢和緩中日戰事我軍反攻已大獲進步
page 3	莫斯科號機飛美參加世界博覽會航空工業人民委長等歡送
page 3	希特勒演說達二小時半發音極慢姿態百出
page 3	美博展開幕總統主持典禮致詞將不干涉德國
page 3	意內閣通過增加擴軍經費
page 3	德國第一艘鐵甲巡艦下水
page 3	希特勒演說羅斯福安寢未聞演詞　了乃始醒覺
page 3	農行在黔舉辦合作金庫
page 3	蘇飛行家科吉納基飛美
page 3	德致牒英波廢除兩國協定傳但澤市將於五一併入德國波蘭與羅馬尼亞謀加緊工作
page 4	本年慶政費追加三百餘萬
page 4	青年會隨軍團前線服務報告
page 4	電車撞傷老婦
page 4	建公學院書展籌賑開幕
page 4	九龍關新稅費
page 4	九龍新路題名
page 4	港府宣佈滬油為傳染症埠
page 4	防空訓練班演講
page 4	新開防空救護班
page 4	青年會國難禮拜
page 4	　　月份港府資產增百餘萬元首季稅收比去年同期大增
page 5	大澤我軍迭挫Ｘ鋒
page 5	鶴山戰事仍甚激烈
page 5	中山民眾決心抗戰
page 5	Ｘ強民眾入挺進隊
page 5	Ｘ在北街築飛機場
page 5	高明外圍陣地堅固
page 5	握守恩平阻Ｘ西犯
page 5	瀧水方面防衛情形
page 5	大良Ｘ軍向三善撤退後土匪在城內械劫傷人守衛偽兵被匪擊斃
page 5	粵南Ｘ機艦連日動態
page 5	各區公司精神動員
page 5	凰閣Ｘ兵準備撤退
page 5	Ｘ艦汽艇續駛九洲
page 5	中山情勢時緊時弛凰閣Ｘ軍有撤退模樣九洲島續到Ｘ艇艦多艘
page 5	東北江最近戰況我軍準備再攻增城從花間Ｘ請援甚急
page 5	東江緊張
page 5	北線Ｘ情
page 5	平山兩龍
page 5	莞城福和
page 5	慰勞傷兵捐贈物品踴躍
page 5	粵省農林局分發改良新穀
page 5	潮汕情況緊張中Ｘ艦Ｘ機迭次侵擾傳Ｘ陷福州不確
page 5	Ｘ機三次襲汕
page 5	Ｘ兵乘艇覆沒
page 5	強制執行疏散
page 5	Ｘ犯福州不確
page 5	編組青年衛隊
page 5	新鶴戰事激烈我軍仍握守大澤Ｘ遭重創Ｘ分路犯鶴城我軍猛烈迎擊
page 6	粵省振濟會兩月來收支概況撥出振款四十餘萬元
page 6	籌募救濟難民基金
page 6	教廳組難童教養團
page 6	收到振款
page 6	撥出賑欽
page 6	太平場Ｘ電油庫被燬我軍夜襲　崗之收穫
page 6	游擊隊燬Ｘ電油庫
page 6	出擊神岡又有收穫
page 6	河南發生命案
page 6	粵海師管區增設學兵隊出各且選送學員
page 6	省　會撥款舉辦西江平糶
page 6	省地政局測量粵西北土地
page 6	大良汾水村我英勇壯士奮勇殺Ｘ　幣　軍廿餘從容　回某地
page 6	薛漢光任三縣剿匪指揮率隊出發剿匪
page 6	李務滋派員設救護站並在睦州設戰時醫院
page 6	中央特派視察禁煙委員抵韶
page 6	鄉村　務團設農業誤訓練所指導農民春
page 6	梅縣松口Ｘ機多架飛過
