page 1	英王遊美與英美合作
page 2	晉南安澤浮山仍在我圍攻中Ｘ增援圖減削側背威脅我某部出擊已迫近霍縣
page 2	淮陰Ｘ軍被擊退守淮安江北我軍包圍如皋
page 2	滬大美昨報不滿工部局非法干涉抱寧願停版不受檢查態度
page 2	Ｘ砲擊街口北殷家庄我軍側面奇襲予Ｘ重創
page 2	吉林我義勇軍襲蒲柴河殲Ｘ軍官多名
page 2	Ｘ海軍當局聲言續炸重慶當Ｘ機在渝空襲時英大使不在英領館
page 2	美籍機師為中國作犧牲
page 2	英土成立協定蘇土討論東歐防禦問題
page 2	汕海旋風沉船多艘死傷未詳
page 2	滬江海關被迫使用偽鈔
page 2	滬西我游擊隊衝入紀王廟北新涇擊沉Ｘ汽艇
page 2	北平Ｘ軍防空演習防我機空襲
page 2	Ｘ謀減輕軍需負擔決定在華實行農工政策在佔區內沒收工廠從事生產
page 2	我游擊隊活躍鄂南皖南我軍衝入安慶贛北我軍完成包圍南昌陣勢
page 3	德會兩次向波提議聯合進攻蘇聯但均為柏克外長所拒絕此消息由波京予以證實
page 3	英上下院議員卅餘人聯電蔣委員長致敬中國抗戰有裨益歐洲和平和平公約應包括中國在內
page 3	蘇聯最高委會月底開會
page 3	李滋羅斯將赴雅典
page 3	李霞卿在美飛行受微傷
page 3	日本缺乏鋼鐵造船計劃受阻
page 3	德意兩外長進行談話完畢會後發表談話謂極為融洽于今日午前會同發表公報
page 3	Ｘ海軍發言人稱將冒險襲昆明
page 3	諾貝爾受任駐華海軍司令
page 3	美智兩國商談經濟合作
page 3	馬尼刺地震尚幸未有傷人
page 3	德波戰機日迫德飛機密集波蘭邊境惟意仍主張德波談判應繼續進行有人主張但澤居民舉行全民投票
page 3	英希定期開始商務談判
page 3	阿爾巴尼亞境內意大利地位日趨險惡阿爾巴尼亞游擊隊抵抗意僑深入
page 3	教廷意欲居中調解德波爭勢
page 3	何以Ｘ之傷亡反倍于我
page 3	四任班長至死不退
page 3	三期抗戰中的異彩
page 3	高安爭奪戰二
page 3	英蘇談判已達嚴重關頭蘇主張與英法締結軍事同盟英國堅持蘇聯保證係有限度
page 4	潘柱報告組織經過
page 4	婦慰會募捐訊
page 4	美艦展期離港
page 4	許世英代表致訓詞
page 4	籌建相輝堂復大開餐舞會
page 4	電車巴士司機均受防空訓練
page 4	要明同鄉會舉出籌備委員
page 4	張善琨昨日抵港
page 4	中國青年籌振會回國服務團行授旗禮許世英派代表蒞場監誓全隊十一將出發東江
page 5	李務滋策動游擊戰
page 5	Ｘ一度敗走木塱間
page 5	沙坪我軍出擊雅窯
page 5	我機連日均有出動
page 5	桂省女軍參加作戰
page 5	我軍連日局部出擊
page 5	西北兩線之戰情花縣我軍包圍馮涌三水前線我游擊隊之戰績
page 5	馮涌附近Ｘ情一瞥
page 5	花縣我軍再圍馮涌
page 5	連日前線哨戰頗烈
page 5	Ｘ軍重開欖岡木棉
page 5	加築河口岡根浮橋
page 5	我游擊隊衝入西南
page 5	廣徵物品慰勞前線將士省府令各縣遵照
page 5	高鶴邊境災狀沙坪楊梅三洲被轟炸之損失
page 5	九洲山已無Ｘ蹤我封鎖凰閣潭洲內河線
page 5	Ｘ軍再犯市橋在郊外與我團隊激戰市橋現又陷混亂狀態梁部駐市橋郊外監視
page 5	甘竹團隊伏岸襲擊Ｘ艦
page 5	汕商庫證改在香港移交
page 5	梁權視察粵桂邊境交通
page 5	營稅不准減征淪陷區不在此例
page 5	李主席令嚴辦關卡團警留難過境難民古鼎華轉飭中山遵照
page 5	東路我軍襲擊莞龍等Ｘ後Ｘ對寶安縣府之恐嚇Ｘ窺南社知我有備即退去
page 5	Ｘ向寶安縣府恐嚇
page 5	莞龍之Ｘ進窺南社
page 5	江佛機關報鶴兩路劇戰中會西我軍已開始逼進會城桂省女軍抵會西準備參戰
page 6	粵省救護委員會加強戰時救護組織考核救護工作擴大訓練人材
page 6	煙民換照限六月底截止
page 6	各集團軍組政工考委會強化軍隊政治領導
page 6	規定按月舉行全省行政會議
page 6	容桂Ｘ軍動態
page 6	Ｘ機炸潮汕之詳述
page 6	順屬各地我游擊隊活躍之近情襲擊蠶絲局擊斃Ｘ兵卅餘人
page 6	Ｘ機炸高要白土傷者調查
page 6	Ｘ圖在陸豐連田滋擾不逞東江發現長髮黨受Ｘ命誘惑民眾
page 6	大量贛米源源運粵接濟韓江下游各縣糧食
page 6	南海各鄉劫案近誌
page 6	襲蠶絲局我大奏捷
page 6	羊額墟Ｘ被我痛殲
page 6	花縣前線訪問李振將軍
page 7	沙門海盜又截劫貨艇掠去貨物值銀三千餘元一榜人被鎗傷運港救治
page 7	博羅災情慘重惠陽商會再撥千元施賑
page 7	淺水灣准設自用泳棚
page 7	孔聖會徵求隊昨舉行授旗禮
page 7	黃國楨又釣獲一鯊魚重九十五磅長五尺餘
page 7	由渝來港美僑斥Ｘ荒謬宣傳渝各國領館附近並無軍政機關Ｘ機轟炸英領館不能狡卸責任
page 7	英僑登記過半本週內可結束
page 7	戰時遼空演習由今日起將隨時舉行確期不預宣佈總不出本月中旬各區居民一聆警報須掩蔽燈光
page 8	自新運動公約
page 8	告全港青年書
page 8	為歐陽予倩祝嘏黃花崗決再義演全部收入仍捐助賑聯會戲劇界將舉行國民宣誓
page 8	離魂少婦深夜出遊倒地獲救
page 8	港九交通線
page 8	全港青年慶祝青年節Ｘ通過自新運動公約一致遵行
page 10	澳足球隊犯港昨受挫于東方二比一客軍敗退
page 10	本
page 10	是
page 10	以
page 10	陳
page 10	客
page 10	澳
page 10	昨日棒球聯賽去屆冠軍不敵洋水兵四比六中華隊首戰失利
page 10	今日網球單打決賽徐家兄弟　牆
page 10	貢獻給本港籃球界
page 10	籃球聯賽星島與南華今宵爭霸東方對鐘聲有劇戰昨日春風國際得利
