page 1	德意同盟與日本
page 2	同蒲南段之Ｘ企圖再度南犯臨汾以南Ｘ又增一師團翼城聞喜之Ｘ受創甚鉅
page 2	我游擊隊在廈活躍Ｘ方亦承認
page 2	鄂南激戰我一度克咸寧鄂北棗隨方面連日激戰
page 2	滬市各銀行議決一致拒用偽鈔無論如何不受暴力威脅一切收付仍以法幣為主
page 2	偽幣新銀行未能如期開業
page 2	Ｘ機先後轟炸金華寧波
page 2	僧民慰勞團捐款救濟渝災二千元交何總長
page 2	滬租界干涉居民懸旗案我外交部再提交涉所令懸旗日期不能作為解決辦法
page 2	一五九一紀念日虹口碼頭被焚
page 2	楊樹浦虹口奇怪火警頻聞Ｘ方損失殊重
page 2	豫北我軍克復孟縣濟源豫東之Ｘ迭向開封增兵
page 2	平綏路為我破壞綏包交通中斷
page 2	李逆漢鵬所部瓦解胡笠武徐紹階反正
page 2	浙東外海一帶形勢近極緊張Ｘ艦不斷在大戢洋面遊弋
page 2	Ｘ機轟炸泉州
page 2	曹炳生被刺斃滬上各界震悼
page 2	北歐四國決定謝絕德方提議波羅的海各國決取超然態度一旦戰事發生決不捲入漩渦
page 2	兩種公債抽簽
page 2	戈林赴西用意難測官方人士保持緘默
page 2	英議員電賀我反攻獲勝蔣委員長復電致謝我國必為世界和平奮鬥到底希望維持公道達到共同目的
page 2	蔣委員長復電
page 2	英議員之來電
page 2	英輪連達班號觸珊瑚島沉沒全體船員獲救
page 2	南國攝政保祿親王赴意
page 2	丹輪亞爾斯亞號在錫蘭南被焚搭客船員得救
page 2	南昌完全被我包圍皖南我軍全線反攻圍攻通城我軍連克各要點
page 3	蘇使訪英外相會談組織反侵略集團事件羅馬尼亞準備接受蘇聯之擔保李維諾夫辭職蘇外交政策不變
page 3	依照英方願望蘇波關係好轉波丹金昨抵波京聘問夏洛諾夫任駐波大使
page 3	英後備兵役案二讀全場通過此後英人分批召集受軍訓而訓練時期不超過三個月
page 3	中德成立協定交換貨物
page 3	英輪通和號被日軍艦截劫損失所載之豬五日頭英海軍將向日提抗議
page 3	墨索里尼演說鼓勵意民
page 3	英報著論注意中國局勢
page 3	史太林等演說蘇聯準備痛懲侵略者蘇陸軍隨時準備保衛國土
page 3	大使詹森本月底可抵滬
page 3	印度地位已受日本威脅勞合喬治談話
page 3	蘇新外長月底發表演說
page 3	德外長返德報告訂盟經過
page 3	英外相赴日內瓦順訪達拉第
page 3	日機炸渝外領館英法向日抗議
page 3	英軍界關心埃及防務巴力斯坦問題希望迅即解決
page 3	傳教皇建議召集五強會議以友好態度解決歐洲問題但教廷尚未提出具體方案
page 4	建新營造公司昨開股東年會
page 4	女新運會贈遊擊隊藥品
page 4	捐金購債彙誌
page 4	澳四界救災會舉行國民宣誓
page 4	騙匪入獄四月
page 4	半島酒店音樂會
page 4	前線將士函謝贈送慰勞袋人士物品雖微而意義甚大願繼續努力以報熱忱
page 5	Ｘ艦四艘炮轟南頭
page 5	Ｘ軍兩路攻陷縣城
page 5	此路Ｘ軍再陷西鄉
page 5	紅朱嶺上我軍抵抗
page 5	Ｘ逼鄉民交出壯丁
page 5	白崇禧抵粵加強黨政軍民聯繫與各長官規劃調整
page 5	花縣百餘難民中途被劫
page 5	我軍攻瓊山之捷訊統兵者為馮白駒夫人乘大霧衝入Ｘ司令部
page 5	三路反攻瓊山
page 5	我機飛炸佛山Ｘ陣散傳單勸告偽軍
page 5	Ｘ艇迂迴襲大派州
page 5	都會江嘴戰況混亂
page 5	鶴山加緊政治動員
page 5	夏威已抵桂邊指揮
page 5	河清Ｘ不斷轟古勞
page 5	Ｘ機頻向中山窺伺
page 5	昨十日晨寧陽岡州兩路戰情混亂Ｘ以橡皮艇繞襲大派洲圖衝破岡州線鶴山之Ｘ全退後我當局加緊政治動員
page 5	粵振會救濟隊深入戰區工作
page 5	瓊島Ｘ情透視
page 5	粵防空司令部努力進行防空消極工作健全各指揮部組織增設防空站呈請省府擬款改善民眾避難壕
page 5	粵新運會實施戰時中心工作
page 5	粵參政會之籌備情形
page 5	東莞太平之Ｘ昨又進犯南頭西鄉詳情我團隊仍在紅朱嶺抗戰
page 6	太平　Ｘ犯馬牙莊
page 6	新街橫潭附近被炸
page 6	馮涌Ｘ之張皇態度
page 6	Ｘ炮兵昨調援增城
page 6	西江各地Ｘ之動態
page 6	汕市人民疏散情形續誌李主席撥款賑難民潮海Ｘ艦最近蹤跡
page 6	粵各界徵慰會擴大慰勞運動籌組各縣分會推動慰勞工作
page 6	我游擊隊夜入廣州襲某銀行
page 6	民眾動員在西江二
page 6	黃連河面我遊擊隊截擊Ｘ軍殲Ｘ數十餘人擊沉兩汽艇
page 6	容奇Ｘ軍抽調一空
page 6	Ｘ軍調防遭我截擊
page 6	袁帶巡視沿海防務
page 6	Ｘ派鐵拖汽艇滋擾各地但被我守軍痛擊
page 6	周郡橫江團隊擊沉Ｘ艇擊斃Ｘ兵數人
page 6	花三兩縣各河道實施封鎖
page 6	各山嚴密檢查客商
page 6	台山縣府加緊戰時工作
page 6	更換一批縣長
page 6	西北兩路最近戰訊犯馬牙莊Ｘ被擊退Ｘ砲兵昨調援增城白坭一帶遭Ｘ轟炸
page 7	美巡艦昨離港
page 7	港九分設防空救護主任
page 7	華商會秘密會議內幕討論圖書館停辦問題所持理由係經費不敷地方乏缺席間發生劇烈爭辯無結果而散
page 7	普益商會昨選出新職員
page 7	孔聖會將賣花籌募義學經費
page 7	車輛失事統計去死一人傷四十八人
page 7	黃花崗重演二十廿一兩日在　慶院
page 7	鯉魚門外海賊截劫貨艇鎗傷艇主及女客一人掠去財物約值二千元
page 7	工業合作促進會明日舉行茶聚
page 7	藥行商會改選
page 7	陳大年昨抵港　玉家準備　會歡迎
