page 1	英土互助與歐局
page 2	竄擾劉家垣Ｘ被我伏軍擊潰豫南戰事呈膠著狀態
page 2	Ｘ機三度狂炸漳州民房被毀甚多
page 2	上海租界問題是否更趨嚴重未可測當俟三浦返日結果如何為斷
page 2	西南行營政治部加強軍民合作規定要點六項飭屬一體遵辦
page 2	蘇將願接納英政府修改案希望英蘇談判早日完成否則若再延宕恐有危險
page 2	偽滿外蒙防軍發生衝突
page 2	世界學聯將開三次會議在法國尼斯舉行
page 2	王外長對記者談鼓浪嶼事件Ｘ軍在鼓浪嶼租借地登陸原為試探列強對遠東態度
page 2	世界反侵略中國分會報告Ｘ機襲渝實情請總會實施巴黎大會議決案及加強各國對Ｘ之有效制裁
page 2	賀國光今就渝市長職
page 2	戰時首都重慶今後整理計劃積極清理災區整頓市容集中車輛船舶疏散市民
page 2	土國會通過英土合作方案土總理報告英土協定重要性時局變幻土難繼續維持中立
page 2	法比代辦渡江遇險
page 2	意將廢止英意協定
page 2	美國防委會調陳空軍擴充計劃各機廠機械人員將要求增加一倍
page 2	韶州疏散人口物資新鶴新開兩路游擊隊活躍漢宜路正面我克復瓦廟集
page 3	全國生產會議孔院長開幕詞原文一
page 3	德圖拉攏西國加入德意軸心將要求與西締結軍事同盟德意軍事同盟五月間簽字
page 3	加拿大各城鎮籌備歡迎英皇喜火排列如長龍沿河兩岸結火冠
page 3	美抗議日機轟炸平民鼓浪嶼事件美已獲有報告
page 3	意羅舉行經濟談判
page 3	波政府聲明維持但澤地位波軍將開入但澤市國社黨定期大遊行
page 3	在勝德哥城兩明星結婚
page 3	墨索里尼演說措詞尚屬和緩歐洲嚴重並不需以武力解決德意現尚未有挑起大戰決心
page 4	南洋僑胞購買力弱
page 4	Ｘ貨傾銷更受打擊
page 4	新文字學會辦師資訓練班
page 4	去年之遺產稅統計一百二十餘萬元
page 4	大東酒店大刷新
page 4	孔教學院講學記
page 4	Ｘ貨賤價傾銷土製電筒業大受打擊僑胞購買力弱南洋銷場亦淡現每月出口僅值四十餘萬元
page 5	寶安全境安謐當局整理地方秩序
page 5	Ｘ軍源源增兵容桂有進窺大　之企圖在桂洲細滘海尾等地增防我團隊已嚴防並擬強制疏散人口
page 5	政治部學員抵潮推動民運
page 5	番順間我團隊夜焚碧良公路Ｘ營
page 5	昨日Ｘ機兩度襲汕
page 5	西線Ｘ軍積極增援連日不斷炮轟我陣地鄧萼詳談西線戰況蔡廷楷巡視已完畢
page 5	東北江大戰將再展開我逼朱村Ｘ陣發生激戰增城Ｘ犯臘浦馮涌　佈地雷
page 5	增城Ｘ軍進犯臘浦
page 5	我逼Ｘ軍發生激戰
page 5	Ｘ兵喬裝搜索龍口
page 5	白田崗橋被我炸燬
page 5	新街一帶已無完棟
page 5	中山情勢仍緊張軍政長官會議巡防橫洲河面Ｘ艦汽艇續增
page 5	粵擬撥鹽款採購桂米
page 5	粵戰時施政綱要開始推行參政會將討論協助推進方法
page 5	Ｘ再圖會城甯路戰情混亂新鶴中順各地最近情勢
page 6	省府通令各縣建公營房屋救濟難民
page 6	財部指定查禁進口Ｘ貨北海關奉令執行
page 6	夏威昨電勗甘三珠
page 6	兵役促進會籌備推行代耕運動
page 6	楊梅傀儡在會議席上被Ｘ扣留Ｘ謂傀儡等與我游擊隊勾結
page 6	惠陽成立文化傳遞分站灌輸抗戰智識
page 6	省府規定高雷購運免稅洋米全數十萬公擔已分妥
page 6	雷州海關禁止土糖出口商人請收回成命
page 6	北海出入口貨加捐撥充抗戰費用
page 6	省府撥款施賑汕頭災民之分配抗Ｘ後援會獻李主席繡旗強制疏散人口決定辦法
page 7	濫加租值可置不理
page 7	業主斷無取巧機會
page 7	戲劇界昨舉行國民宣誓典禮
page 7	露宿救濟會宿舍定期結束
page 7	市虎傷斃三人
page 7	譚肇康有起色已過危險時期
page 7	潮商再請取銷汕輪檢疫手續
page 7	中國婦女會今日行獻車禮
page 7	中區防空班舉行防毒實習
page 7	新式電車開行
page 7	小童險遭滅項
page 7	中青救護隊最近工作報告
page 7	婦慰會募捐訊
page 7	賣淫業調委會已造具報告書將本港私娼狀況呈覆政府並貢獻澈底肅清辦法多項
page 7	聖貞德紀念日各外艦昨懸旗慶祝
page 7	印刷業商會首屆職員選出
page 7	修正限制迫遷法例六月一日前可頒佈貪利業主不必取巧乘機加租住客受壓迫可向法庭起訴
page 8	二次籌備會議
page 8	港府嚴密緝捕下拐匪機關移汕移民局對婦孺出仍極注意稍有可疑即送交保良局訊辦
page 8	被留廣州各輪Ｘ尚無放還意
page 8	兩人意外受重傷
page 8	西婦夜行遇搶匪
page 8	港府改良市區計劃指定馬頭角為工業區目的在使工廠遠離住宅及商店對住宅商業區亦決意大加改善
page 10	第一場美艦對友啤
page 10	第二場南華戰西洋
page 10	南華與星島明晚再決雌雄門券收入撥充善舉昨日乙組賽培英華僑關雷告捷
page 10	台杯網球戰績英勝新西蘭南克匈牙利
page 10	國際足球意和英
page 10	昨日棒球聯賽南華出師得勝七比五挫西洋會友啤擊敗洋水兵
