page 1	上海租界問題
page 2	贛北我軍出擊大有收穫撫河西岸戰事沉寂
page 2	曼哲斯特導報評鼓浪嶼事件並不重要可與莎翁名劇漢模萊脫比擬日軍之所以搬演要在有為於滬
page 2	全國生產會議宣言四
page 2	我攻新會部隊續有進展增從各線我克要點
page 2	日提議修改滬租界地位英已覆文拒絕表明英美對遠東問題兩國態度已完全一致
page 2	兩個好戰者巡視邊防
page 2	日內閣舉行機密會議對歐政策已有最後決定
page 2	朗江鄉民請纓殺沔縣民婦送子當兵
page 2	國際反侵略會中國分會今日舉行二次代表會昨常務理事會先開預備會
page 2	雷鳴遠神父晉謁蔣委員長
page 2	滬訊十九日午公共租界臨時戒嚴封閉不重要馬路
page 2	我游擊砲兵近屢擊長江Ｘ艦艇
page 2	十九日晨我向花縣西南約五公里之和安里地方艇進
page 2	十九日突有Ｘ兵數十乘汽艇在南油登陸
page 2	英大使卡爾
page 2	鄂北我軍收復棗陽侵竄鄂北之Ｘ歸路已截斷Ｘ圖擾襄陽計劃已被粉碎
page 3	西班牙舉行勝利巡行全城整天大雨慶祝者掃興意艦開西運載志願兵返國
page 3	陳友仁談目前兩問題
page 3	反侵略大會英分會發動集體安全制運動組織和平集團反抗侵略行為以和平方法調整各國之權益
page 3	台維斯杯賽最近成績
page 3	德立訂新商約昨在柏林簽字
page 3	法國建大油管接濟內地燃料
page 3	國聯政院定期開會將討論我國所提申請乘機將遠東局勢作通知之檢討英法蘇代表將乘便商但澤問題
page 3	我王外長發表聲明
page 3	英皇在加慶初度良辰加政府宣佈昨日為國慶日
page 3	意外相偕陸相赴德簽立德意同盟條約簽字後意外相將謁見希特勒
page 3	綏東交通線被我軍大破壞
page 3	Ｘ機再轟馬尾
page 3	決勝於西戰場誤見解
page 3	戰爭之不可分離性
page 3	東方的神經關節
page 3	德國的策略
page 3	西方的神經關節
page 3	英外相與法總理會商英蘇問題英外交委會同意英蘇同盟建議蘇政府堅持英法蘇締互助協定
page 4	童匪截搶金飾
page 4	騙貨疑案提堂
page 4	英艦定期操炮
page 4	九龍劫案押候
page 4	各界人士昨追悼尚仲衣
page 4	醉酒印人倒斃
page 4	本港太平紳士是年增委七人
page 4	九龍關新稅費
page 4	大埔道山泥傾卸
page 4	英國紀念日放假
page 4	虎豹救傷站月報
page 4	女護士考試揭曉
page 4	義勇軍射擊賽昨頒獎港督到場主禮陸軍司令訓話欲求和平須刻刻準備戰爭
page 5	我軍冒雨猛攻會城
page 5	我一度衝進惠民門
page 5	Ｘ機冒雨起飛威脅
page 5	我團隊反攻容奇之激戰分三路向容奇反攻Ｘ大舉增援我始退出昨已據情呈報李司令
page 5	十二集團軍昨克復新街東站橫譚龍口Ｘ敗竄襲翔神岡渡河之Ｘ已擊潰
page 5	新鶴兩路同時出擊
page 5	前晚昨晨Ｘ轟小欖
page 5	深圳突聞炮聲原來炸燬橋樑南頭地方安定
page 5	鼓浪嶼事件之汕訊Ｘ陸戰隊已回原艦英美法水兵登陸後進行交涉十八日Ｘ炸汕市焚燒之情形
page 5	鼓浪嶼Ｘ兵已回艦
page 5	十八日汕市之被炸
page 5	各界聯合慰問災民
page 5	釋解軍民合作意義
page 5	西江戰訊續誌鶴山形勢仍甚嚴重Ｘ繼續窺伺鶴山沿海木棉再為自衛團收復
page 5	十七日我飛機隊猛炸江會Ｘ陣詳情
page 5	中行北海關收稅處修改售結外匯暫行辦法
page 5	台山又獲漢奸
page 5	省府電令核減典當利息延長滿當期限貸款救濟當業
page 5	軍管區飭令趕徵新兵潮惠區征三千三百名
page 5	昨晨雷雨交作中我軍乘機衝入會城惠民門前夜昨晨各路之激戰Ｘ又向小欖沿岸炮轟
page 6	南海縣各鄉匪盜如毛糧食漸斷絕匪黨白盡擄劫西樵良登淪陷區遺民餓斃者日增
page 6	北海連續查獲偷運現鈔北海關特佈告限制
page 6	寶安計劃減征地稅
page 6	東江各線連日戰訊觀音岩蛇頭嶺戰情激烈龍翔小Ｘ布炮兵與我隔河對峙福和我軍分四路謀截廣增交通
page 6	龍翔Ｘ軍向我炮轟
page 6	我軍出擊觀音岩Ｘ
page 6	太平場Ｘ機場被炸
page 6	蛇頭嶺Ｘ據險頑抗
page 6	蔡廷楷巡抵廉江廉江各界熱烈歡迎
page 6	陽江匪盜披猖縣府嚴令緝捕
page 6	我謀截斷廣增輸運
page 6	石橋附近已有激戰
page 6	包圍　頭克復烏石
page 6	軍委會之抗宣隊抵防城
page 6	惠陽恢復法院
page 6	軍委會檢閱團檢閱普寧壯丁
page 6	惠陽縣府成立戰工委會訓練戰時幹部
page 6	廣州渝陷時之女警疏散經過及現在工作女警胡筱貞之函述
page 7	青山道遠東工廠被劫賊飽掠後從容遁去
page 7	冒差串竊煙槍三犯判處徒刑
page 7	郎靜山攝影展覽閉幕
page 7	藥品源源運渝救治炸傷軍民
page 7	復旦中學籌祝十週紀念
page 7	昨日大雷雨水塘存水激增截至昨晨八時半已得水二寸餘料短期內各區水喉可全日開放
page 7	旅滬兩廣同鄉捐款萬元賑災
page 7	救亡劇團昨招待各界主席金山演講此次南渡之目的團長林樞報告前線將士之英勇
page 8	衛生局之議案廿三日開會討論
page 8	分三大類
page 8	本港女青年會昨舉行十九週年紀念黃玉梅報告一年來之工作會員二千餘致力救亡運動
page 8	水費新例實行後港府收入未增
page 8	鴨　洲打架案昨晨再度提堂
page 8	民航機之來去
page 8	這個希望
page 8	重要地點
page 8	開會詞云
page 8	某戰區司令謝婦慰會贈藥
page 8	本港政府公布中環填海計劃在統一碼頭側填地四萬方尺並建築兩碼頭以便發展航業
page 10	今日如晴棒球將有兩場戰事西洋遇香港南華戰美艦中華對友中啤昨因雨改期
page 10	下星期日記者公會舉行海浴地點清水灣屆時有音樂等助慶記者公會自設體育特項委員會以來對於發展記者體育不遺餘力近因時屆入夏尤注重水上運動其游泳班經分高初兩級訓練將於日內開始此外並舉行海浴茲將各情報告如下
page 10	小型球聯會明晚召開會議
page 10	宵來籃球聯賽關宵壓倒華南海光記者棄權
page 10	今日足球表演南華改戰海軍對港聯之戰昨因雨迫得取消
page 11	德願與法和平相處
page 11	意國情勢今非昔比
page 11	日人感想注視英國
page 11	西線游擊Ｘ人進犯晉西北的陰謀
page 11	法商觀察戰禍不免
page 11	民治國可消弭歐戰
page 11	墨氏智慧不致求戰
page 11	由漢返滬西商談外人商務全停長江航務全被日人控制
page 11	以英勇姿態反攻李家灣
page 11	佔據不去
page 11	禁止往來
page 11	置之不理
page 11	歐洲能免戰禍乎滬外僑之見解法人悲觀認大戰必爆發德意人謂可望和平解決美國人則言美決不參戰
