page 1	反侵略陣線與國聯機構
page 2	浙東Ｘ海軍圖佔舟山群島岱山我自衛隊退守岐山鎮海被空襲死傷十餘人
page 2	Ｘ決實施總動員法限制國內消費集中各種糧食輸出國外
page 2	閩省春季貿易統計入超僅廿萬餘元
page 2	孫桐萱配備大軍準備再攻開封
page 2	法艦隊司令抵滬調查法輪被搜事件
page 2	汪仍在滬赴日未成行滬上汪黨羽活動較前沉寂
page 2	神岡之Ｘ受創甚重金溪Ｘ被擊潰
page 2	津Ｘ禁羊毛棉花運入租界此舉係欲打擊外商
page 2	冀北我克昌平晉北Ｘ犯河曲不逞晉南擊落Ｘ轟炸機
page 2	滇一老婦獻產救國購戎衣慰勞將士
page 2	Ｘ圖擾津租界
page 2	Ｘ機再炸重慶似欲燬銀行街因前　專襲該區尚未受害
page 2	Ｘ機轟炸潮州毀屋多間死傷甚微
page 2	湘北Ｘ受重挫新牆河北岸Ｘ進犯不逞
page 2	國府命令周鐘獄任內政部長何鍵改任撫卹委會主委派李平衡等出席勞工會
page 2	我游擊隊混入南市投彈龍華有槍砲聲
page 2	我空軍炸贛Ｘ司令部
page 2	又故意散佈和平謠言
page 2	浦東英軍刺傷日軍不確
page 2	駐德意兩大使辭職或係涉及外交有田或受影響
page 2	Ｘ機炸漳浦英教堂被炸毀莆田首次遇空襲被投彈三枚
page 2	鄂中我軍圍攻應山鄂省戰局完全為我控制鍾祥Ｘ大部向京山撤退
page 3	Ｘ海軍發言人宣言日實行封鎖我國沿海糧食藥品將不許運入我國料美不派遣軍艦護送商輪
page 3	廣州外圍線視察清從民眾英勇殺Ｘ紀一
page 3	美國上年出超達十萬萬金元
page 3	英皇英后赴卡爾加里城
page 3	鼓浪嶼交通全被日方封鎖四國海軍會議無結果島上日軍一部份撤退
page 3	日軍檢查蘭甫拉號輪英向日方提嚴重抗議英考慮派艦護航但實行有困難某議員主張對日輪反報復行動
page 3	中東路滿蒙軍衝突後蘇滿邊境呈緊張狀態雙方軍隊皆有準備一觸即發蘇聯炮艦在塞卡湖巡弋示威
page 3	蘇聯議會通過龐大國防預算財政委員長謂蘇陸軍至強大他國倘敢犯蘇　當迎頭痛擊
page 3	偽華興銀行購進跌價日元通貨膨脹終難挽救
page 3	日外交財政將比以前困難
page 3	日本苟加入德意同盟英法蘇協定將及遠東法外部開始研究三國協定草案德竟指斥英法為採取包圍政策
page 4	雅麗氏醫院昨日召開年會
page 4	汛美機昨抵港
page 4	捐金購債彙誌
page 4	糖商長期義捐又匯出三千元
page 4	嶺大學生主辦音樂籌賑大會
page 4	九龍劫案詳臬
page 4	各家長公鑒
page 4	少年作賊入獄
page 4	去年度意外事件何多流血慘劇共發生九宗死廿二人傷五十五人
page 5	Ｘ主力增援江門
page 5	馬鞍山得而復失
page 5	會城戰事移西門
page 5	ＸＸ焚白沙紫坭
page 5	中山受Ｘ擾近況
page 5	木朗鄉被Ｘ焚燒
page 5	江佛路戰事膠著
page 5	我空軍活躍江會
page 5	陳慎榮任深圳督察主任
page 5	東莞游擊諜查隊夜襲偽軍擒獲兩人
page 5	廣州便衣隊市郊殲Ｘ
page 5	容奇傀儡被Ｘ軍扣留
page 5	西江我軍嚴厲除奸
page 5	鼓浪嶼事件陷於僵局潮海Ｘ艦之最近行蹤Ｘ機廿四日襲汕詳情
page 5	嚴禁阻礙郵件運輸公路局及車商不得積壓拾獲郵件即送當地郵局
page 5	廿三日公益埠發六次警報Ｘ機掃射和記渡及炸鶴城
page 5	粵糧管會改隸戰區糧管會之組織內容
page 5	果販冤沉海底三果艇被Ｘ扣留艇伴有三人失蹤
page 5	Ｘ主力移向新鶴路戰事劇烈馬鞍山雙方之爭奪會城戰事移至西門我空軍迭炸江會Ｘ陣地
page 6	Ｘ圖死守趕速築防
page 6	廣州Ｘ軍源源東開
page 6	福和我軍猛襲Ｘ營
page 6	高塘Ｘ軍加緊戒嚴
page 6	Ｘ機狂炸三水蘆苞
page 6	粵贛間交通線之暢旺舟軍增加運輸利便贛粵官商組修路隊
page 6	李漢魂改進全省保甲事業確定自治經費取消零抽任用青年幹部提商待遇
page 6	Ｘ機Ｘ艦昨聯犯北海市區被空襲三次民房頗受損失英商輪經過又被Ｘ截搜
page 6	各鄉抗戰動態如偷豎白旂降Ｘ則一律處以死刑
page 6	中山唐家灣續到Ｘ艦兩艘抗戰形勢更緊張
page 6	吳飛召集所屬長官會議商禦Ｘ方策
page 6	張惠長令禁資Ｘ藥草出口
page 6	檢閱團主任黃公柱昨抵惠
