page 1	歐洲侵略集團將聯絡日本
page 2	南林橋之Ｘ陷我四面包圍企圖突圍三次均不逞殘Ｘ不難於日內殲滅
page 2	Ｘ方廣播揚言隱諱傷亡數目
page 2	一週來戰況鄂中之役我獲重要戰果贛北我軍連克重要據點
page 2	湖北方面
page 2	贛北方面
page 2	山西方面
page 2	廣東方面
page 2	Ｘ國收集現金難達目的極其量僅得卅憶元對外貿易進口增加
page 2	李宗仁談話對戰局極樂觀
page 2	Ｘ使館發言人稱不擬武力威脅工務局檢查外輪亦不擬重演
page 2	旅菲僑胞參議會向李漢魂等獻旗
page 2	鄧家彥視察桂省黨務
page 2	Ｘ機轟炸福州平民死傷慘重
page 2	亞留群島發生大地震又有火山噴發居民紛紛走避
page 2	黃旭初匯款救濟重慶難民
page 2	行政院決議案
page 2	鄂中我軍挺進鍾祥天門Ｘ被包圍連日天岳路上激戰甚烈隨縣附近殘Ｘ不難肅清
page 3	德勢力謀向東方擴展沙赫特戈培爾遊歷士伊阿埃等遊說各國以遂其開闢商業之計
page 3	招待外國記者陳部長談最近戰況必勝局面之日益顯著
page 3	匈眾院改選政局勢將右傾
page 3	士人民代表會土總統演說凡一國家均有其獨立主權大國絕無消滅小國之權利
page 3	美眾院外委會討論中立法修正案眾院各議員多贊同赫爾之主張惟參議員決定保持現行中立法
page 3	為抵抗侵略紐約熱烈舉行安全週擁護抵抗侵略之外交政策主張中立法有修改之必要
page 3	蘇聯預算除支尚有剩餘
page 3	法飛行家丹尼施由西貢飛巴黎
page 3	英將增派軍艦至星加坡會防
page 3	台杯賽南選手勝意
page 3	意阿軍隊合編
page 3	日陸外兩相報告蒙滿衝突邊境現已復趨安靖
page 3	瓊島我軍出擊收復嘉積安定
page 3	日勞動者極不健康被徵入伍每不合格
page 3	各國外交界靜觀滬局推演英美法外交軍事會議目前尚未有重要發展
page 3	詹森明日抵港
page 3	滬綸昌廠復工Ｘ偽煽動陰謀已告完全失敗
page 3	英將向德提一重要照會希望與德解除懸案蘇仍水覆英法提議
