page 1	抗戰第三年開始
page 2	晉東南我國大捷一部迫近臨汾七里　尖頭里等處為我收復我破壞同蒲路Ｘ巡路車出軌
page 2	抗戰二週年紀念蔣委長告全國軍民書貳
page 2	Ｘ機再襲渝市在城郊投彈百餘枚
page 2	贛北我軍克大橋河
page 2	南路慰勞團向榮譽隊獻旗
page 2	但澤岌岌可危德機飛越波境德巡洋艦將訪但澤
page 2	岳州輪二副昨日已獲釋放
page 2	浙海松門發現Ｘ艦
page 2	Ｘ攻浦東遭我擊潰獲戰利品甚多
page 2	各地民眾舉行七七紀念
page 2	Ｘ犯澄海鶴汀我某部迎頭痛擊我克楓溪Ｘ向潮安潰退從化方面連日發生劇戰
page 3	艾登演說英國不受恫嚇
page 3	抗戰第二週年紀念日蔣委長告日民眾書二
page 3	日貨運法須領證書
page 3	美各地僑胞熱烈紀念七七同情我抗戰美人亦參加
page 3	傳美將實行征日貨附加稅
page 3	美財部宣佈購買白銀價格對於白銀前途人心較為安定
page 3	日人主持北平反英運動
page 3	倫敦各報著論檢討我國抗戰之成績日本已迫中國內部統一日速戰速決目的已失敗
page 3	美海軍部長史璜生逝世
page 3	日本各地及日軍佔領區舉行侵華二週年紀念令人民靜默一分鐘追悼日軍雙七紀念上海租界特別戒嚴
page 3	滬Ｘ軍司令參謀長稱租界供我游擊隊軍火外記者質問Ｘ參謀長含糊答覆
page 3	華北黨政軍聯合辦事處擁護政府緝汪
page 3	日方軍報宣稱蘇飛機被擊落者多架貝爾湖上空日蘇空軍遭遇戰激戰半小時日機被擊落不少
page 3	薛西爾與穀特贈旗與蔣委長表示同情我抗戰
page 3	郭泰祺晤英外相討論天津問題將來英日談判倘日提較大問題外相切實聲明英決不肯讓步
page 4	報告書云
page 4	發展計劃
page 4	工業林立
page 4	捐金購債彙誌
page 4	會員體格
page 4	鍾榮光昨抵港
page 4	大觀酒店紅丸案昨詳臬
page 4	打架案昨提堂兩人重傷仍留醫院
page 4	兒童會一年來之工作集會地點去年增設多處將來並擬與同類機關合作
page 5	江會隨時均可克復
page 5	新會各鄉降Ｘ者死
page 5	粵北我軍三路挺進正面曾入江村
page 5	迫攻龍口戰事激烈
page 5	夜襲新田將Ｘ擊潰
page 5	九江河清Ｘ調江門
page 5	　路我軍衝入江村
page 5	兩Ｘ機向江會助戰
page 5	四日晚我軍之收穫
page 5	Ｘ艦狂轟荷塘潮蓮
page 5	我新空軍活躍中虎門三灶等處Ｘ艦狀態我機又夜襲虎門Ｘ軍炸毀旗桿浦Ｘ軍工事
page 5	Ｘ機轟炸市西李村鄉毀屋十二間死傷六人
page 5	江海公路發生激戰
page 5	唐家灣Ｘ艦來蹤去跡
page 5	專署增員辦理自衛團務省府昨令遵照
page 5	各方積極救濟瓊崖義民撥鉅款回內地散振瓊僑會商救濟辦法
page 5	桂行營增編快艇隊衛西江
page 5	澄海淪Ｘ血戰重開我軍衝入潮安浴血巷戰楓溪我克復潮揭線戰事將有新開展
page 5	Ｘ犯澄海我移新陣
page 5	衝入潮安激烈巷戰
page 5	克復楓溪襲葫蘆嶺
page 5	瓊澄游擊隊擴大組織
page 5	瓊島抱虎山之激戰Ｘ退新埠港梧林市
page 5	江會連日均有劇烈巷戰李務滋在古井開民眾大會並准鄰近各鄉焚燬其屋宇江會各地最近之戰況
page 6	雷州海峽Ｘ艦　集
page 6	策動反攻南鵬島Ｘ
page 6	南鵬島陷後之慘狀
page 6	新會動員會撥歸縣府統轄指揮
page 6	新會舉行節約運動
page 6	惠陽積極推進民運
page 6	水籐游擊隊截擊Ｘ軍
page 6	白沙鄉民擊落Ｘ機
page 6	四邑巡河艦隊指揮部昨成立並嚴禁留難航行
page 6	博羅綠林反正殺Ｘ改編游擊隊
page 6	三灶難民急待救濟
page 6	四邑游擊部誡所屬勿擾民
page 6	博羅鬥潮未息
page 6	順德大良之賊世界Ｘ迫壯丁充當自警隊土匪與Ｘ偽曾屢次發生接觸Ｘ舉行人口登記及傀儡聯保
page 6	土匪Ｘ偽屢次械鬥
page 6	迫令壯丁充當偽警
page 6	利樹宗函謝澳婦女會
page 6	韶關決定再迫疏散人口
page 6	南路情勢仍緊張Ｘ艦　集雷州海峽陽江我軍策動反攻南鵬Ｘ軍水陸威備甚為嚴密
page 7	王冷齋講抗戰史實
page 7	日人對中國的侵略
page 7	少數意志薄弱的人
page 7	港九工團聯合獻旗
page 7	華商總會開會公祭
page 7	港九社團聯合公祭
page 7	其他團體分別舉行
page 7	石塘歌姬七七義唱花影恨獲冠軍小冰不甘第二次競爭必烈富翁周某慨召全體歌姬演唱
page 7	節食獻金義賣義唱
page 7	婦女節制會紀念會
page 7	九龍城械劫案疑犯詳臬定讞
page 7	各界熱烈紀念七七華商總會等設靈公祭陣亡將士中國婦女會舉行國民宣誓典禮
page 8	爭戀行兇案詳臬定讞被告李湛自認揮斧傷人
page 8	聚樂茶室
page 8	登台作供
page 8	檳城華籍機工六十九人將回國服務分批首途第一批日間到港本港　僑團準備熱烈歡迎
page 8	聞警笛聲
page 8	搜出利鑿
page 8	茶客跳樓自殺
page 8	東院病婦跳樓身受重傷性命堪虞
page 8	棒球聯賽兩華隊今重逢明日西洋戰香港會
page 8	七七獻金彙誌
page 8	美國長人會創辦人基森拿女士過港
page 8	新亞廠招待各界
page 8	南華游擊部歌詠戲劇大會今晚舉行
page 8	南華會友足球賽明日在工務局場舉行六路雄師同時出動
page 8	南華會泳場二次水　有期何犖報效全場獎品
page 8	網球名將王文正昨已乘輪返滬義賽收入達七百餘元
page 8	夏令籃球賽每週舉行六場十日止截報名
page 8	青年會乒乓賽訊
page 8	心嘉杯今有三場
page 8	華員會海浴消息
page 8	英籍醫生泰爾波脫仗義赴前線為我服務並曾赴英美募得救護汽車甚多犧牲一年假期日昨始乘輪返港
