page 1	英日談判與英法蘇談判
page 2	我空軍飛從化炸Ｘ陣犯揭陽之Ｘ被我擊潰
page 2	新牆河北岸我軍出擊獲勝南樓橋附近要點被我收復
page 2	抗戰二週年紀念蔣委長告全國軍民書三
page 2	浙東Ｘ艦減少各地安謐溫州仍泊Ｘ艦多艘
page 2	冀我游擊隊總攻津郊Ｘ軍北寧沿路我游擊隊活躍冀南邢台以東發生激戰
page 2	山海關路軌被水沖斷
page 2	浦東Ｘ犯南匯遭我抵抗我游擊隊抵楊思橋
page 2	美海長史璜生生平
page 2	浙海Ｘ艦肆擾在六橫島登陸我軍正猛予抵抗中
page 2	滬Ｘ海軍武官　擊工部局不承一二特院工部局各不承認新政府租界則無恢復原狀希望
page 2	閩主席陳儀發表抵抗封鎖對策加緊動員人財物等工作增加地方自衛力生產力
page 2	奉賢偽警反正將偽組織搗毀
page 2	晉南戰局又展開劇烈戰鬥翼絳Ｘ約萬餘分三路進犯吊山溝馮家河間肉搏甚烈
page 3	波旦邊境軍事佈置
page 3	英日談判下星期三開始英方堅持談判範圍不應超出天津事件
page 3	政院通過肅清煙土辦法本年秋冬絕對不能再種違者從重一律處以極刑
page 3	傳德停止但澤軍事
page 3	肅清煙土案提案原文
page 3	日皇下令實行徵用勞工預計被征者一千萬人
page 3	日方民眾反英巡行
page 3	謀打開三國協定僵局英法極力尋覓新途徑如三國不艱締結一　性質之協定則英法將與蘇締範圍較少之協定
page 3	世界宗教會議在法舉行我代表發表演說
page 3	肅清私存煙土辦法大綱
page 3	英報著論評論中日戰爭日本不能把握最後勝利中國軍民精神甚為壯旺
page 3	　權國貨物宜分區別英下議員主張
page 3	近衛發表反華宣言
page 3	日偽蘇蒙兩軍爭奪諾曼罕山雙方發生激烈戰事
page 3	英保守黨議員質問德械運華英外次官用書面答覆
page 3	京滬鐵路交通中斷無錫附近路軌被炸斷該地游擊隊又積極活動
page 3	英空軍實力軍用機二萬架英法空軍合作在考慮中
page 3	英瑞經濟談判未見成效
page 3	英軍司令赴平謀營救司品烈
page 3	波蘭聲明但澤不能歸德波在但澤權利不能受第三國支配但澤人民須繼續享文化教育權利
page 4	墮樓人已斃命
page 4	賭敗誑報被劫一工人被處罰
page 4	博羅敵賑會續辦賑米回鄉
page 4	防空班將考試港九分區舉行
page 4	紅磡七七紀念會售花萬五千朵集體素食參加者千餘人
page 4	狗展覽會決每年舉辦一次
page 4	護士考試揭曉
page 4	秋季馬票之暢銷
page 4	我藝術品運蘇民覽港僑各界踴躍應徵廣萬隆報效爆竹十萬發畫家高劍父等出品甚多
page 5	七日午後江門戰烈
page 5	Ｘ向民眾宣傳勝利
page 5	Ｘ艦艇多向嶺東去
page 5	東江Ｘ增援反抗莞城我軍轉移新陣太平我軍殲Ｘ後改守南教場石龍一度被我衝入現仍激戰
page 5	我軍一度攻入石龍
page 5	Ｘ救石龍反攻莞太
page 5	中山各地均告安謐
page 5	大良Ｘ偽突起火迸
page 5	我組織破壞隊擾Ｘ
page 5	禪炭線我軍之活躍馬涌Ｘ佈防之忙碌我軍已迫攻文岡象山李標部龍襲入松岡混戰
page 5	再攻馮涌佔葫蘆岡
page 5	李青憲部偽軍近在官窯反正請求伍觀淇改編
page 5	夜襲松岡我軍奏捷
page 5	Ｘ艦再窺徐聞沿岸我警戒嚴密Ｘ未敢冒犯Ｘ第十一艦隊竄匿粵南分佈沿海並故佈疑兵陣
page 5	大隊Ｘ艦窺海安港
page 5	南鵬傀儡粉墨登場
page 5	軍部派員巡視電白
page 5	血戰獅嶺殲Ｘ甚多
page 5	從化我軍攻太平場
page 5	北線我軍續傳捷報獅嶺沿血戰殲Ｘ甚多江村我Ｘ對峙大戰將續展開
page 5	廣東省銀行推行農村貸款無法提供抵押品另訂補救之辦法
page 5	三灶Ｘ機夜襲中山沿海
page 5	水陸運輸管理處舉辦車船登記本月一日起至月底止
page 5	廣州戒嚴防我游擊
page 5	廣州市四郊便衣隊活躍訊
page 5	江會戰訊七日午後各線又發生激戰大良Ｘ偽突然火迸
page 6	南海游擊襲擊龍江招村疊滘被匪焚劫甚慘
page 6	夜襲龍江激戰甚烈
page 6	招村疊滘被匪焚劫
page 6	袁帶所部改編完竣
page 6	合浦平糶續訊
page 6	槍決會城偽會漢奸
page 6	廣州灣瓊僑籌設臨時中學
page 6	粵當局力謀救濟各縣米荒
page 6	海豐縣擬定燈火管制辦法
page 6	中山各界又為縣長申辯
page 6	劉翁奉委負責潮汕游擊軍事兩氏已遄赴潮揭前線組七八區兩游擊縱隊
page 6	東江海盜截劫電輪貨船
page 7	福州海道完全封鎖
page 7	海澄輪被阻閩江口
page 7	英輪中止行走溫州
page 7	防空訓練班主任勸請各界參加
page 7	尹文家屬卹金募得千四百餘元
page 7	法巡洋艦北上
page 7	法領籌祝國慶
page 7	聖約翰救傷隊增設平湖醫院
page 7	萬善緣大會六次籌備會議
page 7	銅鼓塔海面六賊截劫貨艇掠火油二千餘罐食鹽　百擔損失五千餘元榜人幸獲脫險
page 7	女郎跳樓自殺
page 7	暹羅汕僑匯兌將由港銀行代轉
page 7	兇徒毆傷一人
page 7	防疫注射簽證處今日辦公時間
page 7	Ｘ艦橫行閩江口英商船無法駛入福州海澄輪被阻昨日已折回本港溫州情勢緊張各輪亦不開往
page 8	勞工生活
page 8	本港外匯基金極充裕基金委員之報告
page 8	港政府委任令
page 8	暹華僑蟻光炎慨捐二千元購票準國旗一面
page 8	又廠區紅丸窟兩犯分別處徒刑
page 8	暹華僑服務團離港赴粵服務
page 8	東方這樂園錫蘭記者將入影籌賑
page 8	北角居民組義風慈善社
page 8	昨日棒球聯賽中華最後勝利南華捨身成仁自甘退讓球證不滿中途卸職而去
page 8	報際象棋比賽僅餘今日兩場
page 8	南遊日記五
page 8	芬長途競走家創兩英哩新紀錄
page 8	公開男女籃球賽定期舉行頒獎屆時有表演賽三場
page 8	三屆德權鼎今日開幕港紳霍鐵如民主持開球典禮
page 8	心嘉杯三場戰績
page 8	傑志會舉行海浴
page 8	六月份各塘存水較去年同月增加逾倍平均個人消耗量較去年減少但因人口激增仍須限制供給
page 11	抗戰第二週年月紀念日蔣委長告日民眾書三
