page 1	國際形勢與我國抗戰
page 2	英方拒絕移交津白銀東京談判毫無結果英日雙方各持己見
page 2	工黨議員向西門質問可否以信用保証法助華向英購買貨品
page 2	圓桌會議昨未有舉行經濟小組委會開會澈底討論白銀問題
page 2	重慶各界聯電英大使促其電請英國政府毅然停止東京談判
page 2	新牆河前線戰事沉寂
page 2	劉排長勇戰殉職身中二彈尤不肯退Ｘ亂彈下壯烈殉職
page 2	教部西南攷察團昨已出發考察時期約半年
page 2	綏蒙會電外蒙戰士表示致敬深　此後繼續努力早滅日Ｘ完成我先祖偉大之征Ｘ遺忘
page 2	華中Ｘ軍突然大量撤退目的何在各方紛加忖測
page 2	豫南戰局益趨穩定桐泌境內無Ｘ蹤
page 2	萬安之Ｘ分路西犯受挫我襲虞鄉獲勝Ｘ向臨晉逃竄
page 2	偽軍犯西山嘴不逞
page 2	靜樂Ｘ頒賞捕我軍
page 2	壺關東Ｘ被斃百餘
page 2	日空軍軍官兩名喪生
page 2	廣州英領事昨日離粵返國
page 2	Ｘ機昨犯電白懸立中學被毀
page 2	傳英將以信用借款繼續支撐我貨幣法願為英後盾以應付遠東英現與美法交換對華意見
page 3	歐洲各國陳兵邊境
page 3	羅匈兩國發生衝突
page 3	英保守黨議員滿意政府之強硬態度上院定於四日舉行辯論
page 3	教育部積極辦理救濟戰區退出員生舉辦戰區員生登記分配工作
page 3	專科以上教員救濟情形
page 3	專科以上學生救濟情形
page 3	艾登致書選民抨擊安定政策
page 3	意國陸軍作大規模演習參加部隊十五萬人已在波河流域開始
page 3	中學教員學生救濟情形
page 3	社會教育人員救濟情形
page 3	張彭春博士談美國毀約原因具體表示美人對日侵華態度美輿論界一致贊成羅氏此舉
page 3	孟買北部發生暴動傷亡五十六人當局下戒嚴令
page 3	羅斯福放款案已遭眾院否決羅斯福謂眾院否決該案將使納稅人受重大損失
page 3	波總統頒佈緊急法令
page 3	克萊琪向日要求取締反英運動日政府苟不禁止此項運動則英日談判礙難繼續進行
page 3	各地　英潮形勢益惡劣
page 3	越南華僑獻金萬元犒軍
page 3	Ｘ機轟炸確山美教會中六彈美向日提抗議
page 3	英總選期將在年底舉行
page 3	美新任駐菲專員發表談話盼菲律濱法案得以早日通過
page 3	德解散捷空軍
page 3	英政府已有計劃貯存大量煤油準備作戰時燃料
page 3	英工黨議員質問日購英械問題英出品機關槍最近並無運日
page 3	但澤時局已達危險階段但澤之軍事準備已達到最高點德併但澤初步準備工作已完成
page 4	果販義賣成績已募得六千餘元
page 4	鄧龍光將軍謝婦慰會贈藥
