page 1	東京談判擱淺
page 2	重慶市空發生劇烈激戰Ｘ機一架被我機擊落Ｘ機投下燃燒彈多枚
page 2	Ｘ機轟炸閩東南各地在龍溪城投五十餘彈
page 2	水勢洶湧偽Ｘ正搶堵中
page 2	吳興Ｘ被截擊溺斃甚多
page 2	大樹灣偽軍攜械反正
page 2	綏境Ｘ圖南犯我軍迎擊Ｘ潰敗退回安北
page 2	津英租界封鎖益緊糧食運入極困難
page 2	蔣緯國在德見習軍事兩年後即可畢業
page 2	意軍大演習經已開始
page 2	Ｘ在汕發動反英運動僱地痞偽造民意
page 2	英蘇海約無修正必要蘇主力艦噸位與英法美相等
page 2	Ｘ軍部三首腦舉行重要會議決定對歐局所應採之態度傳日將加入德意軍事同盟
page 2	美籍旅客談太原反英劇烈
page 2	Ｘ機四架襲擊電白梅菉
page 2	我游擊隊襲擊滬郊Ｘ軍大場羅中間亦展開激戰
page 2	中國工業合作社首次工作會議完畢二年度計劃準備金三千萬元先從事開礦紡織刺繡等工作
page 2	波蘭邊界已完成極長之炮壘線波蘭西邊境集中十六萬德軍
page 2	皖彭予愉捐獻祖遺元寶千四百五十兩
page 2	湘北鄂南贛北Ｘ補給線被破壞晉東南我軍克復沁水縣城
page 3	哈里法斯聲言維持九公約並願考慮支撐中國貨幣謀取機會調停遠東戰爭
page 3	Ｘ六次犯中條山經過二三Ｘ這次的作戰計劃
page 3	薛西爾希望政府解釋遠東政策日本侵華實最不公平中國係值得英人援助
page 3	施拿爾要求外相解釋東京協定保證英對華政策不變且繼續支撐中國法幣
page 3	詹姆爾提出主張步美對日廢約與美國採取共同步驟停止物質供給於日本
page 3	伊里孟要求外相勿移交津白銀並決不承　華　偽幣日本決不敢與英宣戰
page 3	四Ｘ人的煙幕作用
page 3	哈里法斯致答詞政府政策不變未承認日有交戰權利英須與美法兩國合作
page 3	英法蘇軍事談判定期十一舉行蘇方代表均為重要人物
page 3	美蘇商約本月八日滿期預料將展期一年
page 3	英國發明抵禦潛艇器械他國　艇襲擊英船英輪即可將之擊沉
page 3	Ｘ拆岳陽教堂英美教士被逐
page 3	張伯倫赴蘇格蘭休養
page 3	張伯倫直言不諱近於時勢忍耐對日歐洲時局嚴重對遠東未能暢所欲行對東京談判繼續進行希望談判成功
page 4	缺少營養兒童多病
page 4	視力所及加以改良
page 4	捐金購債彙誌
page 4	七日公眾假期郵局辦公時間
page 4	警探大捕賭徒
page 4	中國文化劇團在美表演成績斐然
page 4	羈留所逃一犯
page 4	兒童保育會難童營養不足一歲　下嬰孩死者凡十一人醫務總監希望該會改良伙食
page 5	我空軍炸虎門Ｘ艦
page 5	吳張司令視察各防
page 5	縣府今後工作動向
page 5	江會之Ｘ到處碰壁
page 5	大良之Ｘ防我反攻
page 5	Ｘ機襲梧後當局急謀救濟
page 5	粵南開始強迫疏散人口與全部物資定由八月一日起各縣切實執行Ｘ機Ｘ艦最近動態詳誌
page 5	市橋匪徒勒抽行水擾民
page 5	Ｘ忙築防大戰將開
page 5	蘆苞下令疏散居民
page 5	三水西南Ｘ續增援蘆西線將有劇戰發生蘆苞當局已下令疏散人口
page 5	Ｘ機連日窺擾廣九路各地並向惠陽窺伺手推車變更行程
page 5	憑資源會護照無照不准放行
page 5	廣州灣中央分行成立
page 5	我游擊隊再襲新墟
page 5	容奇填防之Ｘ炮轟孖沙南頭
page 5	東莞橫坑等三鄉抗戰始末鄧大隊長訪問記二本報戰地記者胡小蝶
page 5	我空軍昨飛襲虎門外Ｘ艦江會Ｘ三路掃蕩均碰壁Ｘ增兵大良防我軍反攻中山加強各地防守力量
page 6	專科以上學校增設戰時科目有特殊發明研究者給獎
page 6	疏散人口區域學校隨民遷移應竭力以赴毋令停課失業教員酌予生活費
page 6	圍捕販運紅丸要犯台山塘美村民警激戰該村男婦名圍警兵奪犯擊斃鄉人兩名重傷數名
page 6	電白　菉被炸情形梅菉死傷甚眾
page 6	化縣大雨釀成水災河水仍續漲中
page 6	省府禁各縣民眾邪說組織
page 6	省新運會推行食用糙米韶關已開始實行
page 6	徐聞獎勵民眾擒Ｘ機師獲教官一名獎五百元
page 6	開平縣府槍決漢奸台山槍決紅丸犯
page 6	省振會調查各縣織造計劃設立難民工廠
page 6	粵南情勢日趨緊張蔡廷楷將再巡南路譚啟秀部挺進隊開抵陽江陽江縣長聞調姚毓琛繼任
page 7	昨午發生劫殺案兩賊騎劫漁船一艘船主夫婦被推落海一死一生船主之子被擄財物損失甚重
page 7	華商籌賑會商討獻金辦法
page 7	港渝港菲電話十五日正式通話
page 7	青年救護隊第四批將出發
page 7	中華海員工會實為合法機關王　倫等上訴得直
page 7	現代漫畫木刻展覽均為我國藝人精心之作展覽期間尚有今明兩天
page 7	強制服役實施委會會議
page 7	港邊境頻頻發現怪機中航歐亞等機仍照常開出
page 7	旅客防疫注射辦法本港當局已允予改善
page 7	彰德輪機師失蹤真相未明
page 7	紅磡各界獻金議決辦法四項
page 7	獻劍會昨會議
page 7	汎美機昨飛菲
page 7	青洲海面
page 8	永祥金舖械劫案續審店伴供述被告等行劫經過第一被告邱生已承認作賊
page 8	意圖謀殺
page 8	因船期關係泰國網球隊延期抵港賽程改於十一十四十五舉行
page 8	今晚域多利泳池青年會對抗域多利項目六款並有表演節目雙方好手盡出看頭必多
page 8	一賊闖入
page 8	攜有手槍
page 8	有何反證
page 8	昨日為英後壽辰
page 8	今日棒球聯賽南華戰香港
page 8	美長途泳家創世界新紀錄全程二八八英里需時七十七時半
page 8	夏令籃球賽今有兩場戰事賽會明晚討論補賽秋序
page 8	記者小型球隊明日出戰雲鵬隊
page 8	職工鼎決賽近訊
page 8	英文中學會考昨揭曉男生三三六人女生一五零大及格榮譽及格者男女生統一五十四人
