page 1	英法蘇談判之前途
page 2	我晉南壁壘最近更形鞏固翼城沁水間殘Ｘ被我肅清Ｘ掃蕩中條山計劃失敗
page 2	Ｘ發言人承認滬郊游擊隊極為活動新四軍軍械精良覓Ｘ大患
page 2	攷試院公布高等攷試初試辦法初試合格入中央政治學校受訓期滿舉行再試　格後依法任用
page 2	錦河兩岸Ｘ我砲戰撫河迤北依然沉寂
page 2	重慶各界舉行八一三聚餐會特組宣傳隊特務隊下鄉工作請張治中報告淞滬血戰經過
page 2	日內閣保守派計劃避免閣潮板垣自請辭職應暫作罷論平沼亦確信有留職之必要
page 2	嶺東Ｘ蠢動被創
page 2	Ｘ高價吸收廣東省行美鈔版毫券企圖擾亂粵省金融奸商乘機取利粵人應鎮靜應付免致墮Ｘ人術中
page 2	美國記者之歐洲大戰觀測
page 2	張發奎廣播斥汪逆
page 2	我外部發表重要聲明反對移交津案疑犯郭大使向英外部正式抗議英對幣制問題態度極強硬
page 3	美陸軍大演習演習目的避免戰爭
page 3	潘公展前晚廣播演說闢汪逆之漢奸和平理論
page 3	芬尼基港拒絕猶人登陸
page 3	印領袖尼赫魯定期來華
page 3	俘虜反對侵略組織反侵略戰爭同盟十二日在西安舉行成立典禮通過提案電呈蔣委員長致敬
page 3	羅國王由土返國召開內閣會議報告與土總統會晤經過注重保國所提領土要求
page 3	山西二年來抗戰的經驗與教訓二
page 3	山洪暴發鄭縣水災城郊房屋沖毀甚多
page 3	滬市近郊又發生炸彈案十一名華人受傷
page 3	八一三紀念日滬市防範甚嚴商店閉門停業
page 3	東南歐方面醞釀重大事故德意談話討論修正兩項條約準備在巴爾幹半島有所舉動
page 4	海盜截劫小艇
page 4	婦慰會募捐訊
page 4	港滬實業界擬在澳辦實業
page 4	防疫運動改用圖畫宣傳
page 4	倫敦賣物會擴大徵募運動
page 4	兩婦女團體獻車紅十字會
page 4	華探捕獲疑犯
page 4	華機會新職員
page 4	華商織造會贈衣前線將士
page 4	教師聯會會議
page 4	澳馬會彩票暢銷
page 4	九龍　力公司裝配　機　加　力新機較舊機大兩倍餘本年十月底即可啟行
page 5	八一三中山之紀念
page 5	Ｘ機兩架散放傳單
page 5	增城連日之爭奪戰我軍襲擊中新之勝利
page 5	Ｘ犯楊梅不逞我軍夜襲河口
page 5	Ｘ工兵在沙頭拆糖廠機器觸舊藏地雷傷斃多名死九名傷十一名
page 5	粵積極完成全省各通訊網
page 5	中新交界昨無戰事
page 5	Ｘ圖擴軍威脅四邑
page 5	中央致力桂省難民墾殖再設柳州墾區
page 5	Ｘ增兵三灶荷包兩島對中山似又有異動
page 5	桂省加緊施行軍政訓練
page 5	軍委會令矯正軍事頹風四戰區部飭屬注意
page 5	江會游擊活躍一斑
page 5	省府飭各級機關切實肅清貪污
page 5	禺南加強游擊力量
page 5	審查專科以上訓導人員資格
page 5	橫門收復地實地調查記
page 5	中新交界昨無戰事Ｘ在江門擴軍企圖威脅四邑江會辦擊活躍杜阮昨有激戰
page 6	中山游擊隊雨夜襲擊潭洲Ｘ營隆都公路再度進行破壞
page 6	台山旅外僑胞關懷鄉國匯款八萬元賑濟難民
page 6	古鼎華積極救濟難民籌設習藝所及墾殖區
page 6	點頭站我團隊炸燬Ｘ車
page 6	中山沿海小鳥Ｘ情
page 6	東江匪患河博紫三縣聯防
page 6	粵當局計劃開發欽雷荒地經費預算二百萬元
page 6	中山當局佈告維持金融交易以國幣為本位
page 6	省庫補助各縣之經費分配辦法決由本月起實行
page 6	粵教廳推行衛生運動告全省小學教師書藉學校為推行衛生之幹部藉教育為宣傳衛生之工具
page 7	郭泉勸勉同人獻金
page 7	即席捐獻約二萬元
page 7	各獻金台昨日成績
page 7	港九各界紀念大會
page 7	銀界獻金將達十萬
page 7	拔萃書院學潮解決已令該台籍學生離校
page 7	港府與我當局合資建築新集中營收容我留港孤軍建費約十二萬各難民營衛生設備亦決予改善
page 7	難童節食一天獻金
page 7	全港小販正午默哀
page 7	各大廠商踴躍獻金
page 7	米業商會獻金統計
page 7	百餘萬僑胞昨沉痛紀念八一三獻金義賣之熱烈不減去年銀業商人昨續獻四萬餘元
page 8	九龍城區義賣情形
page 8	二三兩區成績良好
page 8	港僑的婚禮由複雜到簡單
page 8	旺角小販義賣兩天
page 8	婦聯會昨日售報獻金各報踴躍捐助報紙籌得港幣五百餘元
page 8	香港仔區義賣成績
page 8	港渝港菲無線電話通話手續業已訂定明日舉行通話典禮翌日正式開始營業
page 8	超立社義賣今結束
page 8	新靚就參加水藝籌賑大會
page 8	影星影展閉幕成績在核算中
page 8	雞鴨行商賑濟澳門難民
page 8	研究書法之導師
page 8	昨日棒球補賽六比四南華挫西洋表演賽中華戰美艦巴利號
page 8	排球義賽第三日嶺聖聯隊告捷一比三培英力戰而敗
page 8	南征足球隊捷報四比一輕取八打威德輝中三元水益建一功
page 8	夏令籃球戰績僑星大觀奏凱今日又有兩場
page 8	職工鼎決賽華警大勝魁星與鐵機並列首席
page 8	南華會友球賽
page 8	勵進團之新職員
page 8	有錢出錢有力出力港九小販昨開始義賣中西人士踴躍購買成績極佳各大商號紛贈標金表示贊助
page 11	南北棋藝巨子舉行公開大會賽周德裕對馮敬如盧輝董文淵十五晚在先施六樓開始比賽
