page 1	歐戰中我國之立場
page 2	運輸顧問團離滇赴渝沿途視察公路狀況
page 2	薩爾區法軍仍有進展德法兩陣線互以砲擊
page 2	華沙近郊仍有劇戰德軍連日猛攻不逞華沙仍在波軍手中
page 2	德方製造和平空氣英法長期作戰決心並不因此稍有搖動
page 2	波蘭軍民意志堅決德以七十師團侵波波蘭地位迄未搖動
page 2	長治長子仍在我圍攻中晉西柳林Ｘ企圖突圍冀南上等兵勇戰獲獎
page 2	羅斯福將召開國會特別會議美共和黨總統候選人主取消禁運軍火條款
page 2	鄂中我軍保衛力強Ｘ軍無力西犯
page 2	英海軍進攻德潛航艇有數次進攻成功
page 2	法禁資金出口
page 2	意將派巴爾布大將率領軍事代表團赴德法軍先頭部隊已迫近齊格菲陣線波境戰事重心仍在華沙城外六哩
page 3	合眾社記者談波蘭戰事真相大隊波軍仍未調往前線波軍退卻成績斐然可觀
page 3	摩里士亞省印人表示擁護英國主張印度　止一切紛爭與英合作應付　際危局
page 3	西北保衛線上豫西南的抗Ｘ堡壘
page 3	救濟波蘭難民
page 3	德機向華沙散放傳單
page 3	美國民意同情英法波美國民意研究院舉行測驗之結果
page 3	法國籌劃增加海軍軍費
page 3	英國爵士京賀爾昨逝世
page 3	法財長指出德國危機
page 3	僑法奧人組志願軍參戰英成立奧人徵募委會
page 3	英輪古德伍特號被德潛艇擊沉
page 3	柏林禁止私家汽車來往目的在節省汽油
page 3	蘇軍大舉出動其目的地未明莫斯科軍情頓緊各地紛徵後備兵
page 3	英空軍襲德施爾特島德機一架在立降落
page 3	皖東我軍克復來安縣城
page 3	德在波淪陷區內拘禁大量波人
page 3	蓉大學教授創辦成都日報
page 3	巴黎發出警報
page 3	比又徵後備兵
page 3	旅渝美商捐款贊助兒童保育集我國幣二千餘元呈獻與宋美齡女士
page 3	Ｘ機襲川我空軍起飛警戒Ｘ機投彈後飛去
page 3	日本否認願與蘇聯締約此項消息純系德方偽造日對歐局確有中立決心
page 5	白米山前劇戰竟日
page 5	我軍乘夜大舉反攻
page 5	仰天螺首被我克復
page 5	大尖峰等相繼收復
page 5	橫門Ｘ據兩岸擊退
page 5	四區各地戰時情況
page 5	Ｘ圖犯大黃圃兩次均不得逞
page 5	盛傳我軍將反攻Ｘ偽增兵容良順德Ｘ偽最近動態
page 5	粵湘贛糧食互相接濟調劑擬定辦法施行
page 5	東江團隊一度攻入增城戰情補誌我截斷增從Ｘ之聯絡
page 5	軍事會議
page 5	攻入增城
page 5	部審訊辦理從花線之激戰牛頭嶺我勇戰退Ｘ朱村大窩我Ｘ相持
page 5	禺北游擊隊衝入鴉湖車站
page 5	我機昨襲增城Ｘ陣
page 5	增從路斷
page 5	Ｘ兵赴援
page 5	歡送新兵入伍擬定辦法
page 5	我團隊在布龍公路與Ｘ激戰終夜之情形Ｘ又圖犯烏石巖但不得逞
page 5	前夜龍華混戰情形
page 5	犯烏石岩之Ｘ不逞
page 5	惠陽海面私梟賣鎢
page 5	南村鄉人被Ｘ繳械
page 5	縣政訓班內容分民財建教計政團隊
page 5	遂溪縣府查禁Ｘ貨
page 5	省立連州中學成立
page 5	饒平難民救濟計劃
page 5	中山團隊反攻侵橫門之Ｘ大尖峰芙蓉山均已克復Ｘ艦徘徊海關附近昨日之戰事仍甚烈
page 7	昨西營盤發生炮聲原來彈殼爆炸懷記打鐵店五工人受重傷石屎樓頂亦被轟穿一大孔
page 7	為之震動
page 7	至足驚人
page 7	港九水塘存水統計較去年同月增加逾倍
page 7	各大洋船定期增收貨腳
page 7	象棋名手決賽董文帶病戰盧輝苦戰半夜未終局
page 7	英準備持久戰決以全力爭取最後勝利
page 7	鄭鐵如等謁財政司請改善統制外匯辦法准各華商銀行經營外匯財政司允予以分考慮
page 8	演習日期不預通告
page 8	各區市民宜先準備
page 8	防空學員擬招一萬
page 8	九龍邊境安謐鐵絲網一部已拆去
page 8	本港物價即可復原衡物價法令昨已實施
page 8	中國婦女會之熱心
page 8	首批疏散六百餘人
page 8	港府疏散錦田難民六百餘人昨離港歸里當局各給國幣五元作旅費中國婦女會供給沿途糧食
page 8	報販商會會議擬為會員直接向報館購報
page 8	西灣河謀殺案疑犯詳臬定讞
page 8	振聯會常會紀
page 8	兩商人被截劫
page 8	捐金購債彙誌
page 8	海賊騎劫貨艇擄榜人六名掠貨物約值三千元艇主與一水手幸脫險返港報案
page 8	足球總會昨議決聯賽延期兩週即下月七日開始並通過議案多項
page 8	南遊日記卅九
page 8	測驗防空力量本月下旬再舉行防空大演習日期不預通告市民宜先準備得聞警報即須息滅戶外燈火
