page 1	美不承認瓜分波蘭
page 2	湘北我軍乘勝尾追
page 2	我便衣隊攻入湘陰
page 2	贛北日軍多被包圍
page 2	日傳蘇軍三十萬開入新疆阿富汗開始動員朱德擬訪莫斯科
page 2	晉東日軍分向四路出擾我軍連日堵擊戰況極烈
page 2	我神鷹機隊飛炸廣州結果在天河機場毀日機十餘架流花橋等處日倉庫均中彈
page 2	美在華利益為日破壞美大使館對日提出兩次抗議
page 2	日機襲渝
page 2	晉南我軍克復芮城
page 2	魯省游擊隊極為活動甚至濟南近郊亦滿佈游擊隊
page 2	太平洋學會下月在加舉行我學者專家多人參加顏惠慶博士任代表團團長代表團七人定期自華啟程
page 2	河北我軍進攻武清
page 2	日機襲衡山被我擊落一架
page 2	川黔健兒湘北施威屢戰皆捷長沙已安定我追擊部隊向汨羅江繼續挺進長沙外圍戰事不久可告一段落
page 3	美將乘歐戰時期發展海外貿易羅斯福將向國會提議增加各銀行信用放款
page 3	英各黨領袖發表時局意見一致主張拒絕非法和平繼續戰爭打倒納粹主義
page 3	佛朗哥發表談話說明西班牙國目前所處地位
page 3	蘇軍事團抵達愛京討論設防問題
page 3	波蘭內地仍在戰事波軍散據各地抵抗侵入德軍
page 3	柏克上校正患肺病在亞爾卑斯山休養
page 3	郭大使力闢謠言中國並無赤化危險
page 3	德聲明願遵守禁用毒瓦斯及細菌戰但英政府亦必須同時遵守之
page 3	日對波態度尚未決定波蘭駐日大使繼續行駛職權
page 3	日本各報向美恫嚇
page 3	對美艦隊集中夏威夷日人表示憤慨謂美國此舉等於對日武裝示威日人更慮美海軍明年封鎖日本
page 3	英羅訂定易貨辦法羅向英購買某項貨物英則向羅國購買糧食
page 3	德國慶祝侵略波蘭成功
page 3	那威船于士砵達號誤觸水雷沉沒
page 3	保王重申保持中立
page 3	蘇中日軍犯我陣地經我奮勇擊退
page 3	西線德軍準備聽候命令總攻法佔德地約有十萬英畝可作為馬奇諾防線外圍
page 3	信陽我軍向長台關挺進
page 3	希特勒和平計劃將由意轉英意首相聲言意絕不發起戰事法總理在眾院報告軍事外交
page 5	日圖趨南塱猛犯涌口門
page 5	嶺東醞釀大戰潮城近郊激戰仍烈吳奇偉召開軍事會議
page 5	我軍積極部署
page 5	容桂外圍線之我團隊第二次夜襲容奇
page 5	潮安戰事仍烈
page 5	粵北我軍出擊神岡外圍之激戰我機亦連日出動
page 5	橫門日艦艇最近之動態
page 5	吳飛夫婦親自慰問傷兵
page 5	游擊區貨物進出口限制法財廳飭稅收機關辦理
page 5	救濟南路難民勞資合作墾區計劃
page 5	戰地黨政會加強民眾組訓工作頒佈辦法三項
page 5	來粵增援將開援　安中山　部偽軍開潮汕
page 5	稅警團之戰績沿蘆西線攻克楊梅
page 5	靈山捕獲奸徒拆毀電線
page 5	東　分卡改隸龍州關
page 5	寶安戰事仍在演進中我夜攻蔡屋圍之戰績沙深寶深兩路之激戰
page 5	我軍昨夜攻蔡　圍
page 5	沙深寶深公路激戰
page 5	南海召開游擊軍事會議
page 5	粵南民眾踴躍從軍抗戰
page 5	戰時縣長任用審查辦法
page 5	日軍圖另覓途徑攻石岐前日在涌日門登陸我軍增援日軍退去
page 7	港僑自衛團趕緊編隊本月十五日開始服務
page 7	廣聯商會自行組織
page 7	雙十節兩慶祝會合併羅旭和爵士任主席團主席
page 7	兩區分團昨日會議
page 7	九龍城種植區住宅奉令拆遷
page 7	增租壓迫
page 7	限期遷出
page 7	六海盜昨伏法巡理府循例研究其死因
page 7	赤柱囚犯陳錫林被殺案初級法庭開始審訊
page 7	遠東發現德潛艇說英海軍當局謂未證實
page 7	汎美機中途折返菲島
page 7	戲院職工總會雙十贈旗籌賑
page 7	本港防空當局舉辦三防空班
page 7	兩人意外慘死
page 7	平衡物價委員會託中西商會調查物價對平衡辦法如有貢獻尤所歡迎華商會已組織小委會負責進行
page 8	跑馬地
page 8	九龍城
page 8	上水村
page 8	華差被控毆人
page 8	違犯統制物價法令案先施公司被罰一千元永安部份下星期審訊
page 8	新界難民待賑
page 8	粵地政局徵用測量人員
page 8	足球聯賽前秦聖約瑟挫海軍洋水兵新人上陣一比三敗績米軍戰南華因事中止
page 8	體協會週年陸運大會定八日開始假南華球場舉行
page 8	宵來籃球義賽戰工擊敗青職女子仿林不敵知行
page 8	南遊日記四五
page 8	公開華人水運會昨夕預賽成績今晚續舉行兩項
page 8	體協會乒乓賽今晚四場戰事
page 8	港九與新界一日內發生劫案四宗跑馬地四賊竟徒手入屋行劫九龍城雜貨店東主途中遇盜
