page 1	歐戰延長之必然性
page 2	波蘭戰事經過誇耀德軍英勇極力詆譭波軍
page 2	德蘇兩國關係政治尚非相同行動但能一致
page 2	對丹關係親善對瑞比無要求德意亦無爭執
page 2	舉行國際會議謂以和平手段修改舊有條約
page 2	法共黨官吏多被革除
page 2	史汀生大聲疾呼主張援助英法取銷危險之禁軍條款俾英法可以自由購械
page 2	英法拒絕和議英法駐意大使先後通知意國
page 2	蘇對羅聲明維持友好關係
page 2	德方宣傳擊落英法飛機先後將達百架
page 2	美洲設立中立地帶案已通告交戰國英要求美對此議決案加以解釋美國務卿赫爾對此已有所表示
page 2	希特勒返柏林準備召集國會會議
page 2	波羅的海各小國已為蘇聯掌扼向立愛國兩國又有要求列維亞勢成蘇保護國
page 2	蘇意若果參戰土國中立難保土國難願與蘇締互助協定但必不違背對英法之義務
page 2	土總理接見巴本
page 2	希特勒之和平綱目提議舉行一國際會議收回舊殖民地修改凡爾賽和約對法故示好感圖拆散英法團結
page 3	國府明令褒揚張耀曾等
page 3	軍事委員會發表一週來戰況二湘贛北面大戰繼續展開其餘各線則亦均有激戰
page 3	豫北沂陽附近發生劇戰
page 3	華北日軍積極排英
page 3	我砲兵轟擊三水日軍
page 3	蘇軍開始撤離波蘭北部銳角依　德蘇協定歸德管轄
page 3	鄂中鄂北戰局轉進膠著狀態
page 3	日外務省風潮雙方相持不下外務省職員三百餘人辭職野村謂彼等行動實屬越軌
page 3	滬偽市府對英領事道歉謂拘留英人事完全係出誤會
page 3	中日兩方又發生廣播戰
page 3	野村遺缺已由山梨繼任
page 3	蘇聯軍隊開入新疆不確
page 3	僑比波人往法加入波軍開赴前線作戰
page 3	湘北我軍乘勝長驅克平江營田黃沙街先頭部隊迫近新牆之線汨羅江線全部歸我掌握
page 5	台城方面
page 5	東江軍政之整理近訊加強自衛力量嚴行懲治貪污
page 5	東路日軍增援後在觀瀾墟展開血戰袁部壯士廿五人壯烈犧牲日機向龍崗等地大肆轟炸
page 5	新會懸屬
page 5	維持金融
page 5	聯席會議
page 5	物價昂貴
page 5	我陸空軍出擊潮安戰績兩路攻入潮城我機飛到助戰
page 5	戰事和緩並無劇戰
page 5	偽國數百續來替防
page 5	橫門日軍續調偽軍替防戰事又轉和緩日艦僅餘三艘江會戰事連日亦趨沉寂
page 5	廣州市郊牛王廟烈士祠之炸彈
page 5	雷州出口土貨已准暫免結集外匯雷州海關之公佈
page 5	韶關組設內匯審核處
page 5	廣州偽商會舉行商店復業登記
page 5	石岐市況近亦稍安
page 5	江會各線戰事沉寂
page 5	西北兩江船舶編配完竣
page 5	瓊島旅廣州灣上紳開會商賑款分配在赤坎　西營洲分設醫療所臨時提議四項送省賑大會採納
page 5	新台各地金融流通狀態商民岐視法幣風潮仍未平息物價高漲政府設法限制居奇
page 7	集中人材以利軍事
page 7	慕尼黑協定為禍根
page 7	英國強化海陸空軍
page 7	九龍城種植區平民屋須拆卸當局態度堅決居民請緩辦不准傳建築堅固者可免拆絕非事實
page 7	陳殿臣昨逝世
page 7	首飾店巨竊案捕獲疑犯一名
page 7	戰區退出教職員奉召回國服務
page 7	英大使昨抵港在港稍留即赴重慶
page 7	秋季第二次特別賽馬今日起舉行名騎師孫漱犖南來參加已有名駒數匹聽候驅策
page 7	波蘭醫生來華服中途聞德侵略祖國極悲憤
page 7	關於五英艦撤退長江港海軍當局發表聲明駐華英艦並無撤離中國海面意此次撤退純係利便軍事之調動
page 8	港九各界慶祝國慶大會已有二百餘團體參加慶祝會決假娛樂戲院舉行學界售旗運動限發旗卅萬
page 8	賑聯會決開慶祝會
page 8	港九學界售旗運動
page 8	越南來客談越南已作戰時準備越政府頒布統制金融法令旅客只准攜帶六百元出口
page 8	般含道自衛團昨開幹事會議
page 8	港軍事當局續招華籍炮兵
page 8	買鷓鴣菜有贈品
page 8	養中校防空訓練
page 8	本屆足球聯賽今日揭開戰幕東方對光華南B遇香港李國威投效光華會
page 8	南遊日記四六
page 8	公開華人水運今夕舉行決賽
page 8	青年會舉辦單車環遊新界九日截止報名十日舉行
page 8	隆源　兌　劫案警探已捕獲疑犯六名並搜獲金　一對紙幣數百元寄寓該莊之男子受嫌被扣留
