page 1	美國無意調停歐戰
page 2	湘各界發起祝捷大會並通電全國一致舉行
page 2	劉文輝抵蓉謁蔣報告西康政情
page 2	南路慰勞團由韶抵衡
page 2	我空軍飛深圳散放傳單
page 2	日機轟炸下石歧已成廢墟總理故鄉亦被日機轟炸
page 2	日寺內大將由意轉赴美國
page 2	美積極推行軍事訓練
page 2	軍事觀察家評論湘北會戰乃我軍軍略之成功
page 2	中　日報復刊
page 2	加拿大參戰軍明年四月啟程
page 2	冀中靈壽附近我軍獲一大捷獲步鎗手鎗五百餘枝
page 2	日機侵擾桂湘
page 2	前任捷克總統發表談話
page 2	英國準備鉅資購美國軍用品但須俟中立法修改案通過
page 2	在羅境內烏克蘭人得享平等待遇
page 2	渝各團體電慰湘北將士
page 2	西線德軍屢攻法軍防線戰事重心仍在薩爾省會西南英機陸續開到法境參加作戰
page 2	美航政委會定做貨船八艘
page 2	美陸軍舉行冬季大操
page 2	美邁阿密港洋面發現外國潛艇
page 2	波羅的海各國德僑準備遷回德國居住此問題大致已商治圓滿
page 2	某將軍談湘北大戰
page 2	贛北我軍克復九仙陽湘鄂我追擊部隊攻克上塔市現已越過新牆河續向北挺進
page 3	羅斯福無意出任斡旋認希特勒條件太苛
page 3	蘇土情勢變遷即可成立協定以協同保衛黑海為事傳蘇軍有集中高加索
page 3	魔術箱中之浙東市場物價一
page 3	墨索里尼發表演說未提及希氏演詞只談論三項問題
page 3	蘇對芬立兩國均有領土要求立將受屈承認受蘇保護
page 3	英皇檢閱艦隊昨日經已回京
page 3	英南會商訂新商約
page 3	意匈南三國將訂三角協定匈羅南三國關係好轉匈羅已核減邊境駐軍
page 3	美外交委會昨已休會
page 3	羅當局否認有人謀刺羅王
page 3	荷美輪船一艘被德潛艇擊沉
page 3	法共黨議員二十六名被捕
page 3	巴拿馬運河區將操燈火管制
page 3	太平　帆船橫渡太平洋經一百零八日由滬抵美經歷無限險阻始克成功
page 3	英法　發宣言聲述作戰目的希特勒懼戰事延長必再提出和平建議
page 5	日軍三面環攻石岐淪陷經過
page 5	我緊握湖洲山保衛岐關沿路
page 5	昨晨岐關路上難民異常擠迫
page 5	吳張已抵某地照常策劃軍事
page 5	三水南邊災況調查各界救濟難民記
page 5	加強滇緬公路運輸交部派章駕城赴滇視察撥款千餘萬元改善路面
page 5	日軍增援三水我日隔河炮戰
page 5	增城戰事暫趨沉寂博羅前線軍民大會游擊隊又襲擊增城
page 5	軍民大會
page 5	游擊建功
page 5	滇越路火車肇事慘劇經過因機車控制器發生障礙車內汽油焚燒死傷　人
page 5	粵北我軍克復兩龍平山犯爛柴坑日軍不逞
page 5	我軍將再反攻寶安
page 5	日機轟炸阻我追擊
page 5	廣九戰事轉趨穩定
page 5	廣九路我軍乘勝追擊越觀瀾平湖日機昨炸各地阻我前進高級長官會商攻防大計
page 5	反攻石龍克復菉蘭
page 5	日軍二千調援中山
page 5	高鶴沿岸平安
page 5	北江船舶實施管制
page 5	粵北各地急性霍亂流行
page 5	日軍三面環攻石岐被陷情況昨日岐關路尚安石岐市尚有巷戰日機昨晨向三鄉投彈
page 7	石歧失守經過
page 7	日軍傷亡重大
page 7	本港魚菜價漲
page 7	日軍掃射難民
page 7	朗吉海盜騎劫貨艇艇主機警幸獲脫險被掠貨物值百餘元
page 7	來港途中突遇賊艇
page 7	劫去貨物值百餘元
page 7	美植物學家將駕帆船南渡採集熱帶植物標本
page 7	港義勇軍將局部動員各種機械部隊均加緊演習
page 7	七團體慰問馬頭涌營孤軍
page 7	我國慶日港府定為公假各機關學校均休息
page 7	大地之花雙十節日在港公映
page 7	雙十贈旗運動各校領旗已逾三十萬僑教會將派員監視開募捐箱所得捐款逕銀行賑獻政府
page 7	西區自衛團召開街坊會議加緊出發徵求團員
page 7	中山逃港難民談石岐失陷之經過日騎兵利用飛機掩護兩路進犯一日內落彈百餘枚死鄉民甚眾我軍取得代價後退出再圖反攻
page 8	漁人食河豚夫婦中毒殞命
page 8	惠州僑商籌組惠州會館
page 8	新界的農業一
page 8	派報公會慶祝六週紀念
page 8	婦慰會募捐訊
page 8	中醫呼遇刺客兇手行兇後逃去
page 8	國醫慶祝雙十節
page 8	南南實力依然昨痛擊聖約瑟成績為六比三神腿連中三元球怪梅開二度斗文錦上添花
page 8	南遊日記四八
page 8	中華體協會主辦之週年水陸運成績甚佳千五咪自由式陳震南創全國紀錄此外水陸　各有三項破該會紀錄
page 8	水運
page 8	兩商輪在星誤觸水雷挪威輪厚夫　被炸傷已沉沒萬噸巨輪布克里康夏幸無恙
