page 1	德國第二步如何
page 2	湘省軍民合作準備保護湘北
page 2	湘鄂贛方面戰況奉新靖安激烈日軍犯祥符觀不逞鄂中全線戰事沉寂
page 2	滬工部局總秘書擬一計劃解決越界築路區問題日內可提交偽市長傳筱菴以為將來進行談判之根據
page 2	行政院會議通過抗戰人員家屬保障辦法粵省委林友松另任羅翼群繼
page 2	決議事項
page 2	任免事項
page 2	豫東偽軍紛起反正將日顧問盡行槍決日軍聞訊大為震驚
page 2	晉我軍逼近翼城南關斃日軍百餘
page 2	公務員服務法全文二
page 2	菲律濱各方漸注意華人在菲投資勢力雄厚僅次菲美商人認為顯有潛伏之危險性
page 2	比挪瑞列諸國與英進行商務談判討論如何改善商務關係北歐諸國輸入英貨增加
page 2	江鶴路我軍續向江門挺進
page 2	陸軍步兵上校來金　
page 2	白崇禧將軍談大規模反攻在準備中英法美應合作以應付遠東局面法尤應開放運輸路線供我運輸
page 3	里賓特羅甫演說企圖離間英法向蘇美故意表示好感又狡卸挑起戰爭之責
page 3	財部公布質押金類辦法
page 3	美政府極關切火石城號安全德政府答覆美國詢問對該輪蹤跡尚無所聞
page 3	德對中立國空言恫嚇
page 3	蘇芬談判又復發生障礙蘇聯向芬蘭提苛酷要求芬蘭總代表急返國請示
page 3	美國務卿赫爾否認和平謠言我無意與日停戰言和日方造謠圖安慰人心
page 3	朱家驊氏斥敵造謠
page 3	羅馬教皇欽使向德抗議謂波蘭教會被德人壓迫
page 3	德委佛朗克氏為波總督
page 3	德蘇兩國成立商約蘇聯擔任在兩個月內供給德國百萬噸糧食
page 3	十萬戰區難民移殖我國內地我在寧夏設墾荒局建立新村收容移民
page 3	我的奮鬥不合時宜納粹黨人禁賣
page 3	美上院通過中立法航務修改案仍可來往遠東交戰國貿易
page 3	德輪哈華蘭號抵墨西哥該輪在途中遇美艦升荷蘭旗以為掩飾
page 3	美艦來　夏威夷絕不宣佈日期
page 3	西線無大戰事
page 3	英屬干耶德奧人請願投效
page 3	德潛艇炸英輪禁止美輪救護手段如此殘暴惹起美人憤激
page 3	女明星巴治女士抵滬謀與其夫婿會面
page 3	廣州偽商會開會我軍化裝衝入擊斃日指導員
page 3	意前首相發表政見意不助德作戰德意軸心關係今已不復存在意難久持中立必將參加英法
page 5	徵集志願兵之辦法
page 5	桂學生軍開抵廉江
page 5	日機日艦最近窺擾
page 5	省陳利源電船前日被劫擄去搭客多人陳村附近荊棘載途最近因此發生米荒
page 5	粵閩邊區匪患肅清梁副指揮對本報記者談
page 5	公務員役空襲損害省府訂定救濟辦法
page 5	發給醫藥埋殮費用
page 5	財物損失救濟辦法
page 5	教職員亦同等待遇
page 5	容桂偽軍劫擄耕牛勒贖農民組團自衛
page 5	瓊島我軍連克和舖塔市
page 5	省振會撥款賑卹抗戰鄉民
page 5	日機又襲粵北在清遠投彈
page 5	投誠日軍官離韶赴桂
page 5	新會各界加緊徵募寒衣
page 5	夜去明來之深圳等地日軍我軍炮擊田下日車廠黃背嶺鄉被焚之慘況
page 5	務使日軍疲於應付
page 5	民眾均具愛國思想
page 5	目　該鄉火熱燎原
page 5	新會縣府振濟八區難民
page 5	粵振會增設第二童教養院地址在連縣
page 5	逃兵回籍勒送回營保甲長應負責
page 5	利便人民出洋與歸國東江設交通站網續誌打通港嘉交通線為僑胞服務各站除食宿費外均不收分文
page 5	粵南加強抗戰力量各縣募志願兵續詳訂有優待辦法多項日機續炸桂省各地
page 7	旅港中山同鄉組急賑會救濟桑梓救濟金額定國幣二十萬昨日已募得八萬五千元
page 7	中央派員趕辦急賑
page 7	英賑難會撥助賑款
page 7	郭泉謁華民司請緩拆流浮山難民寮留居該地之海陸豐難民昨又向旅港同鄉會呼籲
page 7	佛山輪遇險後金山輪將替航省港佛山輪受作過重未能開行搭客述英艦水兵救人情形
page 7	輪擱沙灘加緊修理
page 7	英艦水兵勇於救人
page 7	西婦談述遇險經過
page 7	英政府尊重泰國中立
page 7	王孝英已返港
page 7	陽光節省法案今日提交立法局討論海陸軍當局及體育界極力擁護西商會認無補於事表示不同意
page 8	隆源金山庄劫案初審店主之姪被控犯串劫罪
page 8	反對徵所得稅商會呈文脫稿
page 8	林馬坑礦場管工被控誤殺華籍工人高級法庭昨開始審訊王控律師述慘案經過
page 8	英賑華會工作報告
page 8	青年服務團招新團員補充
page 8	小童墮海獲救
page 8	乘腳踏車環遊世界三個印度青年抵港
page 8	留營難民統計較前週減少廿餘人
page 8	星戲劇巨商邵仁枚今返港
page 8	及格防空人員又增六十餘人
page 8	婦女兵災會捐助各方藥物
page 8	勒馬洲寮博村三住戶昨被劫八強盜均以布幪面
page 8	兩賊截劫老翁
page 8	昨晚公開籃球賽南華華星島均獲勝藍膺棄權培英白得兩分
page 8	學界籃球戰績聯會今召開緊急會議
page 8	美國女子球隊日內過滬赴菲但過滬時並不登岸
page 8	中英交界海面日　又開槍掃射漁船一蛋女中彈受傷昨送港救治
