page 1	巴爾幹之外交鬥爭
page 2	晉我軍克三猴繼續進擊蒲縣午城薛莊大小澤日軍蠢動受我挫
page 2	魯　我日展開激戰斃日軍一百廿餘人
page 2	新開路我軍前進石龍日偽軍出擾被擊潰
page 2	贛北我軍繼續進攻武寧湘北我軍向日猛攻白螺磯日軍被擊退
page 2	越界築路區又發生暴徒槍擊巡捕巡捕　槍擊傷暴徒一人
page 2	閻錫山將軍談國外國內情勢二與目前我們工作方針
page 2	日軍犯中牟被我擊退
page 2	夜襲榆次我軍獲勝
page 2	皖主席寥磊病逝遺囑復興中國達到最後勝利
page 2	廖氏遺囑
page 2	日艦在北海截搜蘇州號輪
page 2	滬杭路日兵車遭我二欠炸毀機車車廂完全粉碎死傷日官兵百餘人
page 2	包頭日軍向我進犯不逞
page 2	任命吳恢量為監察院監察委員
page 2	日軍厭戰心理日增在日軍遺屍搜獲文件更足佐證
page 2	寧夏臨參會議員名單
page 2	西南行營防止仇貨內運
page 2	德潛艇一艘被法海軍擊沉
page 2	美日會談下週開始料必係關於中國問題日向美表示準備與中國言和日軍不全撤退決無和平可能
page 3	滿洲肉食蔬菜經蘇運往德國
page 3	德袖珍艦逃脫英艦封鎖英海軍藉飛機為助以找尋該德艦行蹤
page 3	芬蘭秘密會議研究蘇聯提案
page 3	德軍否認集中北海海岸
page 3	對違禁貨品理由蘇向英提抗議
page 3	蘇德商約談判將可結束德蘇協定結果充實德國糧食
page 3	羅南兩國首相邊界會商羅相在京又接見駐土希保南大使
page 3	德國空軍準備大舉進攻英國同時加緊施行潛艇政策進攻英國之艦隊及商船
page 3	德報極力攻擊比國
page 3	德國西線砲火較烈法軍已有準備應付德軍總攻
page 3	羅馬教皇發出首次諭告攻擊獲裁主義政治遵依前代教皇遺策
page 3	蘇報否認蘇軍侵入羅境
page 3	在美華籍醫生被控拐擄已被警察逮捕
page 3	澳洲賣給英國大批糧食
page 3	英國欲恢復外交談判以解決天津問題
page 3	蘇將火石城號移交德國
page 3	法意兩國成立協定將共同組一委員會調整兩國經濟事務
page 3	滇瀘西縣民變產輸將縣府傳諭嘉獎
page 3	上海法界又發生兩命案一為滬偽市府顧問一係復旦大學教授
page 3	美上議院通過中立法修正案全文美今後可向交戰國賣軍火此案將即提案交下議院覆議
page 5	日軍千餘增到睦洲
page 5	古井瀧水又告緊張
page 5	中山當局加緊戒備
page 5	江會偽軍大部改編江門偽警反正後近亦迫使其聯保
page 5	淪陷區內殃及池魚趣聞
page 5	順德我游擊隊夜襲沙頭糖廠之收穫日偽軍向大良退卻我隊俘獲偽軍二名
page 5	西江戰事仍烈我進迫三水城
page 5	省府奠定金融辦法經部核准昨令各縣遵照
page 5	香翰屏調解紅白旗械鬥潮
page 5	各種新建設事業禁止宣傳
page 5	中央派員來粵攷取機工
page 5	西南行營游擊訓練招生
page 5	日軍迭犯中山各鄉災情調查中以二區受災較慘
page 5	中山征集軍校特班學員派員在港澳舉辦登記
page 5	軍風紀巡察團抵西江
page 5	徐聞墾場恢復
page 5	東寶戰事膠著郎擎天部偽軍向我輸誠石龍仍被包圍日軍迭遭襲擊寶大路我軍襲大涌衝入南頭
page 5	郎擎天部偽軍反正
page 5	石龍仍被我軍包圍
page 5	鎮內日軍迭被襲擊
page 5	寶太線我軍襲南頭
page 5	日軍連日向新開新鶴兩路窺擾前晚又突向睦洲增兵古井瀧水一帶緊張中山方面加緊戒備
page 7	流浮山難民寮政府不准緩拆
page 7	全港青年獻劍會昨會議
page 7	醫務署決擴大預防痘症運動去年患痘症死者千八百餘人現痘症漸流行市民宜速種痘
page 7	去年痘症死人甚多
page 7	拍發金融電報之手續須預送財政副監檢查以免延誤
page 7	防痘運動擴大進行
page 7	我國留美影星李應時將抵港
page 7	七賊截劫貨艇
page 7	強盜夜劫木屋寡婦被毆並損失百餘元
page 7	捐金購債彙誌
page 7	下月一日起決停用舊鎳幣現流行市面者僅餘廿餘萬元停用後仍可向匯豐行換新幣
page 7	粵徵募寒衣會約港名伶赴韶參加游藝大會籌款
page 7	海軍義勇隊並非全體動員
page 7	華籍防空員二千人已畢業
page 7	省立文理學院在港招生揭曉
page 7	華商總會不贊同更改標準時刻認一旦實行工商業將多感不便且未必能減少電力煤炭之消耗
page 8	紅丸館主殺媳案昨續審證人劉雲泉袒護被告被扣留紅丸館助理人葉均入獄九月
page 8	義風慈善社募得大批棉衣
page 8	新運青年團籲請各界捐助
page 8	英帝航機脫班
page 8	港政府新委任
page 8	國民大學學生會發展平民教育
page 8	和平紀念日提前一天賣花
page 8	廠商聯合會昨開懇親大會主席棄蘭泉報告會務
page 8	演詞如下
page 8	對外發展
page 8	本會會務
page 8	節食捐薪
page 8	甲組聯賽東方擺新陣迎戰洋水兵江善敬來效力竟成任左輔英權守中路質彬瓜代勇森
page 8	光華勝香港三球
page 8	南華南輕取乃弟
page 8	埠際小型球賽港軍淨勝澳隊四球前線三將先後立功
page 8	體協會主辦兩項球賽成績籃球
page 8	糧食統制專員規定零售食品最高價格商人售價超過定額者將予重罰
