page 1	意大利動向漸明朗化
page 2	聞喜西南戰事復趨緊張鄉寧以東我軍分路掃蕩我軍繼續向黑龍關進攻
page 2	德安日軍被擊死傷甚多
page 2	虹口英人住宅突破日兵搜查
page 2	我軍繼續前進追擊貴池日軍
page 2	鄂南我軍克大畈西坑塘湘北新牆河我軍活躍突擊桃林魚潭又獲捷
page 2	法國東北　一德機被擊落
page 2	印度獨立問題必須獲得承認
page 2	德潛艇有三艘被擊沉
page 2	菲島零沽商業改革案將會提出討論各領袖贊成容許華人繼續維持其菲島商業
page 2	中華日報昨日社論或係宣傳手段冀傅得國人對汪好感
page 2	日借日蘇商約談判對美施行威脅以求挽救日美商約頹勢日美商約談判未有舉行
page 2	法共黨議員要求釋出無效
page 2	各　駐軍維持租界治安
page 2	重光　英外次會談天津問題
page 2	阿根廷優待英法入口貨物並勸國內工業家向英法購買貨物
page 2	英德發生空戰擊落德機七架
page 2	納粹黨領袖夫人相繼離國
page 2	歐亞公司增闢貴陽航線
page 2	三晝兩夜血戰犯蘆苞日軍受創甚重粵路南段日軍結集萬人四出竄擾傳白崇禧令放棄南寧退守新陣地
page 3	對英新封鎖政策德謂將施報復垢言加堅施行水雷政策英法輪艦三艘觸雷沉沒
page 3	修正合作社法公布三
page 3	意最高法西斯委員會將開重要會議決定如何維持中立步驟
page 3	達他拉士古奉令組織羅新內閣強化羅國之中立政策勢將拒絕德國之要求
page 3	西線聯軍陣地頻發警報德機擬攝聯軍陣地為英國高射砲擊退
page 3	駐英美大使奉召回國與國務部有所商議
page 3	美天主教總會發表感恩宣言頌揚教皇及羅斯福勉勵教徒致力和平
page 3	英駐日使館聲明德在英東岸佈設水雷各國船隻損失應由德負責
page 3	蘇　煤油不多供給於日有限
page 3	荷將在幾內亞建築大飛機場
page 3	傳圓瑛法師業已脫險
page 3	菲律濱嘉皮斯省風災
page 3	英大使館否認加籐寇爾會談
page 3	希特勒在總理府召開重要會議有軍事高級長官一百人參加希特勒作極重要之秘密宣告
page 5	進犯高鶴牽制桂軍
page 5	江會日軍節節再退
page 5	中山沿海發生颶風
page 5	侵入欽防日軍繼續北窺粵桂邊境血戰續訊桂邊我軍擊潰日軍日軍增援繼進犯當局電告北海尚安
page 5	容桂公路日偽車中伏死亡數十人日偽軍圖夜襲我團隊中伏被擊死傷三十餘
page 5	容桂各地米荒日趨嚴重容桂偽商會會議救濟
page 5	水日軍北犯蘆西路之劇戰情形日圖斷我西北江聯絡我軍迎擊在南邊劇戰
page 5	旅緬華僑熱烈捐款購機學界繼續捐款
page 5	李漢魂派員前赴贛閩湘桂考察建設事業之借鏡
page 5	文昌我軍擊落日機一架
page 5	本報記者親赴南頭調查日軍北犯敗後情形日警備隊長被我擊斃偽靖國軍改編特務隊
page 5	日軍對其隊長誌哀
page 5	偽軍改編滋擾西鄉
page 5	日軍南犯中突向九江增兵楊言犯高明圖牽制廣西兵力江會各線日軍亦調往江佛路據軍方觀測日此舉係虛張聲勢
page 7	反對蓄婢會將開同人大會
page 7	中教電協會港分會將成立
page 7	聖保羅遊藝會今晚七時開幕
page 7	些路頓任政府大律師
page 7	顧子仁促各國學界擴大援華運動日間乘輪出國致力救國宣傳並參加世界基督教學生大會
page 7	汎美機昨離港
page 7	學賑會今會議
page 7	騎樓倒塌傷人
page 7	九洲島海面漁船一艘遇風沉沒五漁人遇濠江輪獲救財物損失值五六千元
page 7	蕙農個人畫展今日在商會圖書館開幕
page 7	印警亞捷星強姦婦人疑案押候下星期三再審
page 7	雙美卿輪獲救由法輪拖赴海防
page 7	馬蒂德輪乘客打撈沉海財寶
page 7	糧食統制專員調查向英購運糧食數量英政府已宣佈限制糧食出口本港商人購辦須預領許可證
page 8	廣東文物展覽會籌備已有端倪主任委員葉恭綽撰文徵募品物定來春二月在平山圖　館開幕
page 8	澳洲航運增特別費香港澳洲貨載公會之通告
page 8	虎戲團義演為前線將士籌募棉衣
page 8	今日甲組足球賽南南巧逢九龍冤家一旦聚首劇戰難免光華新陣迎擊米軍
page 8	港滬菲越埠際足球賽的透視上
page 8	開場白
page 8	重慶衛戍司令部破獲假冒紅會偷運商品案扣留汽車六輛捕獲疑犯多名王正廷等電請當局從嚴究辦
