page 1	蘇芬戰爭感言
page 2	日機夜襲蘭州分五批肆虐投彈二百枚市民死傷卅餘燬屋多間
page 2	吳佩孚拒絕與汪合作吳謂汪可稱搗亂份子
page 2	葉楚傖等正式視事
page 2	南寧失陷後影響香港商務
page 2	長江海盜行劫英輪與船上衛兵激戰有海盜數名被擒
page 2	佛教訪問團日記三
page 2	法眾院通過授政府特權案
page 2	租界兩華捕交偽地方法院
page 2	傳英倘實行封鎖德貨日或截留英國之輪船但倫敦官方絕對不信此說
page 2	英德空軍發生激戰
page 2	德方宣傳殊屬荒謬北海及大西洋德海軍難控制
page 2	英各殖民地報紙俱受檢查麥唐納在眾議院報告
page 2	芬蘭貨幣價格大跌
page 2	西線法諜查隊活動如常
page 2	柏林警察扣留英籍婦女
page 2	留阿華籍船員判由日輪載運美聯社三十日倍諾哀里斯
page 2	荷蘭抗議聯軍防線計劃
page 2	粵北日軍又向我猛犯南寧東北郊發生激戰邕武路高峰方面戰況無變化
page 3	蘇聯海陸空軍三路侵入芬蘭
page 3	開戰以來德國經濟情形確受嚴重打擊但尚未崩壞糧食未成問題煤油極缺乏
page 3	各項糧食
page 3	輸入之鐵
page 3	德國煤油
page 3	出產之銅
page 3	意國今成
page 3	芬蘭利用優越條件強化國防組織芬蘭之地理得天獨厚
page 3	蘇機五次轟炸芬京發生大火
page 3	德對波羅的海諸國經已決心犧牲籍以獲取蘇聯之援助
page 3	羅斯福致盡加里寧請勿濫施轟炸望蘇政府有切　聲明
page 3	北歐各國同情芬蘭
page 3	英意等國對蘇不同
page 3	倫敦各報痛擊蘇聯
page 3	德潛艇一艘被法軍艦擊沉
page 3	在蘇聯武力威脅下芬蘭新政府產生將與蘇成立休戰臨時辦法再進一步與蘇聯恢復談判
page 5	日圖進犯中之東興地勢
page 5	龍頭坪爭奪戰甚為劇烈
page 5	寶安各地日偽軍最近之擾民舉動南頭煙賭場增加因爭利時有衝突
page 5	沙頭角日軍之動態
page 5	南頭日偽最近動態
page 5	粵南各縣積極備戰情形
page 5	劉發愚部團隊襲大南沙與偽軍激戰偽軍隊長之傷斃
page 5	澄海偽軍情形服裝不整半無槍械南澳日偽大捕鄉民
page 5	日艦兩艘駛至中山
page 5	日圖藉武力抽中山禾捐我農民聯合團隊擊退日艇容桂方面日偽軍突有增加
page 5	各縣征收處將改組稅務局
page 5	海味土紙土糖捐稅分別征免
page 5	粵外匯管理處即可成立部派詹信善為主任
page 5	西江傷亡日軍源源運返佛山
page 5	江會各線最近戰況
page 5	容桂方面偽增加軍
page 5	厲行二期戰時審計工作抽查人員抵南路
page 5	北江日軍增援粵路南段戰事仍烈擾國泰日軍遭痛擊我軍衝破獅嶺日陣
page 5	中山振會議決擴大賑務工作
page 5	新會將士紀念碑議決興工建築工程費國幣二千四百元
page 5	南犯日軍侵佔　尾島續犯江平圖遮斷我交通經我軍迎頭痛擊不逞而退日艦窺擾各地形勢益緊張南路各縣積極備戰之措施
page 7	李德鄰將軍夫人為傷兵難民徵募衣藥昨電本港各僑團呼籲
page 7	海盜截劫貨艇鎗傷榜人一名
page 7	新界英軍輪迴操演
page 7	本港英軍輪迴大演習昨日起在新界舉行
page 7	鶴山邑僑再返鄉辦平糶
page 7	新界昨又發生兩劫案大澳村一小童拒賊被斫斃
page 7	義軍演習移營本港
page 7	計程汽車已准增費今晨憲報可正式公佈
page 7	戲院職工總會一週紀念盛況
page 7	英艦遺失炸彈
page 7	中醫藥聯會設九龍贈醫所
page 7	中山青年會慰勞團今出發
page 7	鄭壽仁否認財部在港開金融會議滬銀行界來港參加說更不確我國財政計劃完善絕未變更
page 8	就近採購多被截留
page 8	變更計劃來港購辦
page 8	中振會撥助東寶防軍藥物
page 8	食河豚兄弟三人中毒一已死餘送醫院救治
page 8	今日賽馬蠡測
page 8	北大同學今聚餐
page 8	慈航畫展第一日
page 8	教部舉辦抗建論文賽專科以上學校學生均可參加分五等給獎甲等獎金五百元
page 8	今日甲組聯賽兩華隊迎外旅光華遇九龍有劇鬥南南戰香港取勝易
page 8	國際杯足球賽參加者現已有五隊本月十七日將先行開賽一場
page 8	兩足球員昨被判罰停賽本季內不得復出
page 8	籌募寒衣共勷善舉今夕兩場籃球義賽首場記者對南女採用女子例次場港星對培英採用男子例
page 8	友誼球賽簡報
page 8	學籃賽昨無戰事
page 8	華北日軍大鬧米荒連日在港大量購辦北上輪船滿載米石艙無空隙
