page 1	變化中之芬蘭
page 2	晉南日軍猛犯中條山
page 2	鄂南我軍向崇陽挺進
page 2	我在龍塘東北圍殲日軍西樵官山一帶備受日偽蹂躪
page 2	各省禁種督察團人選派定
page 2	顧維鈞等赴日內瓦
page 2	賀耀祖飛入蘇境
page 2	偽汴警備司令遇剌斃命
page 2	粵東漢奸緝獲正法
page 2	蔣委長自用機並未到港迎接醫生之說所傳亦屬不確
page 2	從湘北前線歸來五
page 2	希英麥等輪又被炸沉
page 2	駐倫敦美大使飛返紐約將作重要報告
page 2	對國聯大會我方態度不提中日戰爭問題不願參預蘇芬爭執
page 2	渝各界籌備歡迎緬訪華團
page 2	滬偽警恫嚇居民繳稅
page 2	英對津白銀態度維持原定原則
page 2	桂省府制定戰時政教辦法
page 2	日美會談經過美方未有批評傳日美將成立臨時諒解是否有變視日行動而定
page 2	中山縣黨部書記長林卓夫受嘉獎
page 2	西線德軍進攻六個據點但均被法軍擊退
page 2	美海軍被日憲兵毆辱
page 2	邕武路日軍被我擊退晉南日軍猛犯中條山鄂南我軍收復蕭家灣堰市兩地
page 3	加里利亞大雪蘇軍作戰困難柏三姆港蘇軍艦派隊登陸芬空軍又炸蘇空軍根據地
page 3	毒化下之南京已成一大煙窟全城居民三分之二染有毒癖維政府藉煙稅收入維持政費
page 3	芬蘭獨立紀念芬京舉行慶祝
page 3	芬蘭傀儡政府被炸迫得遷移
page 3	蘇軍方面否認蘇機被炸毀說
page 3	英意美三國以軍用品助芬意已運機五十架往芬英亦助芬大批軍用品
page 3	德潛艇計劃被英海軍擊破英海相邱吉爾之報告
page 3	德機在泰晤土河口投下水雷被英空軍逐去
page 3	紐約德領館秘書突然斃命
page 3	羅斯福與台維斯等籌劃援助芬蘭或供給以美國過剩糧食
page 3	英下院將舉行秘密會議會場窗口門戶俱密封旁聽席禁絕外界參加
page 3	英否認不截留運日德貨謂所傳實不確
page 3	瑞典內閣行將改組
page 3	英皇在前線賜見英軍並檢閱軍隊
page 3	兩波蘭潛艇逃出波羅的海
page 3	美出口銀行否認將貸鉅款於中國之說實則非經數個月後不能實現
page 3	德對中立國進行挑撥
page 3	蘇公開威脅巴爾幹傳蘇軍將攻土耳其蘇匈邊界防軍發生衝突北歐三國會議昨日舉行
page 5	開始劃一中新指揮
page 5	日機仍向新會窺擾
page 5	夜襲睦洲奪回虎山
page 5	禺南我團隊襲擊沙灣日營偽軍擾犯沙所不逞
page 5	日軍犯蘆苞遭創謀報復三水城北激戰
page 5	區專員易人訊古鼎華將調任軍職短期內即可發表
page 5	鄰近戰地之交通線運輸工具牲畜應遠後移後移地點辦法由當地政府計劃情況緊急時得盡量焚燬及宰殺第四戰區公佈辦法
page 5	協助民間秘密移運
page 5	不遵令者強制執行
page 5	奉行不力者即嚴處
page 5	移運後寄飼代飼法
page 5	省府籌備發行元旦特刊
page 5	順屬游擊隊襲擊日偽偽靖國軍被日軍繳械
page 5	日機擊韶犁市
page 5	日艦昨又在三門關肆虐民船一艘遭擊沉
page 5	廣西戰局已趨穩定八塘三塘混戰理挫日軍欽防游擊戰之收穫
page 5	我便衣隊分頭活動
page 5	欽防游擊戰事甚烈
page 5	三塘附近激戰甚烈
page 5	反攻八塘初次大捷
page 5	戰區各省准發省鈔補充法幣流通
page 5	三灶日軍擾犯大小淋島
page 5	物品進口稅財部令准減征
page 5	中新抗戰軍事實行劃一指揮吳飛已接任一區司令昨晨日機五架飛江會各線窺擾我軍前夜反攻睦洲將虎山奪回
page 7	總督稱讚退位議員
page 7	所提各案均獲通過
page 7	婦女會籌備舉行餐舞
page 7	王正廷杜月笙等昨電唁吳佩孚家屬
page 7	陳維周電白崇禧闢謠
page 7	圖用偽幣疑案押候今日審訊
page 7	記者公會遷址
page 7	婦人被搶耳環
page 7	僑團經收捐款須速繳匯中央託詞延辦結束者中央將嚴予查究
page 7	香港攝影會舉行攝影展覽展覽品悉為名家傑作
page 7	灣仔進教圍三賊藉名租屋行劫賊先一日租屋交下定銀昨晨假扮遷居突起劫掠
page 7	立法局昨開常會議員周俊年任滿告退港督羅富國贊許退位議員明年預算案通過二三讀會
page 8	婦女會募捐棉衣成績
page 8	去週內車輛失事統計
page 8	嶺大同學舉行同學月會
page 8	飛剪特別航期運寄聖誕禮物
page 8	方言工會響應募捐寒衣
page 8	中青救護團電告開抵石岐
page 8	日人兜售法幣海外部請僑團勿受騙如需要法幣可向中國銀行兌換
page 8	跳車受傷斃命
page 8	救濟桑梓會響應募捐棉衣
page 8	駱清華視察茶區歸來
page 8	聯青社聲明未贊成所得稅
page 8	謀殺苦力案昨日繼續審訊
page 8	生活合唱團續辦民眾歌詠班
page 8	巴拿馬船公司派輪行走太平洋航線與總統輪舉辦貨客聯運
page 8	廠商聯會昨開理事例會
page 8	柴價無法平復
page 8	銷債成績報告
page 8	聖公會慈善賣物
page 8	九龍關公署佈告
page 8	公開排籃球決賽明日分別舉行協會主席莫慶主持頒獎典禮
page 8	體育界服役團發售救國年咭
page 8	公開單人乒乓賽最近成績一覽
page 8	友誼小型球賽記者隊連戰皆捷
page 8	南南左翼羅斗文返港尚未有期
page 8	銀行業餘聯誼會主辦兩項球賽歡迎同業參加
page 8	學籃賽頒獎禮定十三日舉行
page 8	秘魯禁華僑入境本港僑商表示憤激華商總會等團體電請中央交涉
