page 1	國聯將開除蘇俄會籍
page 2	岳陽日軍在我包圍中我猛攻通城羊樓洞渡過修水進攻武寧
page 2	鄂中我軍分數路出擊重要地區多經克復隨縣日軍已為震懼
page 2	贛北我軍進展極順利一部一度攻入南昌將日營房倉庫焚燬
page 2	贛高安縣被災情況
page 2	日蘇訂立商約難償日美商約之失敗日不能由蘇購買棉花蘇女子又不購日絲襪
page 2	教部著手編著大學用書稿費約每千字十元
page 2	兩華籍巡捕案今日提審
page 2	蘇輪一艘失事七百餘人失蹤
page 2	滬聯婦俱樂部主席茅麗瑛遭暗殺疑與政治有關
page 2	馬騰霄毀家紓難慨將房屋出賣充作寒衣捐款
page 2	陳誠將軍昨歡宴法大使
page 2	汪派份子已允不再破壞法幣中華日報無異自供狀
page 2	國聯代表大會一致通過驅逐蘇聯援助芬蘭案當投票時有十二國未肯充分贊成改選行政院委員中國有被選希望
page 2	芬軍砲台發砲助戰
page 2	蘇芬兩軍傷亡比較
page 2	蘇軍攻陷摩沙里島
page 2	北海上空英德空軍激戰兩德機被擊傷
page 2	某連日班長英勇戰績編入忠勇事以勵氣士
page 2	緬訪華團謁林主席定期在渝播音
page 2	在最高統　部計劃下各線我軍出擊均獲勝北自中條山南至欽州我均反攻大規模軍事行動係總反攻序幕
page 3	南太平洋英德海戰中之兩艦上英巡洋艦亞治利斯號下德抽珍艦雪耳提督號
page 3	英艦忒斯打號受傷退出戰線
page 3	德袖珍艦不敵逃入中立海港
page 3	芬軍反攻順利越過蘇聯邊界芬蘭中部日內將有決戰東線芬軍反攻克復沙拉
page 3	瑞典新閣發表政策宣言維持獨立及中立地位又願與北歐諸國合作
page 3	新任駐意蘇大使突然回國國書尚未呈遞即已奉令召回
page 3	英上院兩議員主張和平談判英外相對之反駁謂現時難望和平
page 3	德國私人工業投資開戰以後大增因德政府已放棄統制政策私人資本得自由興辦工業
page 3	聯軍對德出口貨封鎖寬懈係對中立國一種讓步但將來執行必漸嚴緊
page 3	英國武裝護航行之甚有成效近來有數百艘輪船安然出入英國口岸
page 3	蘇傳英法土協定內含秘密條款預備在土組織一反蘇軍包括英法土等各國軍隊
page 3	英空軍專機運輸入血以供接血療者所需前方受傷者多需要
page 3	羅馬教皇痛心戰爭身體健康亦受困難
page 3	英德海軍發生空前劇戰英巡艦一艘被擊傷德袖珍艦已被圍困
page 5	日機散荒謬傳單圖恐嚇
page 5	孫甄陶勗勉南路各黨員
page 5	桂省嚴密檢查入境商旅
page 5	我軍猛襲欽城克復牛崗
page 5	中山縣府嚴禁糧食出口
page 5	十一月份粵省空襲統計
page 5	李福林奉委為第八軍軍長
page 5	法幣兌換銅圓財部規定標準
page 5	我軍對江會各線仍持消耗戰略襲擊日偽昨日艦炮轟小欖並在小黃圃登陸北街空集日艦十餘艘其企圖未明我一度猛攻睦洲之詳情
page 5	江會方面僅有夜戰
page 5	江會睦洲被我控制
page 5	日淺水艦砲轟小欖
page 5	日偽百餘犯小黃圃
page 5	犯順德日軍竄擾紫坭被殲
page 5	侵桂日軍受阻後又圖犯廉江情勢甚緊張我步步設防日未易得逞平銀渡我軍一度克欽城桂省嚴密檢查入桂商旅
page 7	貨船被劫
page 7	發售賊物
page 7	圍捕賊黨
page 7	搜查私寨
page 7	起回贓物
page 7	我駐星領事募金救濟沙丹拿輪難胞成年人每名廿元小童五元
page 7	六人被控
page 7	華僑互助社組獲僑隊保護潮　各縣僑胞來港出洋
page 7	何東爵士借給英國戰費總取英金一萬鎊
page 7	王正廷昨赴菲
page 7	中賑會撥款振濟中山難民
page 7	馬彩糾紛案定期正式宣判
page 7	英振華募捐會今日招待各界
page 7	家藏巨金向人行乞被控
page 7	立法局昨會議通過修正迫遷條例案
page 7	按揭糾紛案押候明年續審
page 7	永安公司逃伴蘇寶鎏被判入獄三月
page 7	水師警署探員在長洲破獲海賊案賊黨所劫貨物盡在長洲發售警探捕疑賊六人及起回贓物
page 8	藥行商會昨開理事會議
page 8	華僑國語社響　募捐棉衣
page 8	聯青社昨日聚餐
page 8	贈飲愛蘭止咳露
page 8	港九工界團體戰時慰勞會昨開會議議決籌募慰勞款項辦法
page 8	黃文山昨晚演講
page 8	埠際小組委會選出理想赴滬選手內有三人為陸軍球員惟全部陣容暫守秘密
page 8	國際杯足球初賽中華陣容略有變更李國威足傷未愈決難上陣後衛一職將由麥兆漢接充
page 8	中華電力公司溢利百餘萬元每股派息五毫
page 8	羅文錦廣播勸商人勿操縱物價
page 8	慈善賣物會今日開幕全場物品多為婦慰會同人製作游藝組秩序則由名媛小姐擔任
