page 1	國際之三大戰爭
page 2	鄂中我軍續有斬獲湘北我軍衝入岳陽車站
page 2	南路戰事我有進展突破崑崙關繼收復九塘
page 2	軍委會發表一週來戰況十二月六日至十二日
page 2	桂粵閩方面
page 2	晉豫方面
page 2	鄂洲贛方面
page 2	皖南我軍續有進展已迫近大通
page 2	珠江河封鎖只係外輪日輪照常來往
page 2	豫東我軍突入開封攻克羅王車站斬殺甚眾
page 2	北平偽警與民眾發生衝突
page 2	贛各路我軍均有進展迫近南昌包圍祥符觀收復樂化圍攻慈姑斃日五百餘北渡錦江我軍兩路夾擊克大城
page 3	紅軍聲譽大受打擊
page 3	德國對蘇已起疑問
page 3	希爾辛科氣象肅殺
page 3	德國窺伺瑞典鐵礦
page 3	加籐乘車南下
page 3	不願困守烏港德艦自動炸沉隆然兩聲全艦著火下沉全體艦員早已遷過德輪
page 3	美倡議在道義上杯葛蘇日兩國將來禁運往該兩國貨物除鉛鋅外有主並禁煤油
page 3	愛沙尼亞輪一艘被德艦所截留
page 3	日傳蘇準備締結長期漁業協定
page 3	中法商議建築川滇鐵路交部與法銀行團將簽合約借款總額四萬萬餘萬佛郎
page 3	德巡邏兵襲擊法軍前哨被法軍發砲擊退
page 3	英日並未成立天津問題協定
page 3	日宣佈準備開放長江下游係由上海至南京一段水路料謀與美國續訂商約有關
page 3	豫偽救國軍第三師全部攜械反正
page 3	滬兩租界搶米風潮仍熾
page 3	偽中央政府又再展期成立
page 3	滬生活費奇昂今且續增不已各項物價較三年前增加一倍或至兩倍
page 3	德人一百零七名在土被解出境因為間諜嫌疑
page 3	德巡洋艦一艘被英潛艇擊沉
page 3	蘇　河以北區域　用日軍用票由明年一月起不准行使法幣
page 3	粵明年試行新縣制度
page 3	漢奸梅忠平自絕家庭母不以為子女不以為父
page 3	刺蟻案確為日偽主動各犯直認不諱
page 3	兩華籍巡捕已獲釋放
page 3	隆然兩聲全艦沉沒
page 3	德艦艦長　攀電掣
page 3	無法衝破聯軍封鎖
page 3	德艦其初尚忙修理
page 3	該艦沉沒阻礙航行
page 3	德輪船主已被扣留
page 3	英德艦員各有死傷
page 3	英報一致表示慶祝
page 3	羅斯福對此極關心
page 3	蘇軍在重炮掩護下猛攻曼那漢線屢進屢退蘇軍死亡三千以上北方之蘇軍連日無重要進展
page 5	平銀江兩岸炮戰極劇烈
page 5	桂日軍被圍又圖犯靈山
page 5	廉江安舖最近實情訪問
page 5	東莞偽軍擴編後廣九路之戰事形勢不久將有大戰發生我軍現已加緊準備
page 5	日機擾犯大黃圃中山九區沿岸安謐狗窿沙被日機發槍掃射鄉民死傷數人大黃圃略緊張
page 5	順德日軍宣佈在容良兩地抽壯丁四千加緊統制糧食順德米價狂漲
page 5	四邑各縣積極根絕日貨遵令組織根絕會
page 5	行走澳門三埠輪渡又被日機轟炸渡身傷數處搭客無恙
page 5	西樵碧雲村慘遭浩劫匪圖劫不遂竟瞞引日軍報復大施轟炸全村焦土死傷滿地
page 5	碧雲村在西樵山頂
page 5	匪劫不遂虛報日軍
page 5	陸空再攻慘劇發生
page 5	日軍夜襲遭創逃遁
page 5	南海偽軍李道軒部勒交糧食焚掠各鄉甘三珠部攻太平偽軍擊斃偽中隊長
page 5	非常時期銀錢業經營規則粵省府訂定會議通過
page 5	二區游擊隊在粵漢路建功計燬日軍車一輛
page 5	三埠米商集資購米
page 5	惠陽設會評定物價
page 5	新會各界加緊宣傳作戰
page 5	某集團軍總司令蔡廷鍇即來粵南指揮軍事現已派員接收所轄各部隊廉江陸川鬱林情勢仍
page 7	中央貨倉落成港府公物集中貯存
page 7	工業合作協會織造毛毯運動
page 7	白晝防空演習兩月內再舉行是次成績頗為滿意但通訊工肯須改良
page 7	通訊工具極感缺乏
page 7	下月舉行燈火管制
page 7	防毒面具暫未發給
page 7	興西實業公司昨招待新聞界
page 7	中賑會救濟石峽尾村災民
page 7	所得稅研委會改廿一日開會
page 7	大坑村紅丸案三犯每入獄兩年半
page 7	中航機師沈鶴鳴昨逝世
page 7	又一貨艇被劫失贓值千餘元
page 7	日軍昨日封鎖珠江但日輪仍照常行走
page 7	港政府獎勵有功官員
page 8	英戰時慰勞會又募得萬餘元
page 8	鄭和號帆船昨試航定耶誕後一日啟程南渡
page 8	賴債行兇案得判決少婦鍾韻清犯誤殺罪承審官判處徒刑四月
page 8	新界住戶被劫
page 8	恩平回鄉服務團組全縣救傷站
page 8	中央經濟部通令改善商品製造法美將禁不合衛生商品入口
page 8	經濟部之通知
page 8	廠商注意之點
page 8	紐約華商會函
page 8	公開女子籃球賽六路英雌實力檢討
page 8	仿林
page 8	勵志
page 8	西南
page 8	港大
page 8	知行
page 8	南華
page 8	東方健兒動態吳祺祥不日歸隊譚祖德快返海防
page 8	友誼籃球賽消息
page 8	上海貨運銷各地每批須具國貨證明單中央經濟部通告本港華商會鑑別國貨真偽辦法更進一步
