page 1	中國進步與美國觀感
page 2	日開放長江限制辦法廣泛滬外商對之不感興趣駐滬美日總領事會談
page 2	湘鄂我軍出擊順利推進交通破壞戰獲得初步成功各處日軍聯絡均為我遮斷
page 2	中緬文化協會舉行成立舉羅家倫任會長
page 2	粵北我克源潭銀盞　北之日軍悉被包圍進行殲滅
page 2	贛我軍進迫南昌北郊日軍退集城中頑抗
page 2	緬甸訪問團長訪戴季陶互談中緬童軍事業
page 2	廣州偽軍一部譁變與日軍作巷戰黃家贊率部五百餘反正開抵某地向我請求自新
page 2	北平偽府二週紀念偽警強迫民眾往參加王逆克每作肉麻演說除日秘書外並無外賓
page 2	皖省我軍正向東流進迫日軍在湖口登陸被擊退我反攻彭澤克重要陣地
page 2	信陽外圍據點完全克復
page 2	東南我軍反攻長子屯留翼城方面仍在劇戰中
page 2	日雖願開放長江下游外商無庸作過份樂觀各國須藉條約始能維持在華商務倘受日本喜怒支配勢難長久維持
page 3	蘇巨型戰鬥艦被芬炮兵擊沉芬軍堅強抵抗暴露德蘇困難勢將引起歐洲政局重大變化
page 3	重慶各團體歡迎緬訪華團盛況貳
page 3	法決定明年軍事信用借款之總額達五百五十餘億佛郎
page 3	救國無分男女芬蘭編練女子軍十萬曾受戰時各種特殊技術訓練分在戰線之後過前哨站工作
page 3	英官司方稱德機損失重大
page 3	美國務卿演說美古邦交良好蘇外長之演說無若何重要性
page 3	荷國防公債已售出一萬萬
page 3	菲律濱當局訓練後備兵二萬人使全國後備兵有三十六萬足有能力維持其安全地位
page 3	北海有五輪被德擊沉
page 3	德輪在美領水界英艦無法阻截
page 3	全國財政會議傳改在渝舉行
page 3	史達林今日六十誕辰中蘇文化協會舉行蔡會慶祝
page 3	桂南我軍克甘墟後乘勝進迫南寧五六塘已為我軍克復八塘日軍歸路已切斷
page 3	綏我軍克薩縣進迫包頭
page 3	阿根廷提議限外輪入美洲
page 3	振委會救濟桂南難民
page 3	英巡洋艦截擊一德貨輪
page 3	德國潛艇被擊沉者過半法海軍部長之演說
page 3	上海十一月份對外貿易出超
page 3	孫科在倫敦時晤邱吉爾及勞特喬治邱勞兩氏均主張援助中國中英兩國俱係抵抗侵略者
page 3	漢口法租界昨已開放
page 3	英法舉行最高軍事會議討論如何增強軍事外交合作決定以軍械及糧食接濟芬蘭
page 5	開始移動
page 5	非常狼狽
page 5	相顧失色
page 5	完全撤退
page 5	加緊戒嚴
page 5	維持秩序
page 5	順德情報
page 5	三埠輪渡被炸死傷甚多台中渡被劫損失亦鉅
page 5	新會團隊襲擊馬坭日偽
page 5	東線戰事仍烈我軍反攻正果日軍受挫
page 5	南路救濟區積極收容粵南難民建設墾殖區之計劃詳誌
page 5	三門關海面日機演習失事惠陽六區之虛驚
page 5	淡水至沙魚涌設軍民運輸站調整交通治安
page 5	沙魚涌警察所已成立日夜　警巡查
page 5	鄧世增縱談南路戰局我軍活躍迭襲日軍收效甚大日圖犯靈廉我軍已準備迎擊欽廉民眾動員參加戰時服務
page 5	容良日軍星夜全部撤退大良容司沙頭馬崗各地已無日軍蹤蹟日軍撤退之前已將所有工事全部拆去漢奸逃走時萬分狼狽雖家眷不能攜走袁帶等各部團隊已返防維持地方治安
page 7	馮為富人
page 7	四賊入劫
page 7	所得稅研委會昨開八次會議
page 7	失贓統計
page 7	各衙署電話仍用三九總線
page 7	華人賑災會賣花所得義款已分贈各慈善機關
page 7	南渡僑胞銳減赴星船票價格暴跌由三百元跌至百元左右本港客棧業已大非昔比
page 7	赴星票價起落甚巨
page 7	本港客棧業之衰落
page 7	婦人被搶千金
page 7	粵省府組護僑事務所東江一帶設警衛站保護僑民出入國境
page 7	商賑會昨會議
page 7	美拳師不來港現留岷尼拉　酢極忙
page 7	威靈頓街巨劫案詳情四賊剪斷門鍊入屋行劫掠紙幣鴉片值二萬餘元
page 8	紅磡自衛團員截劫案該區團部向總部報告經過
page 8	華民政務司昨參觀兒工院對各童工藝極表滿意
page 8	郵差李敬輝被控盜竊信件
page 8	港海軍當局徵用港滬失業英僑負責巡邏港口封鎖線
page 8	閩僑徵募棉衣昨已開始進行
page 8	來春時花展覽三月六日開幕
page 8	美大服務團昨已離港歸國
page 8	痘症日漸流行去星期死四人
page 8	日富街昨火警
page 8	僑商林金殿唁吳佩孚家屬並賻贈國幣一千元
page 8	那輪三次遇風昨已平安抵港
page 8	公開女子籃球賽全部秩序編定週末開始角逐採雙循環制每逢三六晚一連舉行三場
page 8	記者體特會球隊元旦假期拔軍征澳足籃乒乓三路總動員足球義賽戰中葡聯隊
page 8	香港會足球健將碧福下月返港仍將效力母會
page 8	廈門淪陷後閩省僑匯未受影響是年僑胞匯回款項仍達一萬萬元各縣農產豐收種棉計劃亦已成功
