page 1	關於任用女縣長
page 2	贛北我克靖安南昌東南仍在激戰中南潯路被破壞未通車
page 2	進犯赤坭日軍全部潰退馮涌迎嘴日軍在我各　圍殲中
page 2	陳教長飛抵昆明
page 2	日本業已充分表現戰時色彩米煤缺乏關係民生至鉅牛肉食糖實行限量購買
page 2	傳日再增強封鎖天津
page 2	信陽西北在激戰中
page 2	吳忠信離印入藏年內當可到達
page 2	冀南我軍收復高村
page 2	中量兩拳術家作世界錦標賽
page 2	太沙坪爭奪劇烈
page 2	桂林竟日在警報中柳州劇烈空戰擊落日機一架
page 2	北平日軍扣留汪派四人被控罪名未詳實予汪派打擊
page 2	綏我軍克包頭後一部進圍固陽同時另一部攻克薩縣包綏間交通全被遮斷
page 2	加拿大定新年發行首次戰債
page 2	法加速完成若干艘戰鬥艦每艘三萬五千噸
page 2	德當局否認拉特辭職之說
page 2	德頒發命令嚴密統制消息
page 2	杜格拉斯機廠承建大批飛機
page 2	日外相晉謁日皇
page 2	太原街巷已成毒窟
page 2	討論冬季反攻計劃蔣委長召開軍事會議鄂我軍出擊以來消耗日軍六七千桂南我開始掃蕩崑崙關殘餘日軍
page 3	美議員反對與日訂新約
page 3	重慶各團體歡迎緬訪華團盛況四
page 3	其他團員演詞摘要
page 3	晉謁國府主席致敬
page 3	各界代表聯合歡宴
page 3	朱家驊氏致詞歡迎
page 3	組織中緬文化協會
page 3	美擬建超主力艦英海軍部批評巨型艦效用未必勝於小艦美造艦計劃未必能成事實
page 3	迫於嚴寒季候蘇軍不能前進芬軍焦土政策甚有成效蘇軍退出沙爾美扎爾衛
page 3	蘇軍亦謂進展困難
page 3	邊界蘇軍悉被擊退
page 3	蘇軍損失大於芬軍
page 3	西線寂寞
page 3	前任波蘭總統毛錫奇氏病劇
page 3	英帝航機加夫宇號失蹤意當局派海空軍前往地中海搜索
page 3	英法海陸空軍將帥互致慶耶穌誕賀詞向前邁進創造人類之前途
page 3	對日美商約問題美無切實表示預料將來日美商約期滿後美政府將向日作更大要求
page 5	偽軍焚燒兩次
page 5	使日軍消耗計
page 5	商討救濟辦法
page 5	日偽軍佔龍泉
page 5	業已受我控制
page 5	集結第一中隊長胡德率帶便衣團隊
page 5	寶安縣長派幸耀燊代理省府八九次會議紀給獎捕殺日偽人員
page 5	禪炭線我軍攻入官窯
page 5	我軍封鎖寶安日軍交通鄉民繞道運蠔豉被日軍中途截奪
page 5	戰區司令部嚴飭拆除城碉破壞交通日軍在欽防迅速登陸亦因南路辦理之不善
page 5	省府策動士紳教界開發農村經濟有成績者獎勵
page 5	郵局通告越禁轉遞德貨
page 5	空襲時嚴防漢奸施放毒藥廣西捕獲放毒女漢奸
page 5	中山五區坦洲鄉之大火
page 5	五區游擊隊部規定限制出入口各物品
page 5	東線戰訊近誌日軍犯龍門之激戰在永漢麻搾遭截擊犯博羅亦挫潰退日機狂炸東路各地
page 5	整日酣戰
page 5	博增沿線
page 5	深圳南頭
page 5	我團隊收復大良桂洲各地續訊容奇偽軍仍在我軍圍殲中墟頭偽軍放火二次突圍均被我擊退偽軍再在小黃圃登陸圖牽制我側翼江會各線均有劇戰我游擊隊甚活躍
page 7	西商會向政府呼籲
page 7	華民司允盡力援助
page 7	星洲繁榮亦受影響
page 7	港義勇隊明年集訓日期
page 7	織造商開緊急會議
page 7	經濟家解釋英政策
page 7	威靈頓街馮宅被判後該宅傭婦昨跳樓自殺因劫案發生之時彼適外出恐人見疑欲一死以示清白
page 7	自恨不祥貽累主人
page 7	跳樓自殺重傷入院
page 7	陳海鷹畫展會改期下月廿六日開幕
page 7	慈善團體紛紛施派棉衣
page 7	港府修正牙醫註冊則例
page 7	財委會將會議討論追　不敷政費
page 7	張炎派員來港徵募寒衣
page 7	英廷已決定香港列入非英鎊集團星政府禁貨進口令適用於本港全港廠商大起恐慌向港府呼籲
page 8	護士考試揭曉
page 8	本年度各行商業概況金飾建造業虧本者多柴米紙料行均獲厚利
page 8	茶樓酒家大不如前
page 8	柴米紙料行多獲利
page 8	學齡及青年時期之營養二
page 8	推進聾啞教育杜文昌來港宣傳
page 8	兩影業公司昨招待文化界報告合作製片經過
page 8	學賑會會議紀
page 8	聖約瑟不堪一擊南南淨勝四球神腿佛爺各記兩功今日東方渡海戰光華南華華下山抗香港會
page 8	南南輕取約瑟
page 8	今日甲組兩戰
page 8	三屆德權鼎決賽今日兩場戰事
page 8	元旦港澳記者球賽澳記者之陣容
page 8	女子籃球開鑼戲仿林西南旗開得勝知行南華均遭敗績
page 8	足球年刊耶誕出版
page 8	本港賭風極熾上中環亦有大檔出現香港仔與某小島設賭場凡十餘間爛葸暗中包庇藉賭為生者逾萬人
