page 1	一年來遠東外交之回顧
page 2	贛北我軍不斷出擊南昌外圍戰日軍傷亡慘重
page 2	豫南戰局益趨緊張信陽　圍高地悉為我克復
page 2	劉侯武警告兩廣民眾書二
page 2	晉南我軍繼續掃蕩安邑聞喜等各路均有收穫
page 2	池口附近日艦擊沉銅陵簸箕山之役日兩中隊長陣亡
page 2	豫北　軍克復涉縣
page 2	天津美商會向日要求停止封鎖租界英國人士甚表歡迎本間發表恫嚇談話
page 2	蔣委長撥款萬元救濟陣亡將士家屬前日在行營發放群情感動
page 2	英屬遠征軍安抵歐洲前線證明世界海洋並非為德統治
page 2	交通部改訂電報價目
page 2	鹿地亙到達桂南前線將以巨型播音機實行對日方宣傳
page 2	滬上乞丐冷死者百餘人
page 2	日　國內物缺乏購煙須交還舊盒浴室請增燃料
page 2	日表示願參加明年紐約世展
page 2	開封朱仙鎮交通中斷
page 2	行政院褒揚阿旺桑丹
page 2	南寧龍州間戰情甚劇粵北戰情仍在開展中犯牛背脊日軍千餘被殲滅過半
page 3	料歐洲在明年將無停戰可能將來不特交戰國受損失即各國亦受到戰爭影響
page 3	羅馬教廷與意政府採取平行步驟意首相決定訪梵蒂岡城料必係與和平運動有關
page 3	蔣委員長演講關於憲政問題二促成憲政與實施訓政相需而成訓政具體工作是實施地方自治
page 3	關於日蘇漁業問題日傳將成立過渡辦法日希望續訂長期協定但此目的必勢雖達到
page 3	芬軍衝入蘇境芬北地面積雪甚厚蘇坦克車不能行動
page 3	美籍女子在滬被一日哨毆辱美當局曾向日當局提出抗議日領事館已將此抗議書拒駁
page 3	美海軍當局贊成建造超主力艦每艘六萬五千噸
page 3	日在公共租界捕去華人
page 3	土國地震慘酷傷亡在二十五萬以上鐵路交通現仍未能恢復日來天氣奇寒難民益苦
page 3	日機連炸三日蘭州在大火中有日機七架被我擊落城內房屋被破壞多間
page 3	英名政治評論家謂日本難獲勝利中國戰爭資源不虞缺乏日閣結束戰爭希望渺茫
page 3	德潛艇攻擊英戰鬥艦
page 3	阿部將在元旦發表廣播演說解釋結束戰爭夢想及偽政府籌備方針
page 3	紅軍日記一頁軍中疾病流行士兵不願作戰
page 3	蘇聯宣佈恢復新聞檢查
page 3	蘇聯舉行化學國防比賽參加者　百餘萬人
page 3	爾蘭政府懸賞尋覓被資子彈
page 3	對日美商約美取緘默態度日外相在此十日內將不再接見美大使
page 5	日軍犯舊寨之戰況
page 5	發動民眾保衛大良
page 5	江會方面有夜襲戰
page 5	龍泉方面日軍未退
page 5	華南最近戰局之概況日軍西窺北犯均被挫粵北我迭克重要據點
page 5	余漢謀嘉慰張之英函
page 5	滇緬鐵路東段工程一年完成西段路　　緊修築川滇公路下月通車
page 5	元旦為節約儲金運動日中央令粵設立分
page 5	潮梅米荒日亟各方請當局救濟
page 5	禪日軍又拉夫
page 5	桂省我軍反攻戰情
page 5	我軍猛攻小董激戰
page 5	張炎出巡電白沿岸
page 5	高雷游擊分區負責
page 5	欽東我軍猛攻小董之劇戰欽邕線交通再被我切斷大批日軍在龍門登陸圖增兵來犯日積極圖犯電白茂名我加緊佈防張炎出巡召集受訓人員歸隊服務
page 5	省振會通過廿九年度救濟難民計劃設香港辦事處與華僑聯絡救濟難民之各種實施計劃一
page 5	李主席治粵週年粵民眾之紀念
page 5	華僑發明禦彈背心省府試驗認為可用
page 5	吳仲禧　任韶關警備司令
page 5	日軍在沙頭登陸受挫前昨兩日迭犯舊寨圖擾大良江會前晚迭有夜戰我向睦洲龍泉進襲
page 7	星政府禁港貨入口中西商會將提出交涉廠聯會定期開緊急會議西商會決屆時派員出席
page 7	會商交涉辦法
page 7	西商會之意見
page 7	將設法謀出路
page 7	廣州失陷後日人獨霸內河航權各國商船完全停航
page 7	請大眾協助預防肺癆運動請互相勸勉勿隨意亂吐痰涎
page 7	婦慰會派棉衣贈石峽尾村災民
page 7	世界中級拳賽冠軍卡西亞昨由菲抵港如本港有對手願與比賽欲將衣砵傳授五齡幼子
page 7	青年獻劍會募得五千餘元
page 7	福建大學將在本港招生
page 7	糖商長期義捐又匯出一萬元
page 7	婦聯會宣訓班將赴中山宣傳
page 7	日人在淪陷區謀以偽鈔奪取我僑匯我當局洞悉其陰謀已設法防範
page 8	印警拘控小販不特無功反受損失法官認此舉有礙小販營業著給五角與該販償其損失
page 8	港僑自衛團元旦團拜儀節將在加路連山舉行
page 8	英屬瓊僑捐巨款賑災七萬二千元昨寄抵本港棉蘭華僑寄回大批藥品
page 8	覺先聲劇團義演籌募寒衣
page 8	旅客藏毒疑案被告三獲釋一詳臬
page 8	馬會拍賣舊馬名駒無人領受
page 8	霍亂症未絕跡前日又發生一宗
page 8	明年元旦銀行放假一天郵局辦公時間亦有更改
page 8	飛剪機昨抵港
page 8	第一週甲組銀牌賽今有三場戰事南南渡海戰光華雛鳳加山迎九龍士葛對抗香港會
page 8	仿林舉辦之伯南杯排籃球義賽今日開始假該校女中運動場舉行區芳浦蒞場主持開球禮
page 8	擔干山海面我英勇漁人轟沉日本武裝漁船日水兵十餘人盡被殲滅同幫漁人紛紛市酒慶賀
