page 1	日本當前三大問題
page 2	豫雙泊河決口已慶合龍水歸舊　航運恢復
page 2	我某部襲擊通城東北殲滅日一中隊獲步槍械槍及軍用品甚多
page 2	中中交農四行發行準備檢查發行準備管理委會發表前月檢查結果
page 2	康王謁蔣委長
page 2	陳立夫離黔前談黔省富有朝氣前途極有希望
page 2	西公旂女王向閻錫山獻旗
page 2	滬工部局與偽市長傅逆筱庵會商越界築路問題腓立斯宣稱談判頗順利但彼未將談判內容宣露
page 2	紐約僑胞電各將士祝捷
page 2	長江日艦一艘被我擊傷
page 2	晉西南我軍獲勝
page 2	我軍某部焚燬嘉興附近日倉庫日捐失械彈糧秣值百餘萬
page 2	河北章柏日軍出擾被擊
page 2	湘北激戰我收復路口舖
page 2	蔣委長起草川省施行方針昨由賀國光發表
page 2	法下議院決議驅逐共黨議員
page 2	美中立法不適用於芬蘭蘇芬未正式宣戰
page 2	日靜岡火災損失八千萬元
page 2	粵路員工向余李獻旗
page 2	粵北戰事暫告一段落邕寧外圍女發生劇戰盤據軍田日軍有一部退竄獅嶺
page 2	隨縣東北連日均有激戰日軍猛烈向蔣家崗反攻孔營孤軍奮戰壯烈犧牲
page 3	有田望與各國維持友誼關係
page 3	農相發表談話調整穀米借求
page 3	陸相通令全國設法結束戰事
page 3	工商大臣宣傳盡力壓低物價
page 3	歐洲天氣嚴寒有等冰點以下五十慶此為七十年來所僅見
page 3	藏相櫻內宣稱決定維持預算
page 3	日美臨時商約難有成立希望美政府尚保持鎮定態度
page 3	美駐菲專使乘艦觀操
page 3	濟南商店多家賣英國貨被罰
page 3	英首相在眾院之報告陵相辭職經過中日戰局最近無解決希望聯軍準備應付劇烈之戰爭
page 3	比外相士柏克與英法德等大使密談內容甚秘料係討論一般時勢
page 3	陸相報告辭職原因
page 3	羅斯福提議貸款援助芬蘭引起上議院劇烈辯論
page 3	巴勒摩城地震蒙里爾寺院坍壞一部
page 3	蘇機迫降芬境機師一死一降
page 3	傅英向瑞挪獻議願為兩個保證但瑞典恐德藉口對英獻議表示拒絕
page 3	被俘日兵稱日軍人心反戰痛恨禍國軍閥望其早日崩潰
page 3	英在美定購飛機已有大批運英
page 3	美大使詹臣將乘　艦赴漢
page 3	香港之東北發現飄流水雷菲各無線電台對航業界警告
page 3	甘省努力推銷節約儲蓄期於三個月內募足二百萬元
page 3	滬日當局統制輸進磚瓦
page 3	日新內閣舉行首次會議首相米內發表新閣政策將注重處理中國事件
page 5	欽城日軍續向北犯
page 5	我軍分路與日接戰
page 5	北海市面最近情形
page 5	新鶴路日騎徘徊中我軍再乘夜進襲李村龍泉偽軍圖犯網山不逞日艦昨晨又向小欖砲轟
page 5	徘徊江佛新鶴兩線
page 5	龍泉偽軍圖犯綱山
page 5	日艦又向小欖砲轟
page 5	日軍連續撤退莞龍只由偽軍盤踞大平偽軍洗劫下流八鄉
page 5	日軍車三列在獅子竇被炸事後強捕百餘鄉人
page 5	順德團隊組民眾肅奸網擬定組織草案八項
page 5	梅菉磚瓦木材出口免結外匯
page 5	財部電復中山商會允兌付國幣調整金融
page 5	中振會代表出發散賑
page 5	惠陽公營糧食救濟米荒
page 5	寶安縣府佈告取用民間物件限期交還省府撥款賑濟
page 5	順德劉縣長決禁大良賭博昨召開會議討論
page 5	寶安稅務局組織昨已成立
page 5	沙頭角劫後一
page 5	十室十空瘡痍滿目
page 5	欽邕線日軍拚死掙扎連日調兵忙碌到處突圍潿洲島日機大增日艦集中欽州灣盡傾各地日軍增援拚命衝出重圍我方政治加緊動員配合軍事動作
page 7	不知改良收獲無多
page 7	稅捐奇重不能負擔
page 7	海盜又劫貨艇
page 7	英童書院改為婦孺醫院
page 7	兩賊截劫途人
page 7	為人墮胎疑犯五千元擔保出外候審
page 7	警察督拆九龍貧民寮間轉瞬化為烏有
page 7	長沙灣坊從請增設過海輪
page 7	朱少屏將赴菲
page 7	學振會服務團明午招待各界
page 7	港督夫人謝婦慰會捐款
page 7	日艦又在南澳肆虐我漁船卅餘艘被焚燬生命財產損失確數尚在調查中漁民協進會希望政府設法救護
page 8	八大團體昨追悼張寶樹
page 8	車輛失事統計去週死三人傷廿九人
page 8	工業合作社出品在港展覽會期六日分三次舉行
page 8	痘症流行極速去週死十一人
page 8	胡文虎等捐款救濟閩省難民
page 8	留營難民統計較前週增十六人
page 8	今日旭和杯初賽海陸兩軍對陣下午四時會師加山
page 8	海
page 8	陸
page 8	旭
page 8	足球聯賽小組會明日召開會議
page 8	旅港閩僑團舉辦籃球義賽星島出戰僑星
page 8	光華光中男女中學昨舉行週年陸運大會成績甚佳黃品卓報效全場獎品
page 8	光華中學
page 8	光中女中
page 8	竟代日軍運糧白米麵粉六千餘包麻包三萬個昨分用巨艇十餘艘由港運廣州
