page 1	參議院之反日空氣
page 2	粵北我軍繼續猛進邕欽路以東日軍被殲六百餘
page 2	日軍厭戰軍心渙散日俘虜草感言痛斥軍部
page 2	桂南難民急待救濟中振會加撥振款
page 2	粵省行在災區辦理農貸
page 2	滬上初雪
page 2	湯逆爾和已被監視
page 2	英日兩國意見未能調協格萊琪在歡宴會上講演希望英日關係能有進步
page 2	傳寧偽政府決定改組滬偽市府
page 2	日艦四艘在浙海面滋擾
page 2	日在潮城迫兒童學日文實施奴化教育
page 2	粵省廣播台恢復廣播
page 2	日軍增援再犯雙林我軍猛烈抵抗日軍不去潰退
page 2	美大使詹森明日由滬赴漢
page 2	一酒吧人被人謀財害死
page 2	羅貨供應德國尚有困難
page 2	戈培爾演說極力攻擊英國
page 2	德利里新式軍艦追擊商船又升示中立國旗以掩飾聯軍耳目
page 2	土國民會議昨日閉會土總理致閉會詞
page 2	比邊情勢已趨和緩
page 2	美航務委會將建郵船兩艘以航行太平洋可改航空母艦
page 2	羅斯福主張強化民主政治
page 2	美人加貝里在滬被人偽警毆擊美領事館得接報告要求捕房調查此案
page 2	美孤立派領袖波拉氏病逝美各官吏議員均表示哀悼日認波拉之死為日大損失
page 2	烏照會德政府移去廢袖珍艦以免礙及航行
page 2	壺關南犯日軍勢已挫我一度攻入長子北關盤據式安日軍有竄邯趨勢
page 3	沙拉西南蘇芬兩軍堅官守沙拉區以北企圖進入蘇軍之陣線
page 3	美大批軍用原料運出影響國防建設海軍陸次聯同發表聲明希望政府有權處理此事
page 3	中蘇正式航郵業已開班
page 3	甘地對信英念未全銷失對印督發表演說確信其係有誠意
page 3	陸軍部定購大批軍氈一百五十三萬張
page 3	謬語連篇日陸軍省印發小冊子名為日本軍隊及諸強國印出二萬本分派　各機關
page 3	鋼琴家巴達魯士奇愛國甚於音樂波蘭若不恢復獨立彼則誓不再弄鋼琴
page 3	挪各黨派捐除政見
page 3	英空軍部發表攝得照片
page 3	羅馬教皇致函於羅斯福答覆和平合作呼籲對羅呼籲備極推崇
page 3	日美通商關係僵局仍未打開日向美提議締通商過渡辦法但美國國務部尚未有所答覆
page 5	江會方面炮聲甚密
page 5	日偽軍又進犯荷塘
page 5	睦洲昨晨亦有戰事
page 5	企圖截劫三埠輪渡
page 5	日艦結集冠頭嶺對北海之眈視汽艇滿載日兵伺隙蠢動防軍澈夜戒備嚴密防範欽邕線我軍仍浴血苦戰
page 5	召各縣書記長開會
page 5	七區游擊區之部署
page 5	日軍增兵東江昨犯上下南馬嘶被擊潰偽指揮安某被炸傷東莞各偽軍又改編
page 5	寶安善後續訊中賑會撥給賑款蔣夫人撫慰難民
page 5	新台赤沿海日艦近態廣海貨船被炸沉
page 5	粵北會戰大捷後當局嘉獎有功將士委長電匯十萬元分撥各軍旅軍委會令詳查作戰經過事蹟
page 5	劫後南頭城一
page 5	呂春榮謀擴展圖將雜牌軍改編統轄
page 5	救濟中山難民外僑捐款者甚多
page 5	省府保障受訓之縣政員取締擅自撤換
page 5	九江日軍迭有增加江會日軍減少昨晨仍有砲戰日偽軍進犯荷塘登陸被我擊退日汽艇在石牌河面截擊三埠渡
page 7	中央獎勵僑胞輸財行政院決提前發給獎狀
page 7	隆鎮同鄉會昨舉行開幕禮
page 7	鎗殺水牛流彈傷斃兩人西環屠房昨晨發生血案
page 7	差餉評價標準
page 7	港九教聯會呈請改善課室條例新例實施後大部學校勢難續辦華僑學生將必有三分之一失學
page 8	英國戰時統制過分盈餘
page 8	紅磡婦女會募衣運動結束
page 8	港府修改燈火管制則例
page 8	銀界聯誼會今日開聯歡會
page 8	日轟炸機翅供我作鞋　廢物利用莫善於此
page 8	工專學生將舉行畢業試
page 8	海盜圖劫貨艇被擊退九針島海面發生劇戰
page 8	廣大募衣成績共得國幣五千餘元
page 8	摩理士並無託人募捐
page 8	醫界籌祝國醫節
page 8	昨日甲組足球戰事華軍兩勝一和銀牌戰雛鳳淘汰若瑟聯賽東方勝而光華和
page 8	銀牌戰三比二雛鳳僅勝若瑟
page 8	聯賽水兵失利東方淨勝三球
page 8	光華後勁不繼二比二和香港
page 8	旭和杯第二戰南華今遇海軍下午四時會師掃桿埔
page 8	港政府頒佈禁　運刊物文件法令一切刊物須由郵局代運藉防傳播不利本港消息
