page 1	英海相演詞之反響
page 2	中華日報竟勸國人接納屈辱條件中立觀察者亦大為驚怪
page 2	重慶各報發表評論
page 2	錢江北岸日軍圖向寧紹進擾分乘橡皮汽艇強渡錢江強行登陸與我發生激戰
page 2	上海各報對汪評論
page 2	日軍厭戰相率潛逃
page 2	中華海員工會聲討汪氏
page 2	滬公共租界犯罪案漸增加
page 2	蔣委員長發表告全國軍民書一從汪日協定認識日本真正所欲乃在整個併吞我國消滅我民族
page 2	羅王車站日軍被殲百餘
page 2	皖南日軍蠢動被我擊退
page 2	膠濟路日軍車中我地雷日軍死傷甚多
page 2	政院會議
page 2	滬亞細亞公司買辦杜廣生昨遇刺手部足部均受傷槍手乘汽車逃去
page 2	蘇傳英法聯軍在近東確有遠大計劃
page 2	傳西康方面藏華發生衝突
page 2	西園寺病情益危
page 2	我軍繼續向增城圍攻廣州完成大包圍姿勢湘北戰事沉寂晉南殘日漸肅清
page 3	外籍志願兵開到芬蘭前線刺都牙湖東北芬軍陣地自克數據點後愈益穩固
page 3	駐美日大使往訪美國務卿商議日美通商關係問題通商過渡協定料難成立
page 3	德將向比賃用大批火車
page 3	美財長摩根韜調整購機關係
page 3	希輪一艘觸雷沉沒船員四十名獲救失蹤者尚有十名
page 3	淺間丸事件前英已向日警告倘日向英抗議英將據理駁之
page 3	魯西日軍犯朝城被擊退
page 3	適得其反
page 3	蔣委長發表告友邦人士書駁斥汪日簽訂協定
page 3	祇重武力
page 3	權完全被其控制
page 3	永無撤兵
page 3	簽訂協定
page 3	獨佔中國
page 3	願各友邦
page 3	援助中國
page 3	日政局在短期內必有重大變化日軍部對米內組閣表示不滿兩大政黨領袖亦不參加組閣
page 5	冒寒進攻襲入馬山
page 5	一度進犯小澤不逞
page 5	犯荷塘之日艦擊退
page 5	日艦又向小欖炮轟
page 5	李漢魂將軍暢談粵北大捷原因黨政配合軍事卒能擊破強日民眾熱　助戰青年踴躍服務目前加緊戰區善後救濟難民
page 5	鄉民聯合游擊隊克復官山民樂日因九江緊急均已同時撤退
page 5	東江上下南我日兩軍劇烈炮戰省府派員巡視寶安寶安偽軍改編受訓
page 5	省府派員巡視寶安
page 5	日偽迭犯荷塘續訊發生劇烈戰事遠因近果民眾不甘屈伏齊起抗戰篁灣良村受劫災情最慘惟三丫事前已疏散人口
page 5	籌備祝捷慰勞鼓勵忠勇將士
page 5	寶安已准牲口出口
page 5	三丫情形
page 5	血戰劇烈
page 5	遠因近果
page 5	寶安偽軍收編受訓
page 5	粵北增設游擊縱隊司令彭林生兼任
page 5	蔣委長指定粵桂作戰指揮官廣西及南路由張發奎負責粵東西北江由余漢謀負責
page 5	日艦擾碣石貨船遭害汕尾獎勵撈水雷成立疏港董事會
page 5	江會日騎兵連日奔走擾犯中我軍前夜冒寒襲入木塱馬田日軍進犯小澤不逞我軍尾追收復蓮塘日艦又向小欖砲轟
page 7	清遠下郭一帶舖戶盡為日軍焚燒
page 7	九龍居民協會將開週年會議
page 7	研究委員會贊成節省陽光昨日已呈覆輔政司
page 7	重慶播音台請梁士純演講
page 7	昨日天氣愈冷灣仔春園街冷斃一人
page 7	海陸又發生劫案兩宗四賊行劫吳淞街住戶龍鼓灘貨艇一艘遇盜
page 7	賊劫住戶
page 7	貨艇遇盜
page 7	被我包圍潰走軍田
page 7	購國幣須繳驗貨單財政司已准暫緩執行董仲偉談向當局呼籲之經過對財政司體恤商艱極表敬佩
page 8	南華早報社評
page 8	士蔑晚報社評
page 8	國貨展覽會嚴格審查出品
page 8	改良校舍問題羅文錦之談話
page 8	自攜書信出口須送郵局檢查並照規定價值貼足郵票
page 8	各界賑聯會慰勞粵北將士
page 8	加山今有一幕埠際足球試賽由港聯戰抗越選手隊
page 8	昨日甲組足球聯賽四比三洋水兵克米軍
page 8	港滬埠際賽斯近港方代表動態舉禮地荷錫等不能成行佳士霍士被邀參加征滬
page 8	今夕籃球義演四路兒女英雄會師首場女子星島抗南華次場男子僑星戰星島
page 8	王泉笙昨返菲
page 8	文物展覽會審查標準省外文物與廣東無關者不收同一人或同類作品擇尤陳列
page 8	何伯平昨抵港
page 8	賣國行為盡情暴露西報痛斥汪精衛不獨為中國國家民族所不容亦為中國各友邦人士所共棄
