page 1	美日商約明日失效
page 2	日軍再集包頭企圖進犯五原臨河我準備來一個塞北大捷
page 2	吳佩孚在平舉行殯禮殯儀之隆重等於王侯儀仗執紼排長半英里
page 2	廣州難民營並無停頓
page 2	廣九路特別黨部通電擁護肅奸抗日決策粉碎日偽奴我亡我陰謀確保中華民族自由獨立
page 2	中國飛剪號未能如期抵港
page 2	在滬租界內拾獲屍骸在去年一年期內數達四萬一千具
page 2	青島偽會繼續舉行會場戒備極嚴禁絕行人行近
page 2	北歐諸國購糧數量突增英方甚注意
page 2	被焚意輪共死百零七人
page 2	美大使詹臣昨抵南京定今日啟程赴漢
page 2	蔣委員長發表告全國軍民書二從汪日協定認識日本真正所欲乃在整個併吞我國消滅我民族
page 2	鄂北又創第二次大捷隨縣東北日軍總崩潰此役共殲滅日軍一萬二千以上
page 3	日報連日鼓吹反英
page 3	日代　人須磨談話
page 3	英報加以充份解釋
page 3	對菲島獨立法案美議員不願改變態度菲島與日為鄰勢難持久
page 3	希特勒向意正式保證倘蘇破壞意匈利益地帶德必顧及意大利之權益
page 3	日再向英提出抗議
page 3	傳日輪立田丸又被英艦截查日政府為淺間丸事件再向英政府提出抗議
page 3	日美商約明日即行滿期美決不願與日商訂臨時協定外委會將討論畢特門禁運案
page 5	日偽企圖再佔馬山
page 5	李村日軍忽自撤退
page 5	中山當局發言人談
page 5	睦洲偽軍發生內鬨
page 5	日艦兩艘砲擊大
page 5	粵路我軍攻入三華逼攻新街高塘迤北激戰游擊隊衝入鴉湖從化我軍擊破太平場外圍日陣
page 5	粵北公路經已次第修復
page 5	寶安各界昨開會遣送難民回鄉各項辦法蔡寶田允借地耕種王若周派隊剿偽軍
page 5	台山各界民眾電慰粵北將士
page 5	難民回里耕種
page 5	各方捐借禾田
page 5	搜劫客商財物
page 5	黃世途續抵台山督導民兵抽簽並談出巡目的
page 5	余漢謀赴桂謁白崇禧報告作戰經過請示一切機宜
page 5	粵路南段我團隊活躍日軍狂捕高塘鄉民農屋九十餘間被焚
page 5	一區專員公署昨召五邑縣長會議商討調劑糧食問題大幫穀米運入四邑
page 5	省府主席整飭團隊紀律
page 5	廣州日軍抽查戶籍任意拘捕市民
page 5	江會日軍頻頻調動圖再佔馬山向我猛攻被擊退結集李村日軍昨忽然撤退江會日軍厭戰情緒之普遍
page 7	難民福利會議決繼續施食
page 7	中賑會救濟失業漁民擬撥款三十萬組合作社
page 7	及格防空人員
page 7	教電協會會議今日下午舉行
page 7	潮州公學今日開懇親會
page 7	四邑米荒嚴重李務滋來港請求救濟
page 7	新會縣長來港呼籲
page 7	駐港芬領事發起募捐運動
page 7	中青救護團組隊派赴粵桂
page 7	商振會撥款慰勞粵北將士
page 7	陳海鷹畫展會廿七日正式開幕
page 7	辦運米石種種情形
page 7	英潛水艇撞　漁船船員六人獲救來港
page 7	教育部籌組僑民教育總會
page 7	小販長期義賣五角本金溢利三百餘元
page 7	計劃組漁民合作社
page 7	救濟進行急不容緩
page 7	出入口輪船務須注意封鎖信號東薄寮洲海峽下月隨時封鎖本港船政官昨日發出之佈告
page 8	盜竊函件郵差入獄陪審員一致認被告有罪
page 8	集郵成績展覽昨在南華西報樓上舉行
page 8	留營難民統計較前週增百餘人
page 8	藥行商會連日施贈棉衣
page 8	昨日足球試賽港聯破埠際隊一比零聯軍最後勝利
page 8	宵來籃球義演星島男女隊均告捷
page 8	本星期日足球賽球證出戰記者雙方人選排定
page 8	記者會足球義賽定卅一日舉行赴滬埠際隊戰華聯工力悉敵必有看頭
page 8	九龍電報分局短期內難設立
page 8	各線空郵受阻
page 8	白籐公民代表請賑荷塘難民
page 8	日海軍又截劫貨艇艇上自衛槍械盡被掠去
page 8	廣大學生致函畢德門請拒絕日本續訂新商約
