page 1	美日商約失效以後
page 2	鄂北殘日仍在圍殲軍事發言人談大捷經過
page 2	浙東我軍進展順利錢清臨清附近日軍肅清
page 2	包頭日軍受創回竄
page 2	克萊琪訪日外相
page 2	京鍾路長嶺之役我軍檢獲日軍日記充分表現厭戰態度
page 2	綏北日軍徵發民間騾馬
page 2	冀南我軍突入棗強殲日軍甚眾
page 2	渝各團體聯銜討汪
page 2	滬各報一致痛斥汪日協定蔣委長告友邦人士及軍民書各報均於第一版上全文刊載
page 2	達賴領受任命電林主席致謝
page 2	晉南我軍一度攻克蔭城
page 2	史達林將赴前線視察
page 2	粵北會戰日軍的戰略及戰術二
page 2	唐報吳村牛岡均克復殲滅桂南日軍五百餘湘北鄂南沉寂鄂北殘日仍在圍殲
page 3	孟者士打衛人報評論遠東局勢美日商務關係隨時可生變化日圖利用汪結束戰事難成功
page 3	大阪商船會社不載德籍搭客
page 3	奎松總統欲往南美遊歷將經過　國
page 3	美上院通過國防緊急預算案為二十五萬萬零二百萬金元
page 3	德袖珍艦宣佈改換艦名
page 3	蘇空軍轟炸芬蘭東部
page 3	日警當局繼續審訊楊格
page 3	淺　丸船員不滿船長態度謂其遷就英方捕去德人一致罷工要求更換船主
page 3	兩中立國輪在北海被擊沉
page 3	瑞士　準備戰時疏散計劃
page 3	德潛艇在西印度群島一帶將大舉進攻英國商船預料聯軍及中立國輪將大受打擊
page 3	加拿大將舉行總選舉
page 3	英輪永生號被一日艦騷擾聲言報復淺間丸　件
page 3	魯山我軍兩路猛攻高密斃日軍七百餘
page 3	英眾議院辯論農務問題
page 3	南京英使館被竊現款
page 3	一英偵察機在德境被擊落
page 3	美國商務部長發表一備忘錄據謂歐洲發生戰事之後使日經濟地位益靠美國
page 3	中日新關係調整要綱幾點解釋此為某君從日汪雙方談判人員在六三花園及愚園路歷次會談的筆錄中抽繹其要旨而寫成的記者認為其中含有重大的意義特為披露
page 3	日美商約滿期日本之反美情緒益高對美大使難免有不利企圖事先對外發出不利我宣傳
page 3	菲杯葛日委會主張實行對日禁運日美商約期滿現暫維持現狀日報一致責備美國放棄商約
page 5	欽邕線日軍之調動
page 5	日訓練我壯丁陰謀
page 5	羅翼群已出巡各縣
page 5	廣州柴荒貧民伐樹被擊日軍亂槍掃射擊斃男婦五人
page 5	桂南前線兩勇敢班長受傷不退痛殲日軍
page 5	粵路我軍繼續進攻高塘日軍敗竄江村從花線我猛攻人和
page 5	余漢謀由桂飛渝謁委長請示機宜
page 5	容奇日軍突施戒嚴日艇犯桂洲新涌不逞黃順泰部擊沉日艇一艘桂洲裡外村仍屬半淪陷
page 5	江會日軍時有出擾日軍官屍身之厭戰日記日艦昨晨又向古鎮炮轟行走澳岐隆記渡又被劫
page 5	龍泉方面略有戰事
page 5	隆記渡再遭匪截劫
page 5	日艦炮轟唐灣香洲
page 5	搜獲日記暴露厭戰
page 5	日艦突向古鎮炮轟
page 5	小黃圃偽軍亦退去
page 5	衝入高塘
page 5	廣花公路
page 5	攻入和墟
page 5	增從一線
page 5	日偽混戰
page 5	鳳凰山上
page 5	湘桂鐵路規定攜帶貨幣辦法
page 5	匪偽之禍
page 5	寶安各團隊澈底剿除匪偽日偽混戰之一瞥鳳凰山偽軍被俘
page 5	日軍退出
page 5	嚴限拆卸鐵窗鐵器
page 5	我分三處切斷欠邕線機械化部隊抵粵南作戰蔡廷鍇電告邕寧日軍糧食將絕日軍分犯各地均被我先後擊潰十萬大山匪首王三渣為我擊斃白崇禧令高雷拆鐵器準備抗戰
page 7	兩年來癆症之統計
page 7	勸導居民選擇食品
page 7	進行組織防癆委會
page 7	中大服務團募得大批藥物運赴東江救濟難民
page 7	美大使已動程南下可抵港英大使決在渝小住
page 7	昨又冷斃三人
page 7	擬設立肺癆病人村
page 7	收賬客注意港府禁私攜賬單出口未經檢准者一概沒收由郵局寄遞免自送檢
page 7	假各教堂公開演講
page 7	決定多種宣傳辦法
page 7	醫務總監昨發表防癆運動全部計劃分用文字影畫演講大宣傳舉辦文字比賽報館代收文稿廣聘醫藥專家組防癆委員會
page 8	越南政府重新規定華僑居留稅本年一月八日公佈施行堤七府公所函告港僑
page 8	痘症蔓延極速本年內已發生六十餘宗
page 8	西環兩人跳樓一已死一重傷
page 8	美輪船公司發展遠東航業
page 8	老婦投海獲救
page 8	吳佩孚追悼會下月廿五日舉行
page 8	藥商林光購買節蓄券十餘萬
page 8	今日足球聯賽光華迎戰約瑟雛鳳流海征九龍麗華杯陸軍聯抗海軍聯銀牌賽香港會再逢士葛
page 8	港政府遣送難民回藉離集中營返鄉者已二千人
page 8	深圳海關分卡暫設羅湖站
page 8	女青年會響應勞軍勸會員節省春節消耗獻給祖國
page 8	大生杯排球賽今日揭開序幕逍遙對漢中
page 8	日　又炮　英國商船並　水兵　輪向船主諸多留難自承為淺　丸事件之報復行動
