page 1	打出來之和平
page 2	衛立煌等率部通電討汪並表示擁護領袖抗戰到底
page 2	通城西北日軍中伏
page 2	日軍在沁河北殘殺民眾
page 2	西藏方面反日行動激烈
page 2	日閣舉行會議決定採平抑物價政策以米煤及肥料為主要之對象
page 2	海員工會發表告海員工友書一致起來加強抗戰力量
page 2	英艦水兵由湘抵滬
page 2	鄂北日軍潰退百餘里鄂中洋梓日軍為我包圍
page 2	閩省壯丁王希齡毀家從戎
page 2	贛北我軍積極破壞公路
page 2	滬某法文報主張歐洲交戰國設安全區仿效饒神父安全區收容難民顏露爾撰文頌揚饒神父之功績
page 2	粵市北區我便衣隊活躍
page 2	我軍直薄亳縣
page 2	節建儲運委會青海分會成立
page 2	豫東我軍一度衝入商邱沁陽日軍出擾遭我伏擊回竄
page 2	蔣夫人宴新生活婦女工作隊長嘉許各隊徵募寒衣成績
page 2	川省推行七七紡機成績
page 2	長江日運輸艦被我砲擊有下沉模樣
page 2	緩日軍渡河向包頭灘進犯在新民堡一帶展開激戰日軍不支潰竄新城一帶
page 2	晉東南我軍猛攻安運
page 2	浙東南犯日軍被擊潰我軍迫近蕭山激戰中渡錢塘江南犯日軍即可肅清
page 3	淺間丸案覆照英已向日送致
page 3	美國勢將執行嚴厲禁運政策
page 3	美決不與日本同謀打劫中國
page 3	埃及棉花輸出增加
page 3	刺都牙湖以北劇戰芬軍盡力掙扎卒能保持其原有陣地劇戰料不久則行停止
page 3	德又嚴厲警告勿聽外國廣播違犯此禁令者必受嚴重處罰
page 3	對巴爾幹時局德國極為注意駐羅保等德使節在柏林會議討論應付巴爾幹時局之問題
page 3	美國軍火輸出大增
page 3	西園寺又染喉管炎症
page 3	瑞輪嵩札號被德潛艇擊沉
page 3	奎松總統號輪昨日上午下沉
page 3	羅斯福否認美機飛加拿大由加交於聯軍
page 3	加拿大定期舉行總選
page 3	青島偽會中汪王互相標榜
page 3	美運輸艦初門號將召回國
page 3	留英公費生考試繼續辦理
page 3	日駐歐各國使節先後齊集匈京準備舉行會議議期將歷數天
page 3	畢格拉斯發表移殖猶太人入滇計劃組織合作銀行在美設總行每一移民派給五百元費用
page 3	美國尚可運用較強力量制日
page 3	南洋救國僑領林文田談南洋僑胞救國熱忱救國義捐達萬萬元以上
page 3	日對基美關係愈趨惡化日軍加緊封鎖天津英法租界本間發表談話對美施行恫嚇
page 5	我機轟炸日艦情形
page 5	大寺附近掃蕩日軍
page 5	嚴防糧食偷運資日
page 5	粵省府頒佈查禁日貨補訂辦法省黨部飭屬協助查禁
page 5	黨部飭屬協助禁查
page 5	臘鼓頻催中穗市蕭條狀況
page 5	岐關路呈請恢復全線行車
page 5	四區專署組織政治大隊
page 5	台山新昌設桐油購運所私運私藏決予沒收
page 5	一區專員公署禁壯丁避兵役各團隊機關勿庇護逃役
page 5	台山推廣義教海外邑僑捐資辦學
page 5	江會偽軍繼續南調日圖擴編偽軍又感棘手日艦艇前午犯中山海洲不逞江會日偽糧食恐慌四出搜奪
page 5	日艦艇又圖犯海洲
page 5	日艦再向古鎮砲轟
page 5	江會日偽糧食恐慌
page 5	派隊維持海面交通
page 5	日艦發炮向桂洲外圍龍涌轟擊日機沿容良路偵察
page 5	台山大窿峒墾殖區已成立縣府之佈告
page 5	查禁日貨補訂辦法
page 5	高塘日軍被包圍我軍續進迫近江村新街日偽軍南援在郭塘中伏我軍反攻太平場衝入豬屎嶺
page 5	寶安賑委會議定協助遣送義民回籍辦法先派員調查各情形再與港方接洽遣送
page 5	我機轟炸欽州灣日艦欽廉公路戰事復轉劇烈日艦兩艘被我炸中當堂傾側平銀渡大溝間我日迭起接觸日嗾使漢奸偷運糧食之詭計高欽師管區補充團奉令參戰
page 7	拘禁命令
page 7	顧問委會
page 7	藝術觀賞會第二次定期開幕
page 7	查究消息
page 7	美日商約實行廢止本港中外人士極快慰尤盼禁運問題從速實現
page 7	星洲宣布香港為痘症埠
page 7	三大茶樓舉辦歌伶義唱為戰地服務團籌款
page 7	陳海鷹盡展會昨日正式開幕
page 7	遠東航空學校一練習機失事機件損壞駕駛員無恙
page 7	拾食棄餅十餘人中毒九人送院救治餘已無恙
page 7	各校優待新聞記者子女捐贈免費或半費學額多名
page 7	節省陽光研委會主張各商行縮短營業時間酒樓茶室每晚十一時收市大小工廠限八時停止工作
page 7	修正緝捕煽叛份子法例
page 7	港府修正防衛法令對嫌疑人物隨時拘禁被拘禁者得向該例顧問委會伸訴緝捕爐叛份子法例亦有一部修改
page 8	華人代表覆教師聯合會允代請政府緩行教育新例
page 8	歌協合唱團公開徵求團員
page 8	港政府新委令
page 8	衛生局之議案
page 8	十賊劫雜貨店掠財物僅值數十元
page 8	麗華杯第二戰華聯今逢文員下午三時半會師銅鑼灣記者球證之戰同場上演洋水兵昨遭慘敗
page 8	聯賽雛鳳奏凱二比一勇挫九龍
page 8	聾啞教育
page 8	日　軍愈弄愈兇　截劫漁船但財物已被掠一空損失極巨
