page 1	日本輿論責難外務省
page 2	偽中央組織成立日方再度延宕乃由於國際局面之變幻
page 2	國民月會講解範圍
page 2	駐華各地日領齊抵上海加籐召開會議
page 2	日籍米商在滬被擄
page 2	美大資本家哈克尼士逝世
page 2	西園寺病情已有好轉仍要小心療治
page 2	綏省我軍積極活躍
page 2	顧祝同等通電討汪
page 2	豫北我軍進擊沁陽日軍邯鄲日軍被殲三百餘
page 2	各院校聯電繼裁致敬
page 2	豫東日軍遭我痛擊斃日軍三百餘
page 2	薛恒離渝返美
page 2	西北建設協會舉行成立大會
page 2	國府嘉獎捐資興學人員
page 2	粵省主席親赴戰區視察
page 2	漢中意教堂確為日機轟炸
page 2	墨國煤油不適飛機應用日擬在各國購油恐難望獲得成功
page 2	滬北租界特殊區五金號主被擄
page 2	津租界仍無糧食接濟蔬菜肉類甚缺乏
page 2	贛北日軍犯高郵市不逞奉新日軍進犯萬古腦
page 2	華北戰區慰勞視察團昨日出發
page 2	劉湛恩夫人對美廣播
page 2	鄂北日增援仍圖困鬥我加緊圍殲洋梓日軍廣水一帶殲日軍過半仍對峙中
page 3	蘇軍侵芬陷於困難德人頗稱快意德政府正欲乘此時機對蘇聯取得主動地位
page 3	奇文英等抵渝談綏軍民抗戰精神旺盛軍隊與民眾已打成一片包頭大勝軍民合作結果
page 3	美在歐亞兩洲逐漸向戰爭路途而行下議院議員丁漢反對政府政策
page 3	英法存美資產約值六十萬萬餘萬元
page 3	法在近東派駐勁軍
page 3	英法煤油代表團抵羅不確
page 3	捷克軍官多名逃出國外
page 3	美蔗糖商人將於日內開會在與蘿蔔糖商人訂立一妥協程式
page 3	蘇聯報紙極力攻擊芬蘭
page 3	美大使赴漢時沿江視察各埠並未見有戰事
page 3	英國東南海岸飄流水雷爆炸
page 3	中立國輪船三艘被德潛艇擊沉事前未得警告
page 3	國民政府命令委馬厚田為駐察專員聯絡各盟旂王公強化抗日陣線
page 3	英國取銷茶價統制條例
page 3	德宣稱在北海炸毀輪艦九艘英方對此否認
page 3	美國棉花輸進英西增加但輸進日德法波等國減少
page 3	美洛克特飛機廠又接得英定單
page 3	美海軍擴充逐步進步
page 3	中樞紀念週吳敬恒報告二痛斥汪精衛與日訂約
page 3	日外相接見英大使談判淺間丸案日要求將淺間丸德人交出英方是否肯接納尚屬疑問
page 5	欽東戰事向北擴展
page 5	黃屋屯附近之激戰
page 5	欽邕線我包圍日軍
page 5	我圍擊日機師經過
page 5	中山各界救濟米荒續訊
page 5	踞南海日軍擾西城市受創
page 5	南海大崗墟慘被焚掠
page 5	日軍搜河南上涌村捕去鄉民百餘
page 5	當局發表江會戰況情報中順新台強化聯防力量在中山開聯席會議
page 5	中順新台聯席會議
page 5	葉達光昨抵岐視察
page 5	昨我當局發出情報
page 5	大　山日砲轟七堡
page 5	南鵬島已成日軍走私根據
page 5	省行撥款辦理粵北戰區農貸
page 5	陸海豐海賊披猖渡船被劫達十宗貨船拒賊起激戰興隆渡觸雷被炸
page 5	我空軍轟炸大沙頭日機場炸燬日機六架及汽油等材料
page 5	台山各界維持金融續訊嚴禁拒折地名國幣
page 5	欽東各地酣戰中欽西我軍東進直逼欽城欽西北日軍繼續向後潰退我挺進欽城欽江展開血戰牛崗墟之爭奪戰慘烈異常日屍中搜出圖犯靈山文件
page 7	星政府嚴限華僑入口每月僅許二百五十名新客購船票極感困難
page 7	最近減少四分之三
page 7	星洲舊例限一千人
page 7	英保險公會宣布增輪船保險費
page 7	華人代表允援助廠商代請港府向星政府交涉改良限制港貨入口法例
page 7	軍用汽車失事司機重傷殞命
page 7	防空新署即將落成三月初旬可開始辦公
page 7	粵紅會救護隊在桂開展工作
page 7	我空軍將有驚人舉動現在渝西加緊練習短期內可出而抗戰
page 7	請領護照亦非易事
page 7	中緬航空旅行第連尼未婦已返港
page 7	英領海又發生兩劫案六賊截劫貨船被捕贓物亦起回將解初級法庭訊辦沙頭海面一客艇被蒙面賊光顧
page 8	泰國豬牛運港肉價可望回跌
page 8	名劇定期放映籌款救濟我國傷兵
page 8	冒名提款敗露兩犯均處徒刑
page 8	介紹商業新書港澳商業分類行名錄出版
page 8	衛生局昨會議
page 8	今日加山多熱鬧中西球將義演華聯戰赴滬埠際隊紅伶星大力士到場助慶記者陸運上午揭幕
page 8	記者公會徵募寒衣
page 8	大會職員名單一覽
page 8	陸運大會參加踴躍
page 8	足球義賽名將登場
page 8	女籃爭霸戰難望依期舉行因仿林決定退出
page 8	游藝秩序豐富異常
page 8	南昌街劫案疑犯提堂四男一女被控串劫罪
page 8	印警追捕逃犯海中發生劇戰
page 8	一九三九年本港對外貿易統計入口較前年縮減出口則增加十二月份出入口總值略增進
