page 1	和平運動之前途
page 2	鄂北我軍潛入應山大洪山麓戰事益趨激烈
page 2	贛北日軍再遭痛擊彭澤東日艦肆擾被擊退
page 2	神岡日軍劫掠遭我伏擊
page 2	緩西我軍節節勝利烏拉山麓日軍屍體狼藉
page 2	日機每日分批輪流轟炸福州據統計日機炸死一華人平均耗費金錢約一萬元
page 2	太原附近我軍出擊衝進日機場毀日機多架
page 2	津日軍封鎖租界一人死在電網下
page 2	政院會議
page 2	各方面討汪電文粵省府
page 2	青各界舉行討汪大會
page 2	農民銀行貸出一萬萬元發展各地農務
page 2	谷正之與克萊琪會談討論釋放德人手續
page 2	滬工部局董事即將改選日人準備劇烈競選謀增多一日籍董事
page 2	全國海員
page 2	耒陽監犯獻金勞軍藉表慰勞之忱
page 2	日國內變亂迭生物價高漲各地騷亂米內已感束手無策
page 2	我游擊隊襲攻龍華機場
page 2	閩南日軍在東山島登陸我軍予以猛烈迎擊
page 2	蔣作賓飛桂代表慰勞
page 2	國立航海學校行開幕禮該校設在江順輪處由交通部直接管轄
page 2	桂南殲滅戰大告成功日軍為我殲滅二萬餘意義重大不下於湘北粵北勝利
page 3	蘇軍以巨炮轟維伊普拉城在柏三姆一線蘇空軍極活動匈牙利志願兵經法赴芬參戰
page 3	日眾議院開會兒玉攻擊有田謂其辦理照國丸淺間丸案不當平沼辭職有田亦應負一份責任
page 3	蘇德商約業已簽字
page 3	德輪華金馬號自動擊沉
page 3	英留意檢查各自治領土參戰力量印度國民踴躍參戰資充足又能製軍用品供給於英政府
page 3	寇爾曼主張割讓海港予蘇引起挪人驚異
page 3	最近德人欲騙盜土潛艇事前為土政府窺破
page 3	列決派一商務代表團赴倫敦與英商議商務英國對列此舉甚表歡迎
page 3	荷郵船一艘被德潛艇擊沉荷各界甚為憤激
page 3	德國煤炭缺乏
page 3	蘇聯老軍人戴仙諾昨逝世享壽八十有二
page 3	波蘭人受德壓迫遇一德兵遇害或失蹤即預九個波蘭人填命
page 3	匈牙利氣候異常嚴寒冷死者至少十四名
page 3	法巡邏兵突擊小村德軍雙方發生劇烈戰事
page 3	羅馬觀察報評論汪日協定不能打擊抗戰力量
page 3	羅國當局積極軍事準備續召義務兵入伍
page 3	柏拉格城德軍甚為活動
page 3	尚未有意赴美參與兩政黨大會
page 3	英法驅逐艦擊沉一德潛艇
page 3	加拿大為故督舉行國喪典禮停止公眾娛樂七天
page 3	貴陽發生燕虎麟沙症
page 3	中央派員測驗金沙江欲改良之成可航水道
page 3	美海軍軍令部長主張強硬對日美海軍建艦程序須急速進行對我國貸款案將由上院通過
page 5	新鶴新開戰事爆發
page 5	擾犯中山進窺瀧水
page 5	昨日破曉日機出動
page 5	增城日軍增援我軍衝入北較場突襲中新斬獲凡百增城混亂日偽驚惶
page 5	南海來人談農曆除夕日軍焚民樂墟甘三珠部擊退日軍劫後民樂墟之慘況
page 5	越因
page 5	　江民眾英勇抗日受獎日兵萬餘被痛擊潰竄李漢魂犒獎有功人員
page 5	迎頭截擊
page 5	最英勇者
page 5	日騎激戰
page 5	焚殺
page 5	來犯
page 5	擊退
page 5	損失
page 5	廣州南郊我便衣隊在港新路立功擊斃日軍小隊長並殲日兵十餘人
page 5	廣州日軍勒令居民遷徒　用永漢路被焚　地逼遷大佛寺一帶居民
page 5	中央總動員會嘉獎李主席動員民眾抗日功高
page 5	日偽圖吸收我方失意軍人粵當局奉令防範收容各在鄉軍官
page 5	廣州偽市公署請日軍將沿岸碼頭開放因封鎖各碼頭市面大受影響
page 5	粵省今年施政決定中心工作仍待最後之審定提省府通過實施
page 5	粵長途電話重要幹線完成
page 5	正誤
page 5	日軍增到江會後各線戰事已爆發前晚昨晨日艦擾犯中山進窺瀧水睦洲龍泉方面至昨午仍在激戰中
page 7	周兆五開會詞
page 7	三院財政不敷
page 7	病人有增無減
page 7	關於收容難民
page 7	本屆總理名單
page 7	李楊林之略歷
page 7	干諾道中汽車墮海女客一人慘遭滅頂
page 7	順德災情慘重調查員回港報告
page 7	籐行商會捐五千金勞軍
page 7	宋慶齡昨抵港傳宋美齡同來
page 7	朱少屏已抵菲將負責改良華僑教育
page 7	昂船洲試放防空警報
page 7	水雷漂流海面
page 7	三善院新舊總理聚會李耀祥獲選為新主席楊萼輝林銘勳任首總理定本月廿二日正式交代
page 8	難童工藝院慈善賣物會今日開幕黃強夫人到場主禮時賢書畫參加義賣
page 8	國貨展覽會義賣成績連大會門券共得二千餘元決全數捐出慰勞中英軍人
page 8	我國海關船員徵募寒衣成績
page 8	中美文化協會今日招待詹森
page 8	新界鴨麻寮村謀殺老婦疑案初審首被告祗認偷雞否認殺人但鄰人當夜曾聞呼救命聲
page 8	東方足球隊準備南征菲島一切條件已商妥四月間成行勵志女子籃球隊有同行可能
page 8	週末排球賽程
page 8	體協會今會議商討華聯人選準備迎戰越軍
page 8	全港警探射擊賽昨日舉行頒獎由經警司主持
page 8	焯云杯繼續舉行
page 8	銀聯籃球賽消息
page 8	欖勿行夜冷
page 8	利便居民避火騎樓不許設置障礙物市政衛生局昨日宣佈新法例違例住戶須即改善決不通融
