page 1	納粹政策
page 2	挪威商輪被毀共五十艘挪威政府已與英德交涉北歐三國現決一致行動
page 2	湖口日艦觸雷沉沒
page 2	汪政權成立時日派特使道賀一般人對人選問題似屬意於廣田私毅
page 2	日經濟局勢極不穩定由此去年煤荒可見
page 2	教部將施行五年計劃實行強迫教育
page 2	米內呼籲內部團結
page 2	各地日軍反戰潮積極秩父宮來華撫慰無效南寧瓊島汕頭等地日軍醞釀反戰甚烈事態擴大
page 2	魯省日軍分途竄擾被擊
page 2	粵新運婦女會募得棉衣捐款共二十餘萬元
page 2	日派大批憲警大捕反戰份子七十歲老翁處無期徒刑各地反戰事件風湧而起
page 2	贛北戰況並無變化
page 2	隴海東段交通阻斷日軍狀極恐慌
page 2	交還河北區警權滬工部局與日訂立協定消息傳出後滬人士深表詫異
page 2	日本維持治安律行將修改擴大其適用範圍以懲罰不良份子
page 2	上海電車廠被七匪徒行劫失款三千餘元
page 2	德國宣傳方針又有變更初謂法為英拉入漩渦今謂法國無和平誠意
page 2	成吉思汗誕辰沙王啟程前往致架
page 2	滬工部局美董事已選出
page 2	朝鮮義勇隊在鄂贛境內散發傳單
page 2	滬公共汽車電車工潮意水兵逞兇毆傷工人公司方面定今日要求工人減除
page 2	普教司開會修訂科程標準
page 2	越南華僑電蔣委座致敬
page 2	晉南我軍佔絕對優勢衝入長子斃日軍甚眾粵東我軍獲勝桂南迫近三塘
page 3	里賓特羅甫企圖竭力說服維里斯
page 3	維里斯與德外長會談經過極秘密
page 3	高陶繼續揭發南京偽組織賣國密約三承認日方得獨佔華中經濟利益獨佔上海近郊事業
page 3	齋籐事件意見紛歧日政局益嚴重齋籐已允自動辭職但又提出一反要求
page 3	阿根廷派艦駐防河口防範英德海軍再次發生海戰
page 3	芬軍仍未肯放棄維伊普拉準備退到太巴里河已免被蘇軍所包圍
page 3	德國官方通訊社發表一半官意見
page 3	維里斯與德外相談話係秘密性質
page 3	德國間諜在荷大肆活動荷警察破獲一德間諜機關荷各地正展開反間諜運動
page 3	德機襲擊武裝護航英輪但無一艘受傷
page 3	荷德兩國商務談判結束延展賑項清理條約
page 3	維也納老報停版有二百餘年歷史
page 3	止截德運煤炭入意國英願供給意國所需要之煤同時英國亦增購意國貨物
page 3	綏西民眾館受日軍蹂躪甚至無知幼童亦被殺
page 3	德機若干架飛越泰晤士河
page 3	詹姆士離婚案定期明日審訊
page 3	荷擬軍艦護航發生許多困難現正另謀安全辦法
page 3	滿洲各紗廠原料恐慌華中華北棉花歉收各廠存棉亦已用罄
page 3	希特勒對維里斯聲明決心大戰維里斯對和平工作尚未獲得有何結果
page 5	千餘日偽猛犯大良
page 5	昨晨戰事又甚劇烈
page 5	我乘時衝入佛子　
page 5	廣東省府招待登記侯用公務人員救濟失業羅致人才審查合格即可入所
page 5	招待簡章
page 5	登記審查
page 5	佛山日軍四出劫掠擾奇榜被我痛殲
page 5	懼我有伏兵
page 5	分三路大舉
page 5	瓊島我軍夜襲瓊山衝入甘蔗園收穫鉅大戰果萬寧日軍犯祿馬坡被擊退
page 5	粵省奉令切實利便鹽運不得封扣佔用船車運鹽伕役不准強征
page 5	航政局恢復江門辦事處
page 5	財廳分令各縣舉行捲煙檢查
page 5	我機飛炸沙角日軍陣地在沙角上空發生激戰日機受傷降下沙魚
page 5	台山水步茅坪村發生劫案殺斃三命因借不遂演成慘劇
page 5	中山辦理失學兒童登記
page 5	寶安籌賑會昨開始貸耕牛
page 5	台山儲鹽備荒恢復拐州等處鹽灶
page 5	廣東省府緩設東江行署
page 5	東江各縣擴大春禮勞軍老太婆獻出母豬
page 5	寶安縣政府撤銷兩封鎖站
page 5	黃質文昨赴桂策動桂西游擊戰略
page 5	日為軍四千餘前昨兩日分三路猛犯大良昨二日聞已在大良城南郊激戰江會方面我軍乘機衝入佛子　江門日軍發生恐慌有撤退模樣
page 7	車輛燈火管制
page 7	救護員之職責
page 7	商會籌賑會招待三院總理兩大社團密切聯絡以後辦事更形順利
page 7	精神融洽
page 7	郭泉演詞
page 7	找換店濫索手續費港政府已立例取締
page 7	華民司談話
page 7	勸募成績
page 7	李氏答詞
page 7	港大副校長由的比氏代理
page 7	李漢魂電謝港僑捐款
page 7	東華醫院主席談領導減租在考慮中三院屋租必使公平主客兩方均無虧損
page 7	三墳場金塔限期遷葬長洲
page 7	三大煤油公司否認再增油價
page 7	本港食水濾清手續嚴密
page 7	防空演習期近港督曉諭居民謹守燈火管制法例違者處以一千元以下之罰金防空救護員將負責巡邏市面
page 8	救濟農村即救中國
page 8	收容男女生一百名
page 8	貨艇由汕來港被截劫貨物損失一千五百餘元
page 8	憲報公布如下法例全文
page 8	八時收市
page 8	本港政府將限制商店營業時間節省陽光法例昨公布俟立法局通過即施行
page 8	羅富國爵士致訓詞
page 8	棋壇新訊李偉民打盧輝擂台
page 8	廣東救委會港會明日成立
page 8	英兵刺傷車伕
page 8	文物展覽會昨日正式閉幕
page 8	搪消敵國商標權利律政司增訂新法例
page 8	港外發現破舟
page 8	米杜息敗走加山南南淨勝三球二比二光華和士葛今日兩國軍齊動員
page 8	南南輕取米軍
page 8	光華迫和士葛
page 8	今日雛鳳迎戰九龍東方出師抗香港會
page 8	排球消息兩則
page 8	小型足球戰訊白蘿仙盃今四場角逐
page 8	大埔孤兒院女院開幕港督羅富國到場主禮並致訓男女兩院已收容孤兒一百名
