page 1	日本政局動向
page 2	魯省我軍近日連戰皆捷界河附近燬日軍車一列襲擊臨沂擊斃日軍極多
page 2	開始痛殲中晉南血戰
page 2	日貴族院議員護持齋藤隆夫痛斥政府強迫齋藤辭職此即等於政府干涉眾院
page 2	台灣各地日軍紛紛響應反戰日司令官牛島驚恐異常出動大批憲警大行搜捕
page 2	青勞軍代表離青赴蘭赴綏西勞軍
page 2	達賴坐床大典中央贈送禮物甚豐富湘繡閩漆器杭綢緞完全國貨珊瑚念珠大如龍眼價重連城
page 2	青臨參會開幕
page 2	日反戰同盟西南支部定期在桂林演劇勞軍決定上演日語劇三兄弟該劇暴露日人之反戰熱情
page 2	梧女中服務團熱心辦理救護桂省府嘉獎
page 2	包頭附近我軍毀日汽車多輛
page 2	意運煤往德欲獲得英許可可以通過英國封鎖線
page 2	法蘭西銀行以鉅額存金讓與政府俾充實國庫法作戰資金更為充盈
page 2	豫北日軍受挫
page 2	一月份由印輸英貨物共值七百萬鎊
page 2	英制止滑機油運入荷比等國因些等　存貨頗多恐其將之轉運入德
page 2	戈培爾謂德缺乏原料故迫得加緊限制銷費但德國已在平時有所準備故現時德國必可不致困餓
page 2	堅苦奮鬥中的雁北
page 2	滬巴士罷工潮現已平息
page 2	渝徵求傷兵之友超過原定目標
page 2	我開始大規模掃蕩冀中
page 2	邕賓路日軍困處三塘粵我軍猛攻西南三水鄂贛湘浙各線我軍均獲戰果
page 3	英財相西門廣播演說謂結束戰爭唯一途徑只有打倒希特勒主義
page 3	高陶繼續揭發南京偽組織賣國密約四承認日方得獨佔華中經濟利益
page 3	美進出口銀行貸款北歐三國芬蘭借額二千萬元瑞典挪威額則較少
page 3	英德空軍發生劇戰雙方互信勝利
page 3	維伊普拉城仍在芬軍掌握蘇軍屢次進攻傷亡重大蘇軍第十八師師長陣亡
page 3	紅星日報揭露日本空虛在華作戰損失慘重盲目者亦被征入伍
page 3	美觀察家論和平運動調解歐局幻想已破碎德所提條件絕無誠意
page 3	廿九年度農貸辦法綱要經四行聯合辦理處理事會議通過
page 3	蘇名學者逝世
page 3	著文非難新秩序米內山庸夫懼罪辭職
page 3	羅斯福返抵美京
page 3	比機三架被一德機擊毀比已向德抗議
page 3	德政府公佈半年戰爭結果損失潛艇軍艦共二十艘擊毀聯軍飛機三百餘架
page 3	泰晤士河口附近發出空襲警報
page 3	人事行政會議今日開幕即開首次大會
page 3	法當局無意與日續訂商約日空軍炸滇越路引起法人憤激法政府態度不能不受民意支配
page 3	羅斯福和平運動前途極形黯淡希特勒作強調聲明英財相亦力主決戰
page 5	大良再度失陷經過
page 5	桂洲方面發現偽軍
page 5	古井獨洲日軍大增
page 5	三埠澳門交通未斷
page 5	日軍違背公法酷待俘虜十二集團軍通告所屬
page 5	高塘日偽內鬨
page 5	第一游擊區司令部昨已遷離石岐
page 5	市橋各地日軍大部撤去並拆去各倉庫
page 5	廣東統計委會昨一日已成立將組統計特務隊
page 5	廣州偽軍連日一部開汕
page 5	另一消息甘三珠尚未死
page 5	省府決改善團隊組織務求不擾民不影響抗戰派遺專員分赴各地密查
page 5	中山稅務局設各地稽征所
page 5	前山難民移往石岐安置
page 5	省府救濟船舶失業員工每月分期給伙食
page 5	寶安農民貸款省府昨已電准由省行派員主辦
page 5	不　歧視上海地名國幣一區專員佈告
page 5	粵僑通訊處擴展工作增設西江護僑機關
page 5	增城方面連日均有激戰日軍圖掃蕩羅浮山犯荔枝　被我痛擊我分襲豬牯嶺塘尾
page 5	襲荔枝　受創
page 5	我夜攻大塘尾
page 5	大良城已於一日再度淪陷偽軍昨日又再犯桂洲古井獨洲日增兵千餘昨又揚言再窺犯三埠
page 7	橫欄海面劫殺案捕獲疑犯兩名警方今日召失主到署認人
page 7	保育會賣花募得七千餘元
page 7	兇徒毆傷老翁
page 7	深圳附近各村落被日車蹂躪後之慘狀非經百年不能恢復元氣耕牛缺乏春耕大受阻礙
page 7	瓊崖災情慘重瓊同鄉向各界呼籲
page 8	港府　申演習法例
page 8	演習範圍包括新界
page 8	東西港口完全封鎖
page 8	李樹芬醫生談歐美各國防癆運動不惜巨貲建療養院擴大宣傳指導防癆
page 8	美麗的小鳥王熙春今日始到港明日起在利舞台演京劇配角為安舒元等已先到
page 8	致商會函
page 8	指紋學會
page 8	糖商總會
page 8	商會值理
page 8	糖商總會等響應春禮勞軍洋務會舉行戶內售花一碗飯運動成績亦佳
page 8	港當局添置探射燈
page 8	澳商會新值理徐偉卿仍任主席
page 8	救護分會
page 8	鐵蹄所至
page 8	傷難之慘
page 8	愉園之戰出冷門香港壓倒東方二比一紀錄在下半時乙組聯賽南華獲冠軍
page 8	美容專家之表演
page 8	南華乙挫工程榮膺冠軍寶座
page 8	記者體會動態
page 8	本年度第一次防空大演習明晚舉行演習範圍包括港九龍及新界東西出口海道亦將封鎖兩小時
