page 1	美日關係之透視
page 2	晉南我軍直撲壺關城下收復外圍據點多處
page 2	豫偽軍大隊長被我擊斃
page 2	財部起草一計劃發展經濟建設四大銀行在內地增設支行直接管理民間尋常銷耗品
page 2	精神總動員運動週年紀念蔣會長講演詞一實行精神動員要澈底持久堅忍
page 2	做到三個要點
page 2	一個最大缺點
page 2	中樞及各地紀念總理逝世
page 2	重慶再限令居民疏散準備在十八日內再疏散二十萬人
page 2	盧逆仁緒夫婦被斬重傷入院
page 2	總理逝世紀念日孫院長發表一宣言強調中蘇密切合作之必要蘇聯建設適符合三民主義
page 2	滬偽法印信亦竟不翼而飛傀儡劇有同兒戲
page 2	楊杰昨抵昆明
page 2	吉利浦爵士昨日由港抵滬
page 2	粵勞軍團分組出發勞軍
page 2	日機轟炸宜昌投三彈毀屋數間
page 2	日人在桂演出反侵略戰名劇票價所得計萬元半數充作慰勞費
page 2	重慶牛肉販反對限價罷工市府發出命令限其今日復業
page 2	我部隊沿新鶴路進擊日軍潰竄舊社蓮花石東江方面我日在浮岡附近激戰
page 3	外交局面未有重要變化
page 3	游擊區裡的孩子們二
page 3	美國對日強硬今日感覺不快美政府或將召集九國會議積極行動否認中國新局面
page 3	瑞典否認對芬有所勸告
page 3	蘇芬雙方成立談判基礎
page 3	芬蘭大雪芬雪喘息機會
page 3	蘇方條件已較前為和緩
page 3	蘇聯領袖並不信賴德國
page 3	聯軍表示願繼續助芬蘭
page 3	米內將發表宣言提示對汪政策日政府準備派一特使赴南京賀汪政權成立
page 3	維里斯與英當局談商各項問題英海軍干涉美郵件英國解釋實非得已
page 3	駐滬美領哥斯陞遷駐澳公使離滬日期尚未定
page 3	英挪兩國締結戰時商約
page 3	伊蘇商務協定將可正式簽字
page 3	澳洲煤礦發生罷工風潮
page 3	日傳日蘇接近純係宣傳作用欲迫英法美對之讓步其實蘇日絕不能妥協
page 3	德外長在羅馬頻電希特勒請示機宜德外長勸教皇停止攻擊德國
page 3	英開始發售第一次戰債票購者極為踴躍
page 3	芬外長談蘇芬和平談判尚在進行中未獲得最後結果
page 5	江會戰事激烈中山日軍調援
page 5	我散伏之部隊突起包圍雍陌
page 5	前山日兵減少灣仔情勢略鬆
page 5	日偽軍仍增到容桂日艇全數開往小欖港口南頭大　等地我團隊撤退
page 5	日感兵力不敷急練偽軍補充特設偽軍官訓練團由呂逆春榮任團長
page 5	中山難民亟待救濟李主席派員籌賑
page 5	我機又襲廣州散傳單未投彈
page 5	日艦艇集斗門八區情勢仍緊
page 5	廣從線日軍蠢動進犯從化城被擊退我在木棉崖風雲嶺擊潰日軍粵路我便衣隊衝入大朗車站西村日軍反戰衝突
page 5	從化城南展開激戰
page 5	粵路我軍夜襲大朗
page 5	潮汕我軍保衛揭陽在浮洋鳥洋一帶激戰
page 5	漢奸探軍情多被捕
page 5	潮我團警夜襲東閣
page 5	粵建廳開發連縣大龍山
page 5	十萬大山捷報頻傳
page 5	新墟那樓先後克復
page 5	宣慰各地游擊隊伍
page 5	粵南我軍雲集限期掃蕩靈山西北日軍掃蕩戰現已開始極為劇烈日軍敗退那陳墟我軍窮追胡潮俊召開游擊長官會議
page 5	我軍逼攻江會進行順利中山日軍趕急調援我圍擊雍陌日偽前山日軍急於赴援灣仔形勢已略鬆三廠關卡照常辦公日艦艇昨砲擊斗門八區形勢仍緊張灣仔鄉長佈告封鎖空屋防歹徒潛匿
page 6	一五兩游擊區合作限制進出口貨
page 6	財廳裁撤曲　苛雜四種
page 6	增城日軍天花症之蔓延民眾亦多傳染
page 6	粵省黨部加強動員工作撤消縣市抗援會
page 6	越南河內發現腦膜炎症近已減少
page 6	寶安各界舉行國民公約總宣誓
page 6	只有抵抗始能生存
page 6	散佈戰地從事救濟
page 6	其次關于各地情形
page 6	粵北戰區調查團團長高信談調查戰地災區經過沿途所見抗日遺蹟可歌可泣足徵粵省政治在飛躍邁進中日軍行為洵千古所未聞未見
page 6	談琶江之人民抗戰
page 6	最後還有一點觀感
page 6	粵僑總會將成立在韶僑胞紛紛登記
page 7	長洲封鎖線失去大批水雷
page 7	九龍雙層巴士短期內難實現
page 7	商會動募隊之成績
page 7	吳部長讚許各歌姬
page 7	美髮工會舉行一仙運動月義唱款項已匯中央商振會各隊之成績
page 7	增募粵籍警察維持市面治安
page 7	虎戲團義演今為最後一晚陳秀英表演空中飛人
page 7	澳華僑服務團明日招待各界
page 7	中華青年會徵求會員近訊
page 7	橫瀾海面漁船被截劫潮州柑神香盡被劫去
page 7	兇徒毆傷兩人
page 7	昨討論一碗飯運動
page 7	僑委會通告海外僑民嚴防日人吸收我外匯日偽在汕組僑批業公會誘我僑胞匯款返淪陷區
page 8	本港各橋團昨隆重紀念總理忌辰聯合紀念大會在利舞台舉行鄭洪年葉恭綽演講總理生平
page 8	會場佈置極為素潔
page 8	鄭葉二氏出席演講
page 8	華商會昨會議
page 8	旅港法婦女界將開遊藝大會籌款救濟法國兵災
page 8	中山青年紀念總理
page 8	教會學校論文比賽揭曉女生包辦兩組冠軍
page 8	船政司之通告出入口輪船注意
page 8	衛生局昨例會
page 8	澳門捕獲海賊
page 8	九龍城婦女爭拜張雎陽像侯王廟前發生小風波
page 8	印人駕自行車環遊世界歷時九年昨日過港因戰事關係不赴歐
page 8	市虎噬傷路人
page 8	財徒七人被捕
page 8	捐金購債彙誌
page 8	行使偽鎳幣案
page 8	匪徒截劫傭婦
page 8	串劫貨艇疑案押候三天再審
page 8	殺小童案判決鐵匠許玉滿終身監禁許非癲狂不非蓄意殺人陪審員僉認其犯誤殺罪
page 10	籃球聯會昨召開首次執委會議男子公開賽十五日開始報名選出小組委會辦理比賽事宜
page 10	九龍區學界籃球比賽細則全部修定本月廿五截止報名下月十日開始角逐
page 10	澳記者體育團定期來港報聘
page 10	澳門運港魚菜昨日寥寥無幾
