page 1	今後之東南歐
page 2	晉南晉北日攻勢已挫頓晉南我軍向屹岔店冒雪殺日五台竄擾之日軍在我圍殲中
page 2	照新組織法外交部已改組七司司長亦已派定
page 2	滬公共租界監房宣告人滿維持囚糧生活困難現欲減米糧節經費
page 2	昆市第四屆集團結婚新夫婦共七對
page 2	駐中東英軍司令昨抵角城與南非軍事當局會談
page 2	國家社會黨揭破汪之陰謀表明該黨態度
page 2	轟炸士加巴河結果德方極力張大其宣傳英輿論界要求推展戰爭爭取主動報復德機轟炸
page 2	甘地對記者談印度在戰爭期中仍不停止獨立運動希望英國對待印度如一自由獨立國家
page 2	八月的鄉村俄文譯本暢銷初印一萬　數日內售磬
page 2	日本郵船在星洲被英當局扣留郵件其中十二包係　意運往德國
page 2	日反戰潮蔓延皖境日軍厭戰自殺陸續不絕晉南日軍厭戰將中隊長刺斃
page 2	張伯倫七十一初度現其精神魄力等於一中年人
page 2	邕欽路東側戰事激烈靈山附近日陷我重圍東江我軍向潮城挺進日勢動搖
page 3	西北回漢問題解剖一馬鴻逵在省府紀念週演講
page 3	羅馬尼亞首相發表重要廣播需要和平但須尊重羅國權利嚴密注意強化國防主要工作
page 3	維里斯晉謁羅馬教皇教皇將在復活節後再向世界呼籲和平
page 3	駐倫敦芬公使乘機回國其任務不明
page 3	羅國危機聞蘇又向羅要求
page 3	西線方面劇烈炮戰
page 3	法將成立戰時內閣
page 3	傳蘇將向瑞典挪威要求出海之路蘇又開始在德蘇邊界建築一偉大防禦陣線
page 3	英眾議院定今日舉行外交辯論張伯倫將陳述國際情勢阿里特辛克萊亦均發言
page 3	喜多誠一被調回國裡因搜括民脂飽入私囊不得分肥者極不滿
page 3	奎松定七月間聘訪南美諸國攷察南美各國態度冀參加汎美洲同盟
page 3	匈總理將訪意國
page 3	墨商務代表團出發赴日以墨西哥之煤換取日本絲類
page 3	美煤礦突爆炸百餘人被活埋
page 3	新和平進攻又將出現德意兩國領袖會談將由意國領導和平運動勢將強迫聯軍接納和平
page 5	國際形勢突有轉變
page 5	中山之偽縣長問題
page 5	北線戰事激烈我軍猛攻龍口太平場禺北曹屋鄉民勇戰擊退日軍
page 5	向龍口出擊
page 5	侵入南頭大　日偽軍突向海尾細滘等地撤去南頭大　我團隊仍活躍在南頭墟捕獲漢奸偽軍日偵察南頭大　各地
page 5	從化境日軍
page 5	圖向三區各地猛攻
page 5	關閘外又火燄衝天
page 5	石岐方面種種情形
page 5	向曹屋搶掠
page 5	三埠穀米市價
page 5	中山戰事起後四邑米荒更形嚴重一區專員召各縣長商定救濟各種辦法
page 5	順德我團隊夜襲沙頭大良之激戰沙尾日艦聆耗上駛向沿岸發砲圖威脅襲大良西山日陣之收穫
page 5	分兩路撲沙頭
page 5	夜襲大良西山
page 5	溝通穀米運輸
page 5	澈底清剿偽組織
page 5	寶安國民兵團派隊搜剿沙井奸偽查封偽維持會長房屋幸縣長詳談善後辦法
