page 1	游擊區國民教育問題
page 2	獅子有翼有秘魯被禁映係受德公使運動
page 2	鄂東我軍正向麻地挺進鄂中日軍遭我伏擊斃二百餘狼狽潰逃
page 2	貴池日軍被我殲滅
page 2	隴海路被我截斷
page 2	龍雲將在月內應邀赴緬
page 2	三水日軍蠢動遭我伏擊
page 2	美駐亞洲艦隊繼續巡邏對日讓步之說不確
page 2	甘禁煙督察團開始工作
page 2	湘臨參會電呈中央貢獻對召開國民大會意見
page 2	洛市兄弟爭服兵役
page 2	委座告日國民書日軍深為感動悉心秘密閱讀無不視同至寶
page 2	偽中央政府權力須受日軍限制阪垣謂因軍事上需要
page 2	偽會決定傀儡名單
page 2	廣九黨部否認擁汪
page 2	日汪退還私產密約
page 2	海員工會通電討汪
page 2	川富商再聚豐捐獻戰費十萬
page 2	國府廿三日令任命何松為軍事參議院參議此令
page 2	成第二歹士賭窟林立盜劫頻生
page 2	血戰三晝夜我克靈山分路向敗潰日軍追擊斃日軍四千五百餘奪械彈極夥
page 3	一個法官之死一紀念鬱曼陀先生
page 3	芬將漢戈城租於蘇聯根據蘇芬和約以三十年為期
page 3	西線沉寂無重要軍情可報告
page 3	英德潛艇活動益烈擊沉德輪一艘中立國輪被擊沉七艘英德海軍機發生劇戰
page 3	安部領導組織新黨名為新大眾黨
page 3	查爾頓兵工廠發生爆炸被炸斃者四人
page 3	蘇芬戰爭損失統計
page 3	美採用新圖則建巨型轟炸機大於空中砲台一倍該機年內即可完成
page 3	米內在眾院演說日美形勢惡劣美現極力擴充海軍日本亟謀應付準備
page 3	意陸軍提高員額共六址七師
page 3	楊格已獲釋放檢察官不再上訴
page 3	匈總理抵羅馬謁意外相商討各問題
page 3	社教設施應與黨部取得聯繫教部制定聯繫辦法
page 3	蘇科學家發明血清
page 3	傳德不管部部長乘意輪赴美國英海軍嚴密搜查該輪但終不見沙克特其人
page 3	女明星亞里斯腓獲准與夫離異
page 3	芬蘭要求國聯助其國內復興
page 3	開音樂會籌款協助中國各醫院收入達七千金元
page 3	豫東日軍時出劫掠綁架無辜良民無款繳贖毒打
page 3	馬步芳購儲蓄券萬元響應節約建國運動
page 3	綏西我軍圍攻五原五原偽軍反正
page 3	英空軍再飛施爾持島察見破壞情形
page 3	法總理雷諾召開最高軍事會議向議會發表政策宣言決努力繼續維持新閣
page 5	最近鶴山緊張形勢
page 5	袁帶部抵鶴山邊境
page 5	中山日軍焚燬書籍
page 5	日軍在容奇搜查兩天鄉民被濫捕者四百餘名因據密報有我大批團隊混跡市內圖謀襲擊日軍
page 5	灣仔前山昨日情況灣仔難民紛紛轉回傳前山擬設難民區
page 5	南三拉伕潮遍及四鄉居民紛紛他徙
