page 1	粵桂邊區之戰局
page 2	魯省激戰斃日五百
page 2	安淮日軍突圍被殲
page 2	鄂中日軍四出竄擾
page 2	隴海路日軍車撞毀
page 2	豫北日軍困守據點
page 2	湘北我軍屢襲日後
page 2	沁陽博愛時有接觸
page 2	渝各機關徘徊歡迎南洋慰勞團陳嘉庚等定廿六日由仰飛渝
page 2	一個法官之死二紀念郁曼陀先生
page 2	中條山附近連日仍有激戰晉南日軍犯稷王山受創右口莊我設伏毀日軍車
page 2	德　襲擊商輪挪威向德抗議
page 2	給伊普拉城移交蘇聯管治
page 2	重慶流行汪連鎖函汪姊不容於鄉人張敬廬悔禍自殺
page 2	粵省當局決施行新縣制曲江定四月一日實行其他各縣將先後實施
page 2	傳比以煤供意又向德國購煤
page 2	重慶各界追悼蔡孑民到黨政軍首長等共千餘人
page 2	中執監會祭文
page 2	國民政府祭文
page 2	綏西我攻入五原巷戰邕欽路兩側戰況仍烈瓊島日軍四出肆虐為我截擊
page 3	北歐同盟恐已難成事實蘇德對此均表示反對挪瑞兩國亦恐惹糾紛
page 3	東亞新秩序與民族主義
page 3	傳英正研究內閣改組問題此後工黨或有加入之可能
page 3	德指英機侵入比境比方予以否認
page 3	研究院評議會閉幕下屆評議員經已選定翁文　朱家驊胡適當選院長候補人陳煥　姜立夫等當選第二屆評議員
page 3	德國外交計劃已露失敗徵象
page 3	建築砲壘
page 3	瑞典積極備防
page 3	美向遠東及南美購軍用原料九百萬元其中以錳錫礦石英等為多目的在預備非常時期之用
page 3	德機數架尋覓商輪飛近薩蘭東海島
page 3	法新內閣舉行首次會議各新任部長已到部視事
page 3	斯爾特島被炸損失確實重大前傳並非過甚
page 3	德奧達爾河有一堤壩崩決哥林親往視察災區
page 3	匈總理將與意相會議
page 3	傷兵陳忠里節衣縮食捐金慰勞前方將士
page 3	蘇正式否認莫洛多夫訪德
page 3	波蘭武裝漁船有六艘歸英國
page 3	與日支新關係調整要綱
page 3	德意蘇同床異夢在巴爾幹爭雄各欲擇其垂涎小國置于本國控制之下
page 5	新鶴路木塱之劇戰
page 5	河口日艇頻窺海口
page 5	中山八區昨有砲戰
page 5	戰區婦女韶收容四千餘按年齡性別安置
page 5	日海陸空三面威脅下小欖大　等地淪陷經過南頭墟舖店被焚一空
page 5	恐我軍反攻
page 5	扼守各據點
page 5	變相之偽軍
page 5	第一游擊區實施反封鎖計劃在螺洲門西部設檢查處
page 5	游擊隊襲九江救出婦女焚日部隊
page 5	增城西北迭有劇戰日圖向我抄擊不逞
page 5	省行分支行處收兌金類
page 5	教廳救濟戰區退出學生東江南路各縣紛請增加貸款
page 5	粵省黨部指示農運工作要點各鄉鎮須成立農會發動農民婦女加入
page 5	省府組探礦隊分赴各縣探勘礦源盡量開發礦藏獎勵華僑投資發展民營礦業
page 5	內河交通仍感阻塞船隻航行多被日艇追擊
page 5	香翰屏督師剿日偽軍南頭大新街相繼收復擊絲偽軍二百餘俘獲數十名其餘狼狽下日艦向太平竄去寶安縣府派員入南頭辦善後翟副司令對記者談大捷經過
page 5	縣府公佈作戰經過
page 5	縣長派員趕辦善後
page 5	由縣政府發出第二次之捷報
page 5	翟司令對記者談話
page 5	各難民已陸續回鄉
page 5	鶴山情勢仍緊張我軍向新鶴路猛攻以牽制日軍側翼中山八區方面昨有砲戰斗門仍安謐日軍已開放前山但不准各國貨物入口
page 6	日艇四出窺伺
page 6	犯舊三水中伏
page 6	黃塘我軍出擊
page 6	粵省普遍推行節約建國儲蓄運動各縣市限四月底成立支會四五兩月份內大規模勸銷
page 6	推行辦法
page 6	競賽獎勵
page 6	勸銷兩月
page 6	寶安沙井鄉鄉公所來函
page 6	西江日軍謀蠢動犯舊三水之激戰日艇連日窺擾馬房各地黃廉我軍出擊衝入木棉
page 7	會場布置
page 7	到祭人物
page 7	致祭秩序
page 7	總裁祭文
page 7	致開會詞
page 7	國府祭文
page 7	各界祭文
page 7	同鄉祭文
page 7	北大祭文
page 7	輓聯擇錄
page 7	防癆會已成立首次執委會定期舉行
page 7	鹹水魚價飛漲澳魚菜運港仍少
page 7	天南何處送魂歸各界追悼蔡子民先生羅旭和為主席代表全港僑胞致祭國府派許崇智蔣總裁派陳策參加
page 8	港日封鎖
page 8	燈火熄滅
page 8	蔡孑民先生之言行一
page 8	一政治方面
page 8	電話用戶無減輕負擔希望新例將　立法局通過
page 8	溢利
page 8	新法
page 8	影星李綺年昨招待文化界報告南渡之原因與希望
page 8	廠稱會派員赴澳調查逃難學生實況將以舊存捐款撥出振救婦女慰勞會又收到捐款
page 8	今日繼續賽馬
page 8	法向港廠家訂購大批軍衣內衣三百萬餘件
page 8	粵僑救濟桑梓會　並擬舉辦義映義唱籌款
page 8	連日大搜毒窟二十餘人被拘究
page 8	開本港新紀錄保險銷貨場出現
page 8	下月燈火管制規模宏大東西港口一律封鎖由日落起至翌晨日出止所有船隻一概不准出入
page 10	建公盃乒乓賽獎品今日陳列
page 10	港澳埠際賽港聯勝六對三張金海中三元阜拉北華立功上半場四對一下半場二對二
page 10	今日國際杯決賽中國隊有三聯錦標望蘇軍前鋒堅銳不容忽視我軍壁壘森嚴勝券可操
