page 1	五次參政會與憲政運動
page 2	偽華北政務委會並不與汪合作在王逆克敏把持下現仍保持獨立狀態
page 2	駐外使節聯電討汪
page 2	滬市各界斥偽組織
page 2	美不承認汪偽政府
page 2	中條山上的小戰士
page 2	豫東豫北我軍均獲勝利雎縣東南斃日軍二百餘名撲攻博愛炸毀日機車機件
page 2	綏西前線日軍俘虜稱日軍反戰情緒甚濃厚惟因處於軍閥淫威之下未敢有大規模公開活動
page 2	浙西日軍擾犯上柏被我騎兵夾擊
page 2	林主席演說灌成臘片即運各地播放
page 2	德機飛近薩蘭島被英機所擊退
page 2	楊光泩赴菲各地攷察巡遊各處中菲人民感情極好菲人亦均同情於中國之抗戰
page 2	南僑團兩團長拜謁吳陳報告南洋籌賑工作
page 2	豫東我軍衝入淮陽城邕欽路日軍西犯受創綏西潰敗日軍一部被我全殲
page 3	日本米荒內在因素
page 3	菲律濱仍須要求獨立獨立法案確不能再檢討
page 3	法海陸空軍百領舉行會議
page 3	日本九州二次大火燬房屋百餘所
page 3	對蘇德意同盟英報謂已無望並謂蘇將取獨立態度
page 3	英政府並未有意改變遠東政策倫敦星期時報之評論
page 3	美海軍演習範圍大致以夏威夷為中心但有擴展到菲律濱可能
page 3	昆築有線電話業已完成
page 3	美海長愛迪生反對美組兩洋海軍主張仍在太平洋維持單一艦隊
page 3	英駐日大使赴美純係私人性質
page 3	邱吉爾發表廣播檢討戰爭情形此次戰爭恐難望短期內結束英法必須加緊努力應付劇戰
page 5	新隆那彭展開血戰
page 5	舊州日軍悉被殲滅
page 5	指出日犯扶南企圖
page 5	江會戰事一度劇烈昨又轉趨和緩大沙一帶日軍盡撤八區陣地更為穩定
page 5	大沙日軍退後情況
page 5	中山日軍繼續減退
page 5	日圖恢復內地交通
page 5	嚴防日軍西犯我軍增防西江南岸先反攻江門粉碎日陰謀西江各縣軍攻　合會議
page 5	全部開入西江
page 5	軍政聯合會議
page 5	桂省柳全線組傷兵照料站
page 5	我團隊仍在順德活躍容良各地日軍加緊戒嚴大良日軍趕築工事近並下令清查戶口
page 5	近據容桂兩地情報
page 5	警告市民勿買日貨
page 5	清查大良全市戶口
page 5	石龍日偽軍分擾各地被擊
page 5	日軍謀劃中順為練兵區
page 5	統一商運檢查減少運輸困難流通商貨在各地設聯合檢查所
page 5	靈山日軍次第肅清我軍血戰欽東各地我追擊部隊跟蹤攻入欽東欽邕線日軍東竄掙扎日擾扶南我軍分兩路迎擊中
page 6	當地鄉民奮起抵抗
page 6	奮起迎擊發生激戰
page 6	南海偽公署迫各鄉成立偽綏靖會日軍四百擾官山
page 6	全國民眾須受戰時訓練省府飭各縣市辦理
page 6	候用公務員招待所已成立登記者達百餘人
page 6	北路花從間之戰情日圖擾花縣十八嶺被殲從化我軍攻入螺網燕塘日偽發生火
page 6	衝入螺岡墟
page 6	再犯花縣城
page 6	蕭崗日偽軍
page 6	省府電覆寶安縣府准免稅洋米進口濟民食額定二萬公擔由米商購運
page 6	石龍日軍壟斷航權詭謀接駁各處交通圖繁榮佔領區
page 6	粵動員委會加緊動員工作各縣動委會設專任秘書
page 6	粵軍民合作之成績動員民眾破壞公路築工事普遍組織民眾義務輸送隊
page 6	破損鈔票中農兩行收換
page 6	省行收兌黃金各縣將開始辦理
page 6	禺南靈山爭奪戰之激烈
page 6	嶺東最近戰訊日艦艇窺擾意溪企圖登陸我已嚴防日偽竄擾蘇南受創
page 7	頒佈辦法
page 7	僑團響應
page 7	大批魚菜到港市價可望回跌
page 7	中山僑商會籌辦教育月會推行義教及辦中學
page 7	四會振濟會昨日開始募捐發出宣言籲請同鄉捐助
page 7	澳輪增加貨物運費昨日議決今日實行客票價格亦擬增加
page 7	荔枝角區擬建公園泳池
page 7	汛美機未到港
page 7	國產外銷激增本港已成出口總匯
page 7	集中本港
page 7	主要貨物
page 7	劉景清氏勗勉小販
page 7	粵救護會代表演說
page 7	大新公司亦決提早收市
page 7	旺角小販會舉行成立典禮第一屆職員宣誓就職
page 7	市虎噬傷兩人
page 7	白晝防空演習月底將再舉行
page 7	孫蔣孔三夫人昨飛渝推廣傷兵之友運動港傷兵之友運動會昨已成立孔夫人為名譽會長伍夫人為主席
page 8	汕尾日艦肆虐貨艇五艘齊起抵抗鏖戰一小時各死傷十餘人貨艇卒被劫日輪一艘沉沒
page 8	貨艇五艘奮起抵抗
page 8	追捕漁船日輪觸礁
page 8	去月所得雨水破卅五年紀錄
page 8	記者學會電祝總會二週紀念
page 8	天主教徒可拜孔子天主教廷最近之通令
page 8	苦幹中的學生救濟會
page 8	桂救濟粵米荒大批白米運粵推銷
page 8	番禺會所聚會
page 8	夏季一元馬票定下月廿五日開彩
page 8	歌詠初賽結果曹碧霞等入選
page 8	減租運委會六日成立昨夕全體委員舉行聯誼會
page 10	東方後來居上榮膺銀牌錦標三比二壓倒老盟主東南大戰答案揭曉
page 10	南
page 10	東
page 10	南華體育會主辦全港學校運動籌賑災會中四月一日開始報名十五日止截希望各學校踴躍參加共襄善舉
page 10	甲組銀牌新盟主今日出戰九龍會
