page 1	北歐陸上戰
page 2	茅津東北地區展開激烈血戰翼城日軍向　蠢動受創稷山日軍犯青壁峪慘敗
page 2	日輪大德號失火沉沒起火原因不明
page 2	渝徵求傷兵之友成績已超過預定計劃人數共達七十萬四千七百餘人捐款共一百三十三萬二千餘元
page 2	晉西日俘虜供日軍反戰甚烈國內兵源枯竭軍閥惶恐萬狀
page 2	教部籌設女子師範學院
page 2	陳光甫謁赫爾辭行歸國
page 2	淮陽日電遭我痛擊
page 2	菲僑劉浮初毀家紓難政院將頒發獎狀
page 2	我軍進襲邕江南岸
page 2	西線劇烈空戰德機被擊落四五架
page 2	盤據漢日偽與汪暗鬥甚烈
page 2	滇川桂長途電話開放營業
page 2	浙我西軍奮勇迎戰
page 2	嘉陵江上明永客輪沉沒搭客百五十名獲救者六十名
page 2	荷蘭各地宣布戒嚴捕獲嫌疑人多各
page 2	印度回民又起械鬥
page 2	五次國參會閉幕蔣議長休會詞全文二
page 2	贛北我軍佔領三要點乘勝克復西山萬壽宮再克安義城殘日向修河北岸潰退
page 3	巴爾幹局面情形極為複雜匈牙利與意已有密約南國最近向蘇聯獻媚
page 3	蔣委員長嚴禁公務員應酬宴會制定取締辦法訓令切實執行
page 3	太平洋現狀不致有何危險荷印防禦力量足抵抗侵略倘日本勞師遠征實非容易
page 3	英下年度預算案將向國會提出西門將勸告全國人民負擔較重之賦稅及債
page 3	法原與意解決懸案
page 3	法政府戰時財政健全
page 3	英空軍開始打擊德軍空中運輸猛擊在挪丹德空軍根據地各機場有德機多架被擊毀
page 3	渝市各界舉行歡迎南僑大會
page 3	教部攝製教育影片六種短期即可完成
page 3	英老政治家勞特特喬治初任議員五十年紀念勞對時局有無限滄桑之慨一年前世界地圖大為改變
page 3	柏林各報頌揚希特勒之態度
page 3	羅斯福總統對民主黨之青年演說主張推選一自由民主黨員為下屆總統選舉候補人
page 3	外藉機多架飛過比境一架德機被擊落一法機亦被迫降
page 3	日本窺伺荷印與對南洋陰謀四
page 3	挪威大戰在開展中援挪法軍分地登陸且已參加作戰德倫的英德軍將取守勢以待聯軍
page 4	傷兵之反運動聲中吳楚帆慨捐國幣百元
page 4	乾隆下江南觀後
page 4	番生武松新靚就南洋演武技打來落花流水五光十色　圖影場椅飛檯翻凳爛
page 5	三路激戰我軍進展
page 5	那馬我軍攻入吳村
page 5	沿海各地俱告安謐
page 5	英德煙民戒煙成績
page 5	日軍仍伺機北窺安籐新街召集會議日軍進犯岐山村被殲廣花線我襲蕭崗奏　
page 5	日酋會議商新詭謀
page 5	日艦迭向南頭窺伺黃松岡舖屋被日偽焚燒我團隊將日偽擊退寶安縣府派員善後
page 5	軍委會政治部獎中大服務團梁定意籌募有功
page 5	黃松崗墟舖屋被焚
page 5	東路貿易交通線之溝通
page 5	日艦迭到南頭窺伺
page 5	寶安縣府會同總務各機關整理邊界緝私之辦法檢查行旅禁止苛擾
page 5	整理檢查行旅
page 5	嚴懲包庇走私
page 5	兩路向岐山村進犯
page 5	忠勇馬伕殲日受賞賞二百元連升三級
page 5	潮安已成拉鋸戰日犯意溪被擊郎丘山日軍中伏古巷爭奪戰激烈
page 5	秘密運到台灣訓練
page 5	徵兵辦法分為兩種
page 5	日在順德大捕人民運往各地訓練強迫當兵變懷柔為強暴人民多受慘禍
page 5	日迂回邕武路失敗
page 5	欽邕公路全線緊張我三路猛進撲日陣那禁那通等地悉為我收復甘墟龍墟伊嶺亦全無日蹤粵南日軍蠢動不逞反遭重創
page 6	不得阻撓留難
page 6	統一檢查辦法
page 6	商店改組歇業所得稅稽征辦法
page 6	旅暹華僑回國在廣州灣組工業合作社各方撥款協助規模頗大
page 6	綏署令飭嚴密查緝偷運鎢砂無資源會證照一律扣留
page 6	南路米價稍告穩定當局傾全力設法抑平羅翼群電請廣州灣紳商予以協助中央振濟會調查員澈查米貴原因嚴厲取締奸商操縱決以軍法從事
page 6	羅氏電廣州灣紳商
page 6	各縣派員赴港購米
page 6	內地米價稍告穩定
page 6	第四戰區長官部統一檢查商貨各地設所聯合迅速檢查暢流商貨到達市場銷運
page 7	起火時曾發出巨響
page 7	起火原因言人人殊
page 7	九龍消防隊總動員
page 7	灌救得力不致蔓延
page 7	日火柴賤價運港傾銷港澳火柴商共謀應付成立聯營公司奮起競爭英葡各屬土銷場已好轉
page 7	日本缺乏赤燐白藥
page 7	姚錦新女士鋼琴獨奏將在半島酒店舉行
page 7	紅　字會新會所明日行開幕禮
page 7	勷大旅港澳同學會昨成立
page 7	三院招考護士昨日舉行筆試
page 7	鐵枝下墮擊斃路人頭顱破裂腦漿迸出死狀極慘
page 7	工團踴躍參加傷兵之友
page 7	旺角晏加街昨晚大火捷和鋼鐵廠全間被焚起火時曾發生爆炸聲損失估計二十餘萬元
page 8	破獲基隆街劫案詳情被告　人定今晨提訊
page 8	事主認識賊黨面目
page 8	贓物一部經已賣出
page 8	疑犯五人今早提堂
page 8	九龍城建公廁反對各可入稟布政司署
page 8	大潭水塘改用新抽水機
page 8	羅宗堂視察僑港學校
page 8	保良局下屆總理人選
page 8	汽車輾斃老翁
page 8	孟祿博士談中國已能自力更生實業建設有驚人進展不須全賴外國之幫助
page 8	義風社昨成立
page 8	中澳僑務協會昨開聯歡大會
page 8	澳魚菜續運港澳政府取消出口禁令
page 8	婦慰會募捐訊
page 8	新填地街搜出贓物
page 8	二人到訪先後被捕
page 8	海盜劫貨艇槍殺一命劫去果品及現款共數千元
page 10	東方菲島歸鴻
page 10	學運籌賑會參加者甚踴躍公開表演仍可切除隨時參
page 10	昨日足球表演賽南南顯出冠軍本色二比一擊敗港聯隊
page 10	中華游泳場下月一日開放
page 10	今夕中青女籃大戰菲隊二次出師協會娘子軍上火線工力悉敵定有看頭
page 10	南華複選結果
