page 1	德意與東南歐
page 2	日軍分路向南蠢動晉省東南展開血戰我軍以堅強之部署予日打擊被我阻遏商平附近退進不得
page 2	中條山麓痛殲日軍
page 2	芝城華僑義舉救濟粵北難民慨捐國幣十萬元
page 2	渝電影界勞軍總裁傳諭嘉勉
page 2	津棉花倉庫發生大火損失五十餘萬
page 2	獻子卹金勞軍王文仁忠義可嘉
page 2	平綏路日軍車中我地雷全部車物被毀
page 2	阿部抵滬傳已赴寧
page 2	發還華方財產諾言日方無意實行偽道部長傳逆啼笑皆非大呼上當潛赴滬不返南京
page 2	贛北我軍各路均有進展錦江北岸殘日為我掃蕩我攻丁家塘東北日陣地
page 2	高塍鎮一帶發生戰事
page 2	教部設置中正獎學金辦法業經公布
page 2	太平洋氣候惡劣美艦演習困難
page 2	在英倫海峽英輪觸雷沉沒
page 2	德艦五艘越入瑞典水界
page 2	高師教育會議明日開幕
page 2	英伊煤油公司賣煤油於日本英眾議院開會議員提出質問與日交易使美國生不良印象
page 2	長江下游航運仍為日輪獨霸外輪被迫停駛
page 2	陳公博將任粵偽主席彭逆任偽廣州市長
page 2	日名古屋豐田紗廠被焚損失達五百萬日圓
page 2	浙東我軍進攻姑娘橋
page 2	豫東我軍克復淮陽另一部衝入朱仙鎮我軍衝入開封城日方亦已承認
page 3	英法空軍轟歐士勞
page 3	挪威南部正式開戰
page 3	丹挪海峽發生海戰
page 3	英財相西門提出二次戰時預算共計二十萬萬鎊金又報告一年來財政狀況
page 3	美上議員提議視察日代治島證明是否有軍事防禦設備以決定關島是否應該設防
page 3	英法聯軍繼續登陸
page 3	保國愛仙干州發生劇烈地震
page 3	德商船十四艘避入渣華港日英艦在外窺伺
page 3	英國準備對付德軍侵入德軍善於持傘下降
page 3	法國人士憂慮德侵瑞典瑞典本身已有充分準備德如侵瑞聯軍必為瑞助
page 3	美亞洲艦隊總司令談菲獨立問題菲徒在岸上築固定炮壘實不足抵禦海上侵略者
page 3	德商務代表團已抵瑞京
page 3	聯軍舉行第八次最高軍事會議挪威波蘭代表亦有參加交換一般軍政問題意見
page 3	南國逮捕德僑德已提出交涉
page 3	美上議員格拉克攻擊多昔大將謂其作聳人聽聞言論政府應對軍法審訊之
page 3	英成立空軍委會
page 3	挪威中部展開劇戰雙方爭奪歐士勞之一出入孔道德倫的英以北英德兩軍對峙中
page 4	人面獸心楊工良向林麗萍施強暴
page 4	美威絲重現色相
page 5	日艇騷擾鶴山海口
page 5	江佛線昨仍有接觸
page 5	日禁中山壯丁出口
page 5	陳村附近河面之盜風日輪在石壁河面被劫日軍軍營糧食悉數被奪搭客被劫財物所值甚鉅
page 5	軍委會公佈軍風紀巡察團任務督飭官吏促進軍民合作檢查文武官佐貪污事件
page 5	我軍靈山捷後譚啟秀之擢升
page 5	三水日軍大戒嚴強捕鄉民慘殺廣州　派員指示鎮壓反戰
page 5	中山傀儡戲已開演歐某任偽行政專員安藤派參謀長監誓
page 5	全省劃四區設立軍民合作支站各縣亦組設分站全部計劃已擬就
page 5	粵省行政會議五月初間可開幕
page 5	一死一傷
page 5	觸簧爆炸
page 5	深圳邊界蔡屋圍村日軍遺彈爆炸死傷三人鄉民遊人今後來往注意
page 5	加強抗戰力量全民組訓
page 5	鄉民注意
page 5	新開新鶴戰事沉寂中日艇突擾鶴山海口我團隊亦乘夜進襲李村日軍局部開放中山邊境仍禁壯丁出口準備征兵
page 6	一切計劃實施
page 6	省府嘉獎翁源義士王會樞捐糧助軍何叔平撫警衛民
page 6	日機一架昨飛深圳窺察
page 6	寶安　稅洋米購運入口手續先請縣府發證書交九龍海關驗收
page 6	李主席在興寧召開糧食會議龍川巡官警佐溺職撤差記過首批湘米東運組四邑運糧會
page 6	在興寧開糧食會議
page 6	四邑同鄉救濟糧食
page 6	黨務會議改期開幕
page 6	派撥車輛接濟運糧
page 6	奧財廳貫澈實施本年度計劃顧廳長勗勉各屬員淬礪工作各縣稅收增加具見整理成績
page 7	星華工入口額有增加希望
page 7	六月再舉行燈火管制事前擬不宣佈日期
page 7	美艦由菲來港大小共十一艘
page 7	留港挪輪准予復航昨日離港者已有數艘
page 7	今日為安薩節澳紐籍軍人行紀念禮
page 7	粵救護會港分會之委員省府昨已正式發表
page 7	戲院及學校應放映防癆片防癆會將自行攝製去週癆症百七十宗
page 7	銀業界聯誼會今晚開座談會聯絡感情檢討過去工作
page 7	商賑會勞軍餘款再撥匯中央二萬元撥匯粵省振會萬六千餘元
page 8	聖保羅女校銀禧紀念新舊員生數百人行祝壽禮李作禮捐巨款紀念其夫人
page 8	行祝壽禮
page 8	港督演詞
page 8	開紀念會
page 8	被拘德僑全體離港移押之地點不便宣佈
page 8	藏軍火案判決四被告罪名成立
page 8	林祥興鐐林興案宣判陪審員一致認被告無罪
page 8	開本港新紀錄保險銷貨場出現
page 8	捐金購債彙誌
page 8	大隊警探搜榕樹灣恐海盜藏匿其間
page 8	港廈航運增費由五月一日起
page 8	中國文協會舉辦話劇比賽歡迎各校劇團參加
page 8	拐帶案昨開審
page 8	中國經濟學社留港社員會議
page 8	聖馬利亞堂開慈善賣物會
page 8	澳門電力公司獲利三十餘萬再增股本擴展業務
page 8	車輛失事統計去週死五人傷二十三人
page 8	少婦投海遇救
page 8	冒差行騙疑案
page 8	酒家響應傷友運動
page 8	林風眠畫展展期
page 8	窮人何以為生本港物價飛漲不已較去年春季平均約漲三分之一出入口貿易統計署昨正式公布
page 10	健　室高朋滿座爭看港星勝仗廿七比廿三菲女隊敗績男表演賽星島力挫南華
page 10	東方足球隊昨日凱旋在菲七戰僅一負成績甚佳
page 10	東方菲島歸鴻五
page 10	甲組足球補賽雛鳳輕取兩分二比一勝南南
