page 1	開發西北與合作事業
page 2	我佔汴垣三分之二城內激戰甚烈日偽被殲達二分之一馳汴增援日軍遭伏擊
page 2	比滑翔飛行家在渝表演
page 2	古巴僑胞踴躍捐輸
page 2	日機四十八架襲渝近郊又在瀘州投彈
page 2	日在東京沿海築大機場經費一千萬元
page 2	洞庭湖日艦受創
page 2	灣沚日軍犯西河鎮
page 2	北海口外日艇擾擊漁船
page 2	可泣可歌之五原民眾助戰紀述農民全體出動以作嚮導王逆之弟勸兄倒戈殺日
page 2	文藝獎助金委會開第一次會議
page 2	南昌日軍為我控制贛江東岸沉寂
page 2	冀南我軍攻入邢台
page 2	太原日軍蠢動被擊
page 2	日軍部企圖以激烈手段平抑物價實業界人士引為隱憂恐此舉釀成有害惡米
page 2	豫北我軍進擊獲勝
page 2	汪召集土匪組織偽軍
page 2	海外討汪續聞
page 2	川公路特別黨部五月一日成立
page 2	漢口岳陽間日軍運輸頻繁
page 2	晉東南日傾巢南犯我大軍分六路迎戰陵川附近日軍被圍全部被殲高平附近一帶我日炮戰甚烈
page 3	歐士勞渝陷經過挪威軍官通敵所以渝陷迅速
page 3	英國勞工黨對於此次歐戰意見
page 3	名作家林語堂離美返國昨抵岷尼拉
page 3	項挪聯軍逐漸縮小挪威克包圍圈南薩斯以南發生激戰德軍一團糧絕已投降
page 3	德機襲擊士加巴河並未傷害人命
page 3	美陸軍定期操機械化戰術禁外國武官參觀
page 3	德佔史丹克扎爾鎮
page 3	德在挪委出政務官
page 3	侵挪德軍損失萬餘
page 3	英報注意北歐戰情
page 3	英法聯軍逐日加強
page 3	德軍抵達谷邦附近
page 3	德倫的英德軍反攻
page 3	挪威對德決不屈服
page 3	青島米村公司發生大火全廠林材被焚損失百萬以上
page 3	中國在遠東必居領導地位郭泰　在英之演講
page 3	都柏林堡第突有炸彈爆炸
page 3	德意雙方獲得諒解德將實行侵略瑞典希特勒亦滿足意對巴爾幹之要求蘇在羅馬尼亞邊界附近趕築砲壘
page 4	土豪惡霸不易　楊工良傷頭突然暈倒
page 5	偽軍圖佔整個婆羅島
page 5	偽軍侵入灣仔之情況
page 5	千後偽軍再犯馬騮洲
page 5	各地輪渡昨日均停航
page 5	中山馬角海面日艦騎劫三埠輪渡兩輪被擄兩輪脫險傷斃卅餘人澳門三埠交通昨日起又告停頓
page 5	西江四邑米荒嚴重當局會議救濟續詳省府電飭集資赴港澳購洋米西江各倉存穀運赴三埠調劑四邑旅美僑胞捐款舉辦平糶
page 5	西江舉行糧食會議
page 5	省府電飭購運洋米
page 5	旅美僑胞捐資救濟
page 5	台山限期推出積穀
page 5	擊破邕寧四週外圍
page 5	欽西我軍續有斬獲
page 5	各縣游擊地俱建成
page 5	桂南日軍迭受重創我軍血戰十萬大山中邕寧受包圍情勢極危急大寺被困日兵悉數解決日軍一股竄那間之激戰
page 5	日機又頻頻偵察鯊魚涌
page 5	日人獨霸順德市場統制蠶絲輸出之毒辣其他蔬菜鮮魚雞鴨等類祗准運赴廣州及淪陷區
page 5	廣州市郊日軍運甚忙碌偽中央教導團抵粵駐防沙河
page 5	第三游擊縱隊暗渡增江襲擊日偽日機在東路肆虐報復
page 5	渡增江襲日偽
page 5	日機報復肆虐
page 5	偽軍昨晨再佔灣仔先後又佔馬騮洲關卡葡印警已退出灣仔
page 6	廣東省政進展情形一切措施均與戰時有關本苦幹精神獲良好效果
page 6	組工業合作社救濟征人家屬
page 6	游擊隊在佛山散放傳單勸日偽反戰投誠
page 6	廣西籌設全省合作金庫資金暫定一千萬元
page 6	兩廣鹽務重新整理改組兩廣鹽務管理局另設立粵東粵西兩局顧建中陶守賢任局長
page 6	防範日機瘋狂轟炸粵防空司令部告民眾書在血肉的教訓中加深抗戰情緒防日機空襲慘酷避免無謂犧牲
page 7	通過新例嚴禁吐痰
page 7	立例示禁猶冀自悟
page 7	戰稅法案三讀通過
page 7	菲粵僑慰勞團抵港本月杪赴韶晉謁李主席
page 7	積極推行節儲運動港分會將成立銷券已達三百萬元各省亦增設代售處
page 7	孤軍逃走被拘
page 7	前夜所得雨水一寸五分三厘
page 7	我紅十字會外國協會募捐
page 7	省港澳輪船公司去年虧蝕甚巨純因中日戰事影響
page 7	史羅斯昨返港
page 7	飛剪機昨飛菲
page 7	戰稅法案通過三讀決由四月一日起徵收禁止亂吐痰涎新例亦修正通過羅文錦望市民能自檢免干法例
page 8	僑務當局嚴防善　騙財所有回國服務團體將由當局統一辦理
page 8	捐金購債彙誌
page 8	抗戰中的中國基督教大學
page 8	業主背約迫遷案判決賠償住客損失　三千元
page 8	基隆街械劫案定廿九日開審
page 8	粵教廳將派員來港澳再舉辦失業教師登記分批護送回內地服務
page 8	全國國醫獻金港國醫界亦響應
page 8	日電船又劫漁艇艇主脫險抵港
page 8	住聯會減租運動委會通過減租辦法草案俟理事會通過即送呈政府
page 8	兇徒刺傷路人
page 8	陳述案由
page 8	病日沉重
page 8	非法墮胎
page 8	臬庭提審非法胎墮案醫生證明原告並非小產
page 8	開本港新紀錄保險銷貨場出現
page 8	何來瘀血
page 8	日艦力阻丹麥輪來港強迫開赴日本改懸日旗船長極力爭辯卒獲脫險
page 10	菲中華女子籃球隊明晚再戰協會採男子例下月一日重會女生星期一遊澳擬定表演賽兩場
page 10	征越埠際代表隊大軍　行有期本月廿八日動員東方下月再南征
page 10	學運籌賑會昨開代表大會議決開幕秩序
page 10	東方菲島歸鴻六
