page 1	學生與抗建工作
page 2	皖南贛北我均獲勝
page 2	豫南方面展開激戰
page 2	軍事發言人談晉南贛北戰況贛日反攻力量摧毀殆盡晉我佈置就緒將作總攻
page 2	我空軍飛鍾祥炸日陣地
page 2	台灣建國紀念渝台灣革命團體開茶會招待各界
page 2	美潛艇六艘抵青
page 2	經濟部通令全國嚴防日偽經濟攫奪凡戰區產業更名移轉等一律須呈請經濟部核准
page 2	體政人員講習班定期招攷
page 2	長江航運為日獨佔
page 2	與青勵社有關該社大事宣傳顯係另有作用
page 2	美海陸軍部長官發表重要演說彼等謂美國之政策在脫離戰爭之漩渦
page 2	美海軍部發表極力發展海軍現在每月所用建艦費二千六百萬金元以上
page 2	滇婦女界推定國代會候選人
page 2	渝市府明日舉行成立週年紀念
page 2	吳忠信離藏行抵江孜
page 2	駐滬英總領事勸告英籍青年若欲返國效力者宜靜候政府命令
page 2	內政部定期召開禁煙委會常會
page 2	晉南我軍奮力追殲迫近壺關進薄長治豫南展開激戰皖南我克復南陵
page 3	聯軍艦隊抵地中海東部張伯倫在眾議院報告英法艦隊地位已強化
page 3	瑞典開始與蘇聯舉行商務談判德國專使亦已抵瑞京勸瑞對彼勿過於疑慮
page 3	英方宣佈聯軍退出挪南英議院下週討論戰事各方望政府再加解釋
page 3	德意早已商定作戰計劃先由德著手侵入挪威意在地中海繼續動作
page 3	英蘇商約談判蘇已致英覆牒
page 3	土羅將舉行商務談判
page 3	挪威方面仍望聯軍援助聯軍撤離安達爾士尼挪威克仍被聯軍包圍
page 3	美購買白銀問題擱留下會討論
page 3	挪王遷居某地離安達爾尼士不遠
page 3	日皇日后接見西里夫婦
page 3	意美討論美國航務問題美向意表示意若參戰美輪停止來往地中海
page 3	改換圖章啟事
page 3	巴爾幹風雲更緊英勸羅速求援助倘意參戰西表示仍守中立英法土軍隊現已充分準備
page 5	日艇進擾八區白蕉
page 5	順屬義軍紛紛成立
page 5	日偽在順屬之騷擾我團隊民眾奮起襲擊
page 5	屬邊區東西馬寧海面
page 5	大良日軍
page 5	軍委會派員推進傷兵之友運動
page 5	日圖劃中山為練兵區強迫各鄉編自警隊縣內交通已復惟禁貨運出口
page 5	粵省當局救濟失業教師省振會再派員前往港澳辦理
page 5	中山最近開放情形
page 5	韶關成立空襲急救濟處
page 5	韶關米貴風潮平復官民合力推行積極消極救濟
page 5	韶關槍決劫匪
page 5	鹵獲日人文件給與獎賞標準
page 5	尊重區鄉鎮長毋得任意為難省府通令各縣並呈第四戰區辦理鄉鎮長等因公傷亡給　辦法到粵
page 5	辦理軍差諸多為難
page 5	因公傷亡給卹標準
page 5	擴大全省節食運動興寧縣府職員捱粥
page 5	桂省更調各縣地方法院院長
page 5	西江下游各線戰事仍沉寂日艇擾中山白蕉擄劫貨船順德我義勇軍迭襲日偽中山最近所謂開放情形灣仔偽軍之群狗爭骨一幕
page 6	神崗日軍再犯大崗
page 6	戰地自衛隊延期歸休並准免參加抽籤軍管區飭屬知照
page 6	廣州大學慰勞隊已抵韶向各長官獻旗
page 6	第四戰區長官通令統一檢查運權責原有軍政警檢查機關一律撤銷
page 6	財部規定粵省桐油購運辦法
page 6	北江下游日機逞兇
page 6	佛山我便衣隊乘夜襲偽警署
page 6	省府轉頒縣銀行組織法
page 6	禺北團隊襲擊龍湖
page 6	從化日軍犯大崗墟麵房被擊退廣從沿線奸究活動我已嚴防清遠山塘河面日機狂炸民船
page 7	葉恭綽談廣東叢書編印計劃第一集約廿冊年內可出版內容多屬粵民族英雄遺著
