page 1	蘇聯與德意
page 2	晉南我軍進擊夏縣晉城外圍戰事仍烈
page 2	豫南西犯日軍後路被我截斷一部在明港被包圍一部在小林港被擊
page 2	紀念勞動節要實行鋤奸加強反侵略的力量向全國勞工們講話二
page 2	南京城內共有七派莫不同床異夢預料必有火併
page 2	滬學生總會通電討汪
page 2	日抗議香港禁鎳出口
page 2	汪偽組織出賣國人產業供日方經濟獨佔
page 2	渝市舉行七屆集團結婚參加新夫婦廿四對
page 2	羊樓司西南日軍被殲
page 2	滬學生總會電蔣總裁致敬
page 2	邕欽路我軍斬獲甚眾南寧西側我軍活躍
page 2	渝各界昨紀念五五
page 2	檀島僑胞集資回國墾殖
page 2	滬各校紀念五四節
page 2	津浦路我游擊隊活躍
page 2	英海軍贈一艦於波蘭
page 2	鄂北日軍大舉西犯隨縣附近發生激戰晉張茅大道東側殘日次第肅清
page 3	地中海戰雲密佈聯軍艦隊雲集美觀察意不久即參戰　戰範圍之擴大難免
page 3	脫離羈絆告滬親友書
page 3	挪威中部德軍深入湖沼地帶挪軍準備繼續作後衛戰掩護挪軍退至瑞典邊界
page 3	意極極力排聯軍報章盛誇軍備意謂有八百萬之軍隊已準備採取軍事行動
page 3	五權憲法與國民大會一李文範在中樞紀念週報告
page 3	德軍已開入南薩斯
page 3	聯軍在挪失敗經過
page 3	各國挪軍紛紛解散
page 3	英准挪輪航行範圍
page 3	英國各黨派不滿現閣
page 3	倫敦各種債券市價疲弱
page 3	德向瑞典要求賒貨於德戰勝後付款
page 3	古　買入金條支撐貨幣
page 3	來往英倫海峽比輪展期開行
page 3	希臘民間限制物質銷耗
page 3	天成錢莊經理邱如玉被綁架
page 3	羅禁輪船在多瑙河夜航
page 3	準備與聯軍對抗意備戰計劃完成開支八十萬萬里拉實施國防步驟蘇聯黑海艦隊亦聲言作非常準備
page 5	三澳交通昨續試駛
page 5	我軍夜襲佛子　站
page 5	日在廣州趕練偽軍偽兵不堪苛虐紛紛逃亡因檢查與日憲兵衝突被擊斃三名捕去二名
page 5	調查華僑回國服務團體
page 5	粵路我軍出擊江村襲太和市一度衝入江村近郊廣從線日糧械被焚
page 5	我便衣隊襲大良日哨兵焚毀西鄉公所擊斃日兵數名
page 5	綏署總部趕辦撫卹事務
page 5	分路猛襲江村
page 5	三水西南日貨偷運傾銷我方設所嚴緝清查商店貨品
page 5	廣從路太和市
page 5	日艦又擾天河不逞
page 5	救濟東路米荒軍政聯合議之要案昨五日在惠陽開會
page 5	中央通令徵集僑胞忠義事蹟
page 5	粵南戰事日趨緊張我軍乘勝續迫小童我機飛桂南散放傳單邕寧糧食恐慌極嚴重
page 5	鬱林貴縣演習清野
page 5	我突襲欽邕線日軍
page 5	日砲兵狂轟鳳凰墟
page 5	省府通令各縣嚴禁包運日貨入口各處如再發現日貨即惟該管機關是問
page 5	粵教養院團聯席會議閉幕
page 5	圖擾扶南卒被擊退
page 5	日又轟炸三埠市情未受影響三澳輪渡昨日又繼續試航我夜攻佛子　燬日彈藥庫日艦圖犯天河被我軍擊退
page 6	向犯南社日軍轟擊
page 6	粵省促進合作事業各縣組合作促進會宣傳策動民眾參加
page 6	日艇向赤灣窺擾被我當地守軍擊退偽軍出沒赤灣行劫商旅我團隊往剿偽軍已散去
page 6	桂省各縣設各處遞運站
page 6	戰時貿管處設龍州貿易處
page 6	又即竄入企石墟內
page 6	登記公務員經已審查完結
page 6	卸惠陽縣長劉秉綱突由紫金奉召回惠現留惠城候省府令
page 6	日軍擾犯南社企石等地所到均搶奪糧食被我保安隊擊退
page 7	因國幣跌價影響各縣尚未運洋米入口成本太貴免稅亦難化算惠博東寶召開糧食會議
page 7	東江各縣糧食會議
page 7	中區白畫防空演習防空當局已定本月底舉行
page 7	欖鎮會撥款救米荒
page 7	各縣辦運暫時停頓
page 7	戰稅局之通告應納稅者注意
page 7	苦力百餘人大打架發生於九龍倉外傷二人
page 7	古瑞庭將南渡籌款救濟難民
page 7	油麻地破獲拐賣人口機關起回男女童卅四人捕獲嫌疑拐匪多名
page 7	騙匪買物行使半邊紙幣事敗被捉將官裡去
page 7	羅旭和爵士否認發表談話
page 7	回教僑胞慶祝教主誕辰並祈禱祖國　戰勝利
page 7	歌姬義演籌賑
page 7	油麻地廣東道中華糖薑廠發生大火貨物盡付一炬損失二萬餘元廠中工人幸已放工均獲無恙
page 8	會議經過
page 8	總會來電
page 8	分會組織
page 8	立夏小景
page 8	設理事會
page 8	霍亂症漸流行衛生局禁售不潔凍品食物店用具須用沸水殺菌違例者取消牌照禁止營業
page 8	團部組織
page 8	紀念儀式
page 8	早會升旗
page 8	青年會少年部昨紀念小青節小團員精神活潑
page 8	貨船昨日操炮
page 8	住客聯會九日開始贈醫
page 8	外勤記者聯會討論憲政問題張一　等被邀參加
page 8	嶺南附中學生開游藝會籌賑募得二千一百餘元
page 8	國民在會婦女代表本港婦女界參加競選昨成立競選分會即席通過會章候選人名單本月八日電達總會
page 10	銀聯會響應傷兵之友足球義賽週末舉行一元及五角門券開始預售
page 10	港九澳埠際小型球賽定期在澳舉行
page 10	鐘聲游泳場昨日正式開放
page 10	華大杯決賽尖沙嘴獲冠軍
page 10	學界排球賽今日開始高初小童級各有一場戰事
page 10	將設裁判訓練班
page 10	傑星體育會成立
page 10	昨日足球賽4-3東方挫海軍上半時一比一下半時三比二戰情平談水兵門將表演出色
