page 1	荷印之嚴重性
page 2	英皇致電荷比頌揚英勇抗戰
page 2	比國早已準備抵抗德國侵略
page 2	聯軍趕援荷比事前已有準備
page 2	德機進襲荷蘭七十架被擊落
page 2	比授全權政府應付緊急事變
page 2	法國各地人心鎮定
page 2	法機轟炸德各地飛行場
page 2	德軍侵略荷比日對荷印態度倘美向荷印伸手　問題嚴重或將提議由四國將荷印共管
page 2	西線方面空戰劇烈許多德機被　落
page 2	日對荷屬東印度表示異常關切須磨談話暴露對菲野心希望菲島投入日本懷抱
page 2	德機數架轟炸比京
page 2	羅斯福將被續選赫爾士達之觀察
page 2	比國黃金早運出國窺破德國野心
page 2	德軍內電戰術不逞進侵荷比已被抑留荷軍反攻克復多德勒比特島比軍仍堅守外防線努力抗戰
page 3	推進地方自治之基本義務一總裁對川省地方行政幹訓班訓詞一
page 3	白宮舉行緊急會議美極注意遠東時局羅斯福決心在夏威夷屯駐艦隊
page 3	蔣致電嘉勉金銀貿易場春禮勞軍成績良好
page 3	荷印各地警當局大舉肅清德僑各德輪俱被扣留沒收德國人財產
page 3	虹口區警權日方拒絕交回
page 3	漢總理雷諾宣佈改組內閣使各堂派均得參加
page 3	張伯倫辭職邱吉爾組新閣張伯倫決繼續為國家努力
page 3	史太林對歐洲新局實行相機應付派兵屯駐比沙拉比亞附近防德提倡在東南歐組南斯拉夫政府
page 3	瓊島日軍出擾被擊
page 3	膠濟路我軍活躍破壞日軍交通
page 3	豫鄂邊境大會戰仍以棗陽為中心兩日來殲滅日軍萬五千餘我克明港泌陽日潰退信陽
page 5	順德專隊乘時活躍
page 5	中山日偽又籌組護航隊圖奪我淪陷區商業
page 5	日軍再圖北侵詭謀不逞北侵日軍奉令緩進集中候命
page 5	廣州日憲兵四出搜捕我方諜探捕去無辜民眾百餘名嚴刑迫供有五名被絞
page 5	省振會廣州灣辦事處積極救濟粵南義民教養兩事均有相當成績籌設廣大工廠收容義民
page 5	銀洲湖與及汾水江
page 5	江會各線仍無劇戰
page 5	婆羅島日軍再增加
page 5	廣寧發現大量金礦最近月產值數百萬元
page 5	三水西南日軍又擾楊梅檳崗木棉鎮南日軍戒備甚嚴
page 5	日機狂炸清遠
page 5	保障縣政人員省府頒佈條例
page 5	越南華僑服務團抵桂林向白黃獻旗致敬
page 5	三埠編組義勇警察台城訓練抽簽壯丁銀洲湖日艇被擊沉
page 5	三埠壯丁參加訓練
page 5	台山壯丁抽簽已完
page 5	銀洲湖一帶之河面
page 5	日偽軍萬餘增抵廣州廣州外圍各線均增兵我當局飭屬嚴密防備
page 5	某戰區司令部設經濟建委會工作綱要均擬定
page 5	大良日兵撤退後我游擊隊迭襲城郊偽軍江會各線仍無結果日艦在汾水江遭控日軍向婆羅島增兵日偽因爭收過境稅暗鬥甚烈
page 6	我軍反攻楓溪
page 6	韓江日艇活動
page 6	廣東抗戰軍事之進展情形日方守重於攻已不敢輕犯政治經濟侵略我更應提防
page 6	強徵餉項不遂偽軍焚燒蘇民沙耕寮
page 6	澄海日犯蘇南
page 6	粵省各地設黨員招待所
page 6	廣西省府從新調整組織
page 6	桂省召開行政保安會議
page 6	潮揭線我軍挺進反攻楓溪衝入古巷澄海日犯蘇南被擊退日艦艇窺意溪圖陸登
page 7	人才調劑協會港分站決先徵求技術人才旬日內即可開始登記總會已訂定登記辦法
page 7	趕緊運米回鄉
page 7	鯉魚門火油艇被焚損失數達七千元之巨
page 7	住客聯會籲請免遷墳場
page 7	羅富國在中英文化會聲明休假歸國祇盤桓數月羅旭和等祝其旅程平安
page 7	改良本港溝渠英專家擔任設計
page 7	馬票分銷處已定八日開幕
page 7	工業合作社開跳舞會籌款
page 7	中學生論文賽今日下午舉行
page 7	港荷領闡明荷印地位荷蘭本部被侵犯屬土不受影響荷印等地不容第三國任何干涉
page 8	土地房屋
page 8	飛機輪車
page 8	港政府委任令
page 8	港內輪船裝載火柴辦法般政司毫　昨日布告
page 8	英國出品
page 8	港居民紛打防疫針衛生當局表示滿意
page 8	普益商會卅一週年紀念下屆新董事已選出
page 8	戰稅局長布力解釋納稅辦法產美與薪俸稅印有說明書有納稅責任者可隨時索閱
page 8	產業稅
page 8	薪俸稅
page 8	黃自逝世紀念歌樂會今舉行歡迎各界赴會不售門券
page 8	第五次特別賽馬第一日冷門馬是日全佔優勢濕扒再壓倒花惠創新紀錄漢口騎師張和生獲勝一場
page 8	海峽移民統計
page 8	徵用民物補償辦法本港輔政司昨正式公佈
page 10	響應傷兵之友昨日足球義演益壯華商齊勝利兩戰俱是四比三
page 10	今日又有一場義賽東方會再逢洋水兵
page 10	宵來公開籃球賽培英力挫華僑乙組青職工國民均勝仗
page 10	昨日籃球義賽鐘聲南華握手言和結果各獲四十五分聖三一挫思思女子
page 10	岷尼拉再次電催東方定期出發
